鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
魚池鄉,房地(土地+建物),南投縣魚池鄉有水巷３１之５８號,61.0,,山坡地保育區,丙種建築用地,1150601,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0700123,18.21,1,1,1,有,無,800000,43932,,0.0,0,,RPPNMLPJOHLGFCM98DA,18.21,0.0,0.0,無,
名間鄉,土地,南雅段918地號,18.91,商,,,1150601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,26441,,0.0,0,,RPQNMLLJOHLGFAM48DA,0.0,0.0,0.0,無,
鹿谷鄉,土地,車寮段內湖小段113-1地號,390.53,都市：其他:林業區,,,1150505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500403,1281,,0.0,0,含土地增值稅或其他稅費403元；,RPQNMLSJNHLGFDM76DA,0.0,0.0,0.0,無,
南投市,車位,南投縣南投市信義街１之８號地下室,0.0,,,,1150501,土地0建物1車位10,地下層,十四層,其他,管理員辦公室,鋼筋混凝土造,0821110,80.02000000000001,0,0,0,無,有,400000,,坡道機械,0.0,0,建物坐落地號：包尾段735-45地號；僅車位交易；,RPQNMLQJNHLGFAM88DA,0.0,0.0,0.0,有,0001
南投市,土地,成功段1257地號,102.41,住,,,1150506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4521620,44152,,0.0,0,,RPPNMLQJNHLGFAM78DA,0.0,0.0,0.0,無,
埔里鎮,房地(土地+建物),南投縣埔里鎮北環路２４６巷２號四樓之２,11.07,住,,,1150504,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830708,86.3,2,1,1,有,有,3800000,44032,,0.0,0,,RPPNMLOKNHLGFCM88DA,68.03,0.88,7.3,有,
鹿谷鄉,土地,內樹皮段129地號,52.06,,鄉村區,乙種建築用地,1150511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,248169,4767,,0.0,0,含土地增值稅或其他稅費10169元；,RPSNMLOKNHLGFDM66DA,0.0,0.0,0.0,無,0002
信義鄉,土地,潭南段41地號,39766.0,,森林區,林業用地,1150505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,50,,0.0,0,原住民保留地,RPPNMLOKNHLGFEM09DA,0.0,0.0,0.0,無,
南投市,土地,福興段1130地號,65.06,住,,,1150510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,750000,11528,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLSJNHLGFAM66DA,0.0,0.0,0.0,無,0003
南投市,土地,福興段1130地號,65.06,住,,,1150510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,750000,11528,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLSJNHLGFAM76DA,0.0,0.0,0.0,無,0003
草屯鎮,土地,府西段432地號,7.38,住,,,1150508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,160000,21680,,0.0,0,畸零地或有合併使用效益；,RPPNMLPKNHLGFBM88DA,0.0,0.0,0.0,無,
竹山鎮,土地,前山段53地號,942.1,,特定農業區,農牧用地,1150501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1750000,1858,,0.0,0,,RPPNMLOJNHLGFDM88DA,0.0,0.0,0.0,無,
草屯鎮,房地(土地+建物),南投縣草屯鎮順山路２７巷１３弄６號,126.02,住,,,1150507,土地4建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0680627,97.5,0,0,0,無,無,4000000,41026,,0.0,0,頂樓加蓋；其他增建；,RPSNMLSJNHLGFBM76DA,97.5,0.0,0.0,無,
埔里鎮,土地,中峰段湳興小段68地號,30.63,,鄉村區,乙種建築用地,1150513,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,950000,31015,,0.0,0,畸零地或有合併使用效益；,RPRNMLTKNHLGFCM96DA,0.0,0.0,0.0,無,
國姓鄉,土地,北港溪段41-308地號,18.0,,山坡地保育區,丙種建築用地,1150512,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,163350,9075,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNKNHLGFCM78DA,0.0,0.0,0.0,無,
鹿谷鄉,土地,新初鄉段486地號,426.11,,鄉村區,乙種建築用地,1150512,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8377850,19661,,0.0,0,,RPPNMLLLNHLGFDM78DA,0.0,0.0,0.0,無,0005
南投市,土地,南鄉段340地號,346.55,,河川區,農牧用地,1150515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1316890,3800,,0.0,0,協議價購；,RPPOMLMLMHLGFAM58DA,0.0,0.0,0.0,無,
南投市,土地,南鄉段338地號,560.19,,河川區,農牧用地,1150515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2296769,4100,,0.0,0,協議價購；,SPPOMLMLMHLGFAM68DA,0.0,0.0,0.0,無,
南投市,土地,南鄉段339地號,27.05,,河川區,農牧用地,1150515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,102790,3800,,0.0,0,協議價購；,TPPOMLMLMHLGFAM78DA,0.0,0.0,0.0,無,
南投市,土地,南鄉段341地號,1313.2,,河川區,農牧用地,1150515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5646760,4300,,0.0,0,協議價購；,UPPOMLMLMHLGFAM88DA,0.0,0.0,0.0,無,
南投市,土地,南鄉段849地號,542.39,,河川區,農牧用地,1150515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2169560,4000,,0.0,0,協議價購；,RPXOMLMLMHLGFAM76DA,0.0,0.0,0.0,無,
