編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLQJNHLGFAM88DA,32,5.04,管理員辦公室,鋼筋混凝土造,82年11月10日,十四層,地下層,持分移轉
RPQNMLQJNHLGFAM88DA,32,74.98,避難室、開放空間、停車空間,鋼筋混凝土造,82年11月10日,十四層,,持分移轉
RPSNMLSJNHLGFBM76DA,47,97.50,住商用,鋼筋混凝土加強磚造,68年6月27日,二層,一層 二層 騎樓,全筆移轉
RPPNMLLKNHLGFDM68DA,2,59.61,集合住宅,鋼筋混凝土造,112年12月8日,七層,三層 陽台,全筆移轉
RPPNMLLKNHLGFDM68DA,2,25.12,停車空間、機房、樓梯間、梯廳、車道、管委會空間,鋼筋混凝土造,112年12月8日,七層,,持分移轉
RPPNMLOKNHLGFCM88DA,32,76.21,集合住宅,鋼筋混凝土造,83年7月8日,十二層,四層 陽台 花台,全筆移轉
RPPNMLOKNHLGFCM88DA,32,10.09,避難室兼停車場、樓梯、門廳、騎樓、梯間、機械房、水箱、平台、瞭望台,鋼筋混凝土造,83年7月8日,十二層,,持分移轉
RPPNMLPJOHLGFCM98DA,45,18.21,住家用,加強磚造,70年1月23日,一層,一層,全筆移轉
RPRNMLPJNHLGFDM56DA,,59.01,集合住宅,鋼筋混凝土造,114年12月15日,七層,二層 陽台,全筆移轉
RPRNMLPJNHLGFDM56DA,,21.64,本共有部份之項目有集合住宅門廳、停車空間、樓梯間、電梯間等４項。,鋼筋混凝土造,114年12月15日,七層,,持分移轉
RPUNMLSKNHLGFCM17DA,34,106.65,農舍,加強磚造,81年7月20日,一層,一層,全筆移轉
RPQNMLLKNHLGFAM48DA,54,130.50,住家用,鋼筋混凝土加強磚造,61年4月11日,二層,一層 二層 騎樓,全筆移轉
RPRNMLTLNHLGFAM86DA,1,57.68,集合住宅,鋼筋混凝土造,114年10月2日,七層,五層 陽台,全筆移轉
RPRNMLTLNHLGFAM86DA,1,68.33,防空避難室兼停車空間、消防機房、緊急發電機室、機械室、水箱、台電配電室、電信室、管委會空間、梯間、電梯間、水錶室等１１項,鋼筋混凝土造,114年10月2日,七層,,持分移轉
RPTNMLKLNHLGFAM78DA,59,117.72,住家用,加強磚造,56年7月1日,三層,一層 二層 三層,全筆移轉
RPQNMLSKNHLGFBM66DA,53,93.60,住商用,鋼筋混凝土加強磚造,62年10月30日,二層,一層 二層,全筆移轉
RPSNMLTLNHLGFCM17DA,30,176.77,住商用,鋼筋混凝土造,85年9月18日,四層,一層 二層 三層 四層 陽台 平台 雨遮,全筆移轉
RPQNMLNJOHLGFCM88DA,46,56.10,住家用,鋼筋混凝土加強磚造,69年8月20日,一層,一層,全筆移轉
RPPNMLMLNHLGFAM58DA,1,55.34,集合住宅,鋼筋混凝土造,113年12月16日,七層,六層 陽台,全筆移轉
RPPNMLMLNHLGFAM58DA,1,49.40,公共設施〔梯廳、梯間、停車空間、消防發電機室、水箱、雨汙水機房、防空避難室兼停車空間、電信室、台電配電室、管理委員會使用空間、門廳、停車空間、車道、公共設施、水箱、電梯機械室等１６項〕,鋼筋混凝土造,113年12月16日,七層,,持分移轉
RPPNMLMLNHLGFAM58DA,1,7.18,梯廳、梯間,鋼筋混凝土造,113年12月16日,七層,,持分移轉
RPQNMLQLNHLGFEM86DA,46,103.47,住家用,鋼筋混凝土加強磚造,69年9月6日,二層,一層 二層 騎樓,全筆移轉
RPPNMLQLNHLGFAM98DA,12,167.76,住宅、停車空間,鋼筋混凝土造,103年10月23日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLQLNHLGFAM98DA,12,.31,住家用,鋼筋混凝土造,103年10月23日,一層,一層,持分移轉
RPRNMLNJOHLGFAM78DA,32,122.82,住家用,鋼筋混凝土造,83年3月9日,三層,一層 二層 三層 騎樓,全筆移轉
RPQNMLMLNHLGFAM68DA,27,167.87,住宅、車庫,鋼筋混凝土造,88年7月13日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPPNMLQLNHLGFDM66DA,,231.94,住宅、樓梯間,鋼筋混凝土造,115年1月12日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPPNMLPLNHLGFDM56DA,,59.01,集合住宅,鋼筋混凝土造,114年12月15日,七層,六層 陽台,全筆移轉
RPPNMLPLNHLGFDM56DA,,21.64,本共有部份之項目有集合住宅門廳、停車空間、樓梯間、電梯間等４項。,鋼筋混凝土造,114年12月15日,七層,,持分移轉
