編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOKNHLGFEM09DA,潭南段,39766.00,非都市：森林區 ; 非都市編定：林業用地,1,1,全筆移轉,00410000
RPSNMLOKNHLGFDM66DA,內樹皮段,52.06,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,45,持分移轉,01290000
RPPNMLOJNHLGFDM88DA,前山段,942.10,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00530000
RPPNMLLLNHLGFDM78DA,新初鄉段,426.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,3,持分移轉,04860000
RPRNMLTKNHLGFCM96DA,中峰段湳興小段,30.63,非都市：鄉村區 ; 非都市編定：乙種建築用地,8,1,持分移轉,00680000
SPPOMLMLMHLGFAM68DA,南鄉段,560.19,非都市：河川區 ; 非都市編定：農牧用地,4,1,持分移轉,03380000
RPPNMLPKNHLGFBM88DA,府西段,7.38,都市：其他:住宅區,20,1,持分移轉,04320000
TPPOMLMLMHLGFAM78DA,南鄉段,27.05,非都市：河川區 ; 非都市編定：農牧用地,7,1,持分移轉,03390000
RPPNMLQJNHLGFAM78DA,成功段,102.41,都市：其他:住宅區,1,1,全筆移轉,12570000
UPPOMLMLMHLGFAM88DA,南鄉段,1313.20,非都市：河川區 ; 非都市編定：農牧用地,20,8,持分移轉,03410000
RPQNMLLJOHLGFAM48DA,南雅段,18.91,都市：其他:商業區,1,1,全筆移轉,09180000
RPPNMLNKNHLGFCM78DA,北港溪段,18.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00410308
RPSNMLSJNHLGFAM66DA,福興段,65.06,都市：其他:住宅區,5904,390,持分移轉,11300000
RPSNMLSJNHLGFBM76DA,府西段,17.46,都市：其他:綠地用地,1,1,全筆移轉,05590006
RPTNMLSJNHLGFAM76DA,福興段,65.06,都市：其他:住宅區,2952,195,持分移轉,11300000
RPSNMLSJNHLGFBM76DA,府西段,1.40,都市：其他:住宅區,1,1,全筆移轉,05590007
RPSNMLSJNHLGFBM76DA,府西段,20.41,都市：其他:綠地用地,1,1,全筆移轉,05590014
RPSNMLSJNHLGFBM76DA,府西段,86.75,都市：其他:住宅區,1,1,全筆移轉,05600000
RPRNMLQJNHLGFAM98DA,南鄉段,1208.18,非都市：河川區 ; 非都市編定：農牧用地,84,49,持分移轉,04240000
RPSNMLQJNHLGFAM09DA,首區段,155.56,都市：其他:第四種住宅區,2,1,持分移轉,00730000
RPPNMLKLNHLGFEM78DA,中溝段,94.04,都市：其他:住宅區,1,1,全筆移轉,06340000
