鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
埔里鎮,房地(土地+建物),南投縣埔里鎮蜈蚣路,30.56,,鄉村區,乙種建築用地,1150214,土地2建物1車位0,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,103.01,3,2,2,有,無,10530000,102223,,0.0,0,,RPPNMLQLKHLGFCM88CB,東方璞美,B棟02號,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮日新街,26.62,,鄉村區,乙種建築用地,1150221,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.82,3,2,2,有,無,11120000,91637,坡道平面,25.84,1500000,,RPPNMLTJLHLGFBM98CB,寬心豐匯,A1棟6號,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮日新街,22.29,,鄉村區,乙種建築用地,1150225,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.8,2,2,2,有,無,9880000,94702,坡道平面,25.84,1550000,,RPQNMLTJLHLGFBM09CB,寬心豐匯,C6棟2號,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮忠孝街,24.09,住,,,1150214,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.54,3,2,2,有,無,11800000,96901,坡道平面,26.31,1700000,,RPPNMLLKLHLGFBM28CB,昌祐敦和,H棟9號,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮東潤路,108.29,,特定農業區,甲種建築用地,1150225,土地2建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,141.03,3,2,4,有,無,10980000,77856,其他,0.0,0,該停車位位於法定空地上,RPPNMLLKLHLGFCM38CB,謙原墅,A棟1號,
南投市,房地(土地+建物),南投縣南投市吉利路131巷29號,42.43,住,,,1150302,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,117.26,3,2,2,有,無,6800000,57991,,0.0,0,,RPPNMLMKLHLGFAM28CB,三十而立-二期,I棟3號,
南投市,房地(土地+建物),南投縣南投市吉利路131巷29號,42.43,住,,,1150310,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,117.26,3,2,2,有,無,7600000,64813,,0.0,0,,RPQNMLMKLHLGFAM38CB,三十而立-二期,F棟5號,
竹山鎮,房地(土地+建物)+車位,南投縣竹山鎮永豐街,41.02,住,,,1150310,土地2建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,118.82,3,2,2,有,無,9230000,77681,一樓平面,0.0,0,,RPPNMLMKLHLGFDM58CB,大慶禾豐2期,乙棟3Q號,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮北環路,21.8,住,,,1150315,土地1建物1車位1,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.29,3,2,2,有,無,10550000,97291,坡道平面,32.27,1500000,,RPPNMLPKLHLGFCM78CB,經典維多麗亞,D棟10號,
