編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLTJLHLGFBM09CB,新興段,22.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,335,持分移轉,02320000
RPPNMLRLLHLGFBM98CB,北投埔段,24.95,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,359,持分移轉,03150000
RPPNMLTJLHLGFBM98CB,新興段,26.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,400,持分移轉,02320000
RPQNMLOLLHLGFBM78CB,北投埔段,25.78,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,371,持分移轉,03150000
RPPNMLMKLHLGFAM28CB,福興段,42.43,都市：住,1000000,62495,持分移轉,04600000
RPQNMLMKLHLGFAM38CB,福興段,42.43,都市：住,1000000,62495,持分移轉,04600000
RPPNMLOLLHLGFBM68CB,北投埔段,25.72,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,370,持分移轉,03150000
RPPNMLLKLHLGFBM28CB,草屯段,24.09,都市：住,100000,363,持分移轉,01150000
RPPNMLLMLHLGFBM48CB,北勢段,52.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00400015
RPPNMLLMLHLGFBM48CB,北勢段,15.22,非都市：鄉村區 ; 非都市編定：乙種建築用地,10,1,持分移轉,00400016
RPPNMLSLLHLGFBM09CB,草屯段,26.61,都市：住,100000,401,持分移轉,01150000
RPPNMLTJMHLGFBM09CB,北投段,19.72,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1703,持分移轉,03000000
RPPNMLTJMHLGFBM09CB,北投段,13.27,非都市：特定農業區 ; 非都市編定：農牧用地,55,1,持分移轉,02980000
RPPNMLTLLHLGFCM66CB,忠孝段,25.78,都市：住,100000,1006,持分移轉,02460000
RPPNMLKKMHLGFCM38CB,內池段,36.47,都市：住,100000,1562,持分移轉,13670000
