編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLNJLHLGFAM48CC,36,26.40,住家用,鋼筋混凝土造,79年4月9日,三層,,
RPQNMLNLKHLGFAM58CC,32,183.95,住家用,鋼筋混凝土造,83年3月31日,三層,,
RPQNMLNLKHLGFAM58CC,32,16.93,停車空間,鋼筋混凝土造,83年3月31日,四層,,
RPQNMLMJLHLGFAM38CC,31,151.18,住家用,鋼筋混凝土造,84年6月15日,三層,,
RPQNMLNLKHLGFAM58CC,32,1.39,辦公室,鋼筋混凝土造,83年3月31日,四層,,
RPPNMLOLKHLGFAM58CC,1,83.48,集合住宅,鋼筋混凝土造,113年12月16日,七層,,
RPPNMLOLKHLGFAM58CC,1,28.22,公共設施〔梯廳、梯間、停車空間、消防發電機室、水箱、雨汙水機房、防空避難室兼停車空間、電信室、台電配電室、管理委員會使用空間、門廳、停車空間、車道、公共設施、水箱、電梯機械室等１６項〕,鋼筋混凝土造,113年12月16日,七層,,
RPPNMLOLKHLGFAM58CC,1,10.82,梯廳、梯間,鋼筋混凝土造,113年12月16日,七層,,
RPRNMLMJLHLGFAM48CC,32,125.09,住家用,鋼筋混凝土造,82年11月10日,十四層,,
RPPNMLQJLHLGFCM88CC,30,88.54,集合住宅,鋼筋混凝土造,85年2月9日,十五層,,
RPPNMLOJLHLGFBM58CC,1,115.67,集合住宅,鋼筋混凝土造,113年11月6日,十五層,,
RPPNMLQJLHLGFCM88CC,30,16.73,走道、機械房、門廳、騎樓、防空避難室兼停車場、梯間,鋼筋混凝土造,85年2月9日,十五層,,
RPPNMLNJLHLGFBM48CC,10,25.76,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPSNMLOJLHLGFBM88CC,10,25.76,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPSNMLOJLHLGFBM88CC,10,14.88,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPQNMLPJLHLGFCM88CC,45,20.46,住家用,加強磚造,70年1月23日,一層,,
RPPNMLPJLHLGFBM68CC,36,118.38,住家用,加強磚造,79年4月4日,二層,,
RPWNMLNJLHLGFBM56CC,10,25.76,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPPNMLNJLHLGFBM48CC,10,14.88,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPWNMLNJLHLGFBM56CC,10,14.88,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPQOMLNJLHLGFBM68CC,10,23.72,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPQOMLNJLHLGFBM68CC,10,13.67,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPQNMLOJLHLGFBM68CC,2,56.45,集合住宅,鋼筋混凝土造,113年3月7日,五層,,
RPQNMLOJLHLGFBM68CC,2,21.62,本共有部分之項目有門廳、停車空間、電信室、梯廳、昇降機間、樓梯間及機械室等７項,鋼筋混凝土造,113年3月7日,五層,,
RPQNMLQJLHLGFCM98CC,50,112.60,住商用,鋼筋混凝土加強磚造,65年3月30日,二層,,
RPXNMLNJLHLGFBM66CC,10,23.94,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPXNMLNJLHLGFBM66CC,10,13.68,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPQNMLNJLHLGFBM58CC,10,23.94,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPQNMLNJLHLGFBM58CC,10,13.68,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPOOMLNJLHLGFBM48CC,10,23.72,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPOOMLNJLHLGFBM48CC,10,13.68,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPRNMLQJLHLGFCM09CC,46,94.93,住家用,鋼筋混凝土加強磚造,68年9月11日,二層,,
RPPNMLMJLHLGFCM48CC,21,95.91,集合住宅,鋼筋混凝土造,93年10月5日,十層,,
RPPNMLTJLHLGFAM98CC,28,100.35,住家用,鋼筋混凝土造,87年3月6日,九層,,
RPPNMLMJLHLGFCM48CC,21,34.47,防空避難室兼停車空間、梯廳、梯間、水箱,鋼筋混凝土造,93年10月5日,十層,,
RPPNMLTJLHLGFAM98CC,28,14.38,停車空間,鋼筋混凝土造,87年3月6日,九層,,
RPPNMLTJLHLGFAM98CC,28,12.41,梯間、管理員室、水箱、機械間,鋼筋混凝土造,87年3月6日,九層,,
RPPNMLOJLHLGFDM78CC,30,51.85,商業用,鋼筋混凝土造,85年3月9日,五層,,
RPPNMLOJLHLGFDM78CC,30,53.23,防空避難室、停車空間、門廳、屋頂突出物等公共設施,鋼筋混凝土造,85年3月9日,七層,,
RPUNMLNJLHLGFBM98CC,10,25.76,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPUNMLNJLHLGFBM98CC,10,14.88,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
