編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLMJLHLGFAM48CC,包尾段,23.19,都市：住,,,,07350045
RPPNMLOJLHLGFBM58CC,玉峰段,3354.47,都市：住,,,,01960000
RPPNMLPJLHLGFBM68CC,保安段,73.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07030000
RPPNMLTJLHLGFBM09CC,玉峰段,131.96,都市：住,,,,11720000
RPPNMLMKLHLGFCM68DC,共和段,2265.35,非都市：特定農業區 ; 非都市編定：農牧用地,,,,03660000
RPQNMLTKLHLGFBM66CC,草鞋墩段,358.17,都市：住,,,,00130004
RPPNMLKLLHLGFDM58CC,延和段,630.00,都市：住,,,,05090000
RPPNMLQLLHLGFAM88CC,新廍段,158.06,都市：住,,,,06060000
RPQNMLKKLHLGFBM38CC,明賢段,45.44,都市：商,,,,08210000
RPQNMLKKLHLGFBM38CC,明賢段,13.41,都市：商,,,,08220000
RPPNMLTJMHLGFAM09CC,新廍段,102.03,都市：住,,,,07470072
RPPNMLNKMHLGFBM68CC,新虎山段,462.89,都市：住,,,,10380000
RPRNMLLKNHLGFAM68CC,牛運堀段,98.00,都市：住,,,,04970016
