鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
溪州鄉,土地,仁愛段1052地號,1646.0,,特定農業區,農牧用地,1150601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2580000,1567,,0.0,0,含土地增值稅或其他稅費2633元；含地政士服務費30000元；,RPUNMLMJOHLGFFN96DA,0.0,0.0,0.0,無,
員林市,土地,新南東段348地號,1068.64,,特定農業區,農牧用地,1150603,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4500000,4211,,0.0,0,,RPPNMLPJOHLGFDN66EA,0.0,0.0,0.0,無,
員林市,土地,水源段269地號,66.28,商,,,1150603,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,700000,10561,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLSJOHLGFDN17EA,0.0,0.0,0.0,無,
芳苑鄉,土地,芳信段341地號,2379.0,,特定農業區,農牧用地,1150604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2616900,1100,,0.0,0,,RPPNMLTJOHLGFGN37EA,0.0,0.0,0.0,無,
溪州鄉,土地,新下霸段712地號,1454.31,,特定農業區,農牧用地,1150504,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,1375,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLLKNHLGFFN76DA,0.0,0.0,0.0,無,0001
彰化市,房地(土地+建物)+車位,彰化縣彰化市向陽街７７巷２３號八樓之２,18.65,住,,,1150502,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1121204,110.49000000000001,2,2,1,有,有,9150000,82813,坡道機械,23.26,0,,RPQOMLPJNHLGFAN98DA,53.5,0.0,4.52,有,0002
員林市,土地,大峰段298地號,10.85,,山坡地保育區,丙種建築用地,1150505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,42324,3901,,0.0,0,,RPQNMLLKNHLGFDN88DA,0.0,0.0,0.0,無,
北斗鎮,房地(土地+建物)+車位,彰化縣北斗鎮德安巷９號三樓之１,34.1,商,,,1150504,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141224,170.41000000000003,3,2,2,有,有,15000000,88023,坡道平面,0.0,0,,RPPNMLPKNHLGFFN76DA,90.77,0.0,10.21,有,
大城鄉,土地,楓港段1428地號,2061.0,,一般農業區,農牧用地,1150509,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1050000,509,,0.0,0,本筆土地有大城鄉公所:74大鄉建字第10241號使用執照建物套繪在案。瑕疵物件；,RPPNMLKKNHLGFGN98DA,0.0,0.0,0.0,無,
