編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQOMLPJNHLGFAN98DA,2,52.47,防空避難室兼停車空間、台電配電室、緊急發電機室、停車空間、機房、梯廳、公共服務空間、機電空間、管委會空間、車道、安全梯間、梯間,鋼筋混凝土造,112年12月4日,十四層,,持分移轉
RPQOMLPJNHLGFAN98DA,2,58.02,集合住宅,鋼筋混凝土造,112年12月4日,十四層,八層 陽台,全筆移轉
RPRNMLLKNHLGFBN78DA,45,110.40,住家用,鋼筋混凝土加強磚造,70年1月29日,二層,一層 二層 騎樓,全筆移轉
RPQNMLMLNHLGFFN66DA,38,141.90,住家用,鋼筋混凝土造,77年1月15日,三層,一層 二層 三層 騎樓,全筆移轉
RPQNMLPKNHLGFDN66DA,2,203.52,住宅,鋼筋混凝土造,113年9月2日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLPKNHLGFFN76DA,,100.98,集合住宅,鋼筋混凝土造,114年12月24日,十三層,三層 陽台,全筆移轉
RPPNMLPKNHLGFFN76DA,,69.43,本共有部分係依使用執照之建築概要表記載項目有：停車空間、安全梯、昇降機、排煙室、消防機房、水箱、發電機房、電信機房、台電配電場所、管委會空間、梯廳、門廊、樓梯間、電梯機房等１４項。,鋼筋混凝土造,114年12月24日,十三層,,持分移轉
RPQNMLLJNHLGFAN48DA,,10.88,商業用,木造,25年0月0日,二層,一層 二層,持分移轉
RPSNMLPLNHLGFBN76DA,8,86.17,住宅、停車空間,鋼筋混凝土造,106年11月21日,四層,一層 二層 三層 四層 陽台 雨遮,持分移轉
RPRNMLLKNHLGFDN98DA,17,66.57,集合住宅,鋼筋混凝土造,97年12月1日,五層,五層 陽台,全筆移轉
RPRNMLLKNHLGFDN98DA,17,20.80,消防邦浦室、發電機室、停車空間、電信機房、走廊、樓梯間、電梯梯間,鋼筋混凝土造,97年12月1日,五層,,持分移轉
RPTNMLMLNHLGFGN07DA,43,634.48,農舍,加強磚造、鋼架構造,72年5月11日,三層,一層 二層 三層,全筆移轉
RPTNMLMLNHLGFGN07DA,43,849.49,倉庫,有牆鋼鐵造,72年2月4日,一層,一層,全筆移轉
RPUNMLPLNHLGFAN86DA,37,98.27,住家用,鋼筋混凝土造,77年12月31日,五層,一層 平台,全筆移轉
RPQNMLKLNHLGFHN66DA,30,31.15,共用部份,鋼筋混凝土造,85年3月26日,六層,,持分移轉
RPQNMLKLNHLGFHN66DA,30,90.10,住家用,鋼筋混凝土造,85年3月26日,六層,三層 陽台,全筆移轉
RPSNMLPKNHLGFBN66DA,7,57.28,集合住宅,鋼筋混凝土造,108年6月4日,五層,三層 陽台,全筆移轉
RPSNMLPKNHLGFBN66DA,7,23.78,樓電梯間、停車空間、樓梯間（共有部分）,鋼筋混凝土造,108年6月4日,五層,,持分移轉
RPQNMLSLNHLGFBN86DA,53,445.34,工業用,磚造,62年7月10日,一層,一層,全筆移轉
RPSNMLRLNHLGFGN47DA,32,63.63,住家用,鋼筋混凝土造,83年4月19日,三層,一層 二層 三層,持分移轉
RPPOMLQLNHLGFDN86DA,39,73.69,住家用,鋼筋混凝土造,75年11月25日,五層,五層,全筆移轉
RPPOMLQLNHLGFDN86DA,39,5.98,避難室,鋼筋混凝土造,75年11月25日,,,持分移轉
RPPOMLQLNHLGFDN86DA,39,7.25,樓梯,鋼筋混凝土造,75年11月25日,,,持分移轉
RPQNMLTLNHLGFGN47DA,45,48.50,住家用,加強磚造,69年12月31日,二層,一層 二層,持分移轉
RPTNMLPLNHLGFDN07DA,42,107.36,住家用,鋼筋混凝土造,73年2月23日,五層,四層,全筆移轉
RPPNMLPLNHLGFDN66DA,59,36.60,住家用,木石磚造（磚石造）,56年1月31日,二層,一層,全筆移轉
RPUNMLRLNHLGFAN07DA,29,.05,停車空間、機械室、水箱,鋼筋混凝土造,86年10月20日,十三層,,持分移轉
RPUNMLRLNHLGFAN07DA,29,.20,管理員室,鋼筋混凝土造,86年10月20日,十三層,一層 平台 花台,持分移轉
RPUNMLRLNHLGFAN07DA,29,5.62,停車空間、機械室、水箱,鋼筋混凝土造,86年10月20日,十三層,,持分移轉
RPQNMLTLNHLGFFN37DA,35,285.88,住工用,鋼筋混凝土造,80年5月16日,三層,一層 二層 三層 騎樓,全筆移轉
RPRNMLLJOHLGFBN78DA,48,149.08,住商用,鋼筋混凝土造,67年2月4日,三層,一層 二層 三層 騎樓,全筆移轉
RPQNMLSLNHLGFEN17DA,1,213.17,停車空間、住宅,鋼筋混凝土造,114年6月13日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPQNMLPLNHLGFEN86DA,29,41.12,住家用,鋼筋混凝土造,85年12月28日,五層,二層 陽台,全筆移轉
RPQNMLPLNHLGFEN86DA,29,13.56,樓梯間,鋼筋混凝土造,85年12月28日,五層,,持分移轉
