鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
秀水鄉,房地(土地+建物),彰化縣秀水鄉金興段古蒼巷26號附近,94.1,,鄉村區,乙種建築用地,1150211,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,150.1,4,2,3,有,無,10600000,70620,,0.0,0,,RPPNMLMKKHLGFAN28CB,幸福之星,F棟1號,
花壇鄉,房地(土地+建物)+車位,彰化縣花壇鄉忠孝街241號斜對面空地,89.21,住,,,1150213,土地3建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,195.06,4,3,3,有,無,20800000,106634,一樓平面,41.16,0,,RPTNMLNKKHLGFAN78CB,陶璽2026,F棟7號,
花壇鄉,房地(土地+建物)+車位,彰化縣花壇鄉忠孝街241號斜對面空地,78.98,住,,,1150215,土地3建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,177.05,4,3,3,有,無,17800000,100537,一樓平面,25.15,0,,RPPNMLNLKHLGFAN48CB,陶璽2026,C棟2號,
彰化市,房地(土地+建物)+車位,彰化縣彰化市彰益街68號對面基地,31.69,住,,,1150214,土地1建物1車位2,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,238.73,3,2,2,有,無,25950000,143696,坡道平面,90.5,4650000,,RPQNMLNLKHLGFAN58CB,君品慕白,B棟14號,
彰化市,房地(土地+建物)+車位,彰化縣彰化市彰南路二段513巷旁,34.09,,鄉村區,乙種建築用地,1150213,土地3建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.35,2,1,2,有,無,8500000,82305,一樓平面,14.15,500000,實際土地面積依分割後登記為準。,RPPNMLOLKHLGFAN58CB,宸益家園9-原墅2,1棟A4號,
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮北美路與北美路80巷,28.67,,鄉村區,乙種建築用地,1150213,土地5建物1車位1,五層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,127.31,3,2,2,有,無,9600000,86843,坡道平面,31.16,1250000,,RPQNMLPLKHLGFBN88CB,格誠竹暘,5F-A2號,
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮北美路與北美路80巷,24.43,,鄉村區,乙種建築用地,1150213,土地5建物1車位1,九層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,113.09,2,2,2,有,無,8870000,89711,一樓平面,31.16,1520000,,RPRNMLPLKHLGFBN98CB,格誠竹暘,9F-A6號,
彰化市,房地(土地+建物)+車位,彰化縣彰化市崙平南路,20.91,住,,,1150213,土地6建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.73,3,2,2,有,無,13880000,115399,坡道平面,29.75,1650000,,RPPNMLQLKHLGFAN78CB,泉宇大恆,C棟3F-K號,
彰化市,房地(土地+建物)+車位,彰化縣彰化市大埔路451號,41.1,住,,,1150214,土地6建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,215.9,4,2,2,有,無,26050000,127772,坡道平面,26.5,1850000,,RPPNMLNJLHLGFAN38CB,同成?,A棟12號,
