鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
彰化市,租賃房屋,彰化縣彰化市民族路３１５巷７１號（１B室）,0.0,,,,1150211,土地0建物0車位0,全,3,透天厝,住家、避難室,鋼筋混凝土造,0710826,13.9,9,0,9,有,無,有,6000,432,,0.0,0,,RPPNMLNKKHLGFAN48CC,分租套房,無,1150301~1150630,無,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般代管
彰化市,租賃房屋,彰化縣彰化市旭光路２２１號１２樓之３,0.0,,,,1150213,土地0建物1車位0,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850321,37.54,1,0,1,有,有,有,9000,240,,0.0,0,租金總額含管理費；,RPPNMLNLKHLGFAN58CC,獨立套房,有,1150214~1160213,有,冷氣、熱水器、冰箱,一般代管
彰化市,租賃房屋,彰化縣彰化市中正路二段５０３巷２弄１號７樓,22.12,住,,,1150223,土地1建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0770113,74.02,3,2,2,有,無,無,15000,203,,0.0,0,,RPPNMLOLKHLGFAN68CC,整棟(戶)出租,無,1150315~1160314,有,冷氣,
彰化市,租賃房屋,彰化縣彰化市中華路２９巷１３號,0.0,,,,1150212,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0640714,127.62,5,2,3,有,無,有,12000,94,,0.0,0,續租案件；,RPQNMLOLKHLGFAN78CC,整棟(戶)出租,無,1150225~1160224,無,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅包租轉租
彰化市,租賃房屋,彰化縣彰化市埔陽街２７２號１０樓之１,0.0,,,,1150211,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091119,111.44,2,2,2,有,有,無,19800,178,,0.0,0,續租案件；,RPRNMLOLKHLGFAN88CC,整棟(戶)出租,有,1150219~1160218,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
彰化市,租賃房屋,彰化縣彰化市三民路２３７巷１５號,0.0,,,,1150213,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0650809,148.7,4,2,3,有,無,有,15000,101,,0.0,0,,RPTNMLOLKHLGFAN09CC,整棟(戶)出租,無,1150225~1160224,無,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
員林市,租賃房屋,彰化縣員林市新義街３５０號,0.0,,,,1150212,土地0建物0車位0,全,5,透天厝,人行道、店舖、停車空間、住宅,鋼筋混凝土造,1020430,19.79,14,0,14,有,無,有,6800,344,,0.0,0,多人共同承租2；租金總額含網路費；其他網路電視；,RPPNMLOLKHLGFDN98CC,分租套房,無,1150214~1160225,無,冷氣、熱水器、電視機、冰箱、網路,一般代管
員林市,租賃房屋,彰化縣員林市員集路二段４９２巷１１２號,0.0,,,,1150211,土地0建物0車位0,全,5,透天厝,住宅,鋼筋混凝土造,1130716,14.27,20,0,20,有,無,有,8500,596,,0.0,0,多人共同承租2；,RPQNMLOLKHLGFDN09CC,分租套房,無,1150301~1160228,有,熱水器、洗衣機、電視機、冰箱,一般代管
大村鄉,租賃房屋,彰化縣大村鄉仁愛街１１１號,0.0,,,,1150213,土地0建物1車位0,全,3,透天厝,住宅,鋼筋混凝土造,1100607,169.37,4,2,3,有,無,有,19800,117,,0.0,0,續租案件；,RPSNMLOLKHLGFDN66CC,整棟(戶)出租,無,1150213~1160212,無,冷氣、熱水器、洗衣機、電視機、瓦斯或天然氣,社會住宅代管
田中鎮,租賃房屋,彰化縣田中鎮福安路２１０巷６號,0.0,,,,1150211,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0800328,197.57,4,3,3,有,無,有,10000,51,,0.0,0,續租案件；,RPPNMLOLKHLGFEN09CC,整棟(戶)出租,無,1150225~1160224,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
北斗鎮,租賃房屋,彰化縣北斗鎮大新路２８５號,0.0,,,,1150212,土地0建物1車位0,全,3,透天厝,住宅,鋼筋混凝土造,1060731,146.78,4,2,3,有,無,無,15000,102,,0.0,0,,RPPNMLOLKHLGFFN56CC,整棟(戶)出租,無,1150213~1160212,無,熱水器、瓦斯或天然氣,社會住宅包租轉租
北斗鎮,租賃房屋,彰化縣北斗鎮大新路２８３號,0.0,,,,1150213,土地0建物1車位0,全,3,透天厝,住宅,鋼筋混凝土造,1060731,141.32,4,2,3,有,無,無,13000,92,,0.0,0,,RPQNMLOLKHLGFFN66CC,整棟(戶)出租,無,1150225~1160224,無,熱水器,社會住宅包租轉租
彰化市,租賃房屋,彰化縣彰化市永樂街５６巷１０號４樓,0.0,,,,1150224,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼造,0890310,88.00999999999999,3,2,2,有,無,有,15000,170,,0.0,0,多人共同承租2；,RPPNMLPLKHLGFAN78CC,整棟(戶)出租,無,1150225~1160224,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,一般代管
彰化市,租賃房屋,彰化縣彰化市公園路一段３２９巷７之６號二樓,0.0,,,,1150224,土地0建物1車位0,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890308,173.75,4,2,2,有,有,有,17000,98,,0.0,0,,RPQNMLPLKHLGFAN88CC,整棟(戶)出租,有,1150301~1160228,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
員林市,租賃房屋,彰化縣員林市中山路２段３５８號,0.0,,,,1150211,土地0建物0車位0,全,5,透天厝,住宅,鋼筋混凝土造,1110510,23.14,21,0,21,有,無,有,8800,380,,0.0,0,,RPPNMLPLKHLGFDN09CC,分租套房,無,1150301~1160228,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,
大村鄉,租賃房屋,彰化縣大村鄉山腳路９４之２６號３樓,0.0,,,,1150225,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0970806,32.44,1,0,1,有,有,有,5200,160,,0.0,0,,RPTNMLPLKHLGFDN86CC,獨立套房,有,1150301~1160228,無,冷氣、熱水器、電視機、冰箱、有線電視、網路,社會住宅代管
彰化市,租賃房屋,彰化縣彰化市大埔路５００號之１２,0.0,,,,1150221,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0700812,12.0,10,0,10,有,無,有,4000,333,,0.0,0,租金總額含網路費；,RPQNMLQLKHLGFAN98CC,分租套房,無,1150301~1160228,無,冷氣、冰箱、網路,一般轉租
員林市,租賃房屋+車位,彰化縣員林市龍富二街１６號３F-２,0.0,,,,1150211,土地0建物1車位1,三層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1120710,108.36000000000001,3,2,2,有,有,有,19500,180,坡道平面,0.0,0,,RPPNMLQLKHLGFDN56CC,整棟(戶)出租,有,1150301~1170229,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,一般轉租
員林市,租賃房屋,彰化縣員林市溝皂街２６１號３樓之３,0.0,,,,1150225,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1130105,82.92,2,2,2,有,有,有,19800,239,,0.0,0,續租案件；,RPPNMLMJLHLGFDN68CC,整棟(戶)出租,有,1150305~1160304,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
員林市,租賃房屋,彰化縣員林市龍富二街６９號１１樓之９,0.0,,,,1150223,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1140620,108.1,2,2,1,有,有,有,19000,176,,0.0,0,未租賃車位，建物登記含有車位面積；,RPQNMLMJLHLGFDN78CC,整棟(戶)出租,有,1150225~1160224,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
和美鎮,租賃房屋,彰化縣和美鎮太平路１６０巷３６號二樓之１,0.0,,,,1150213,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1111223,82.16999999999999,3,2,2,有,有,有,18000,219,,0.0,0,多人共同承租2；,RPPNMLNJLHLGFBN58CC,整棟(戶)出租,無,1150301~1160228,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,
員林市,租賃房屋,彰化縣員林市林森路２３１巷１８號十四樓,0.0,,,,1150223,土地0建物1車位0,十四層,16,住宅大樓(11層含以上有電梯),住家、國民住宅,鋼筋混凝土造,0840821,175.53,4,2,2,有,有,有,14000,80,,0.0,0,,RPPNMLNJLHLGFDN78CC,整棟(戶)出租,有,1150301~1180228,有,熱水器、瓦斯或天然氣,社會住宅包租轉租
員林市,租賃房屋+車位,彰化縣員林市中山路一段３８１巷１３號五樓之７,0.0,,,,1150224,土地0建物1車位1,五層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1140729,141.2,3,2,2,有,有,有,16500,120,一樓平面,11.81,1000,,RPQNMLNJLHLGFDN88CC,整棟(戶)出租,無,1150303~1160302,有,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
大村鄉,租賃房屋,彰化縣大村鄉山腳路１２６之２７號（４０３室）,0.0,,,,1150225,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0930429,19.5,12,0,12,有,無,有,5500,282,,0.0,0,,RPWNMLNJLHLGFDN86CC,分租套房,無,1150305~1160304,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路,一般代管
大村鄉,租賃房屋,彰化縣大村鄉山腳路１２６之２７號（３０１室）,0.0,,,,1150228,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0930429,15.14,12,0,12,有,無,有,6000,396,,0.0,0,,RPXNMLNJLHLGFDN96CC,分租套房,無,1150305~1160304,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路,一般代管
