鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
新竹市,土地,柑林段368地號,92.35,,山坡地保育區,農牧用地,1150601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1257174,13613,,0.0,0,,RPPNMLNJOHLGFAO88EA,0.0,0.0,0.0,無,0001
新竹市,土地,南寮段26地號,0.32,住,,,1150502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,29600,0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOJNHLGFAO78DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市大學路１０３１號５樓之２,5.77,住,,,1150503,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0880713,27.259999999999998,0,0,0,無,有,4400000,161409,,0.0,0,,RPPNMLLKNHLGFAO68EA,15.39,0.0,0.0,有,0002
新竹市,土地,東濱段612地號,0.97,都市：其他:道路用地,,,1150505,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,17520,0,,0.0,0,包含公共設施保留地用地；,RPSOMLOJNHLGFAO56DA,0.0,0.0,0.0,無,0003
新竹市,房地(土地+建物),新竹市新竹市東大路二段２１７巷５３號２樓,18.23,住,,,1150506,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),其他,鋼筋混凝土造,,59.65,3,2,2,有,無,5000000,83822,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLOKNHLGFAO09DA,50.02,0.0,9.62,無,0004
新竹市,土地,柑林段353地號,6.34,,山坡地保育區,農牧用地,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,47925,7559,,0.0,0,,RPPNMLNKNHLGFAO88EA,0.0,0.0,0.0,無,0005
新竹市,房地(土地+建物),新竹市新竹市大學路１０３１號,5.77,住,,,1150508,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0880713,27.259999999999998,1,1,1,有,有,4200000,154072,,0.0,0,,RPPNMLOKNHLGFAO98EA,15.39,0.0,0.0,有,0006
新竹市,土地,前溪段405-1地號,474.86,,特定農業區,農牧用地,1150505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12500000,26324,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；急買急賣；,RPQNMLNKNHLGFAO88DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市和福街４２巷２０號,47.0,住,,,1150501,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0700321,54.02,2,2,2,有,無,6000000,111070,,0.0,0,頂樓加蓋；,RPSNMLPKNHLGFAO66DA,54.02,0.0,0.0,無,
