編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLPKNHLGFAO66DA,45,54.02,住家用,加強磚造,70年3月21日,二層,一層 二層,全筆移轉
RPXOMLLLNHLGFAO96DA,5,45.23,集合住宅,鋼筋混凝土造,110年5月25日,七層,五層 陽台,全筆移轉
RPXOMLLLNHLGFAO96DA,5,23.54,共有部分,鋼筋混凝土造,110年5月25日,七層,,持分移轉
RPRNMLRJNHLGFAO66DA,22,126.78,集合住宅,鋼筋混凝土造,93年2月10日,十三層,六層 陽台,全筆移轉
RPRNMLRJNHLGFAO66DA,22,62.77,台電配電室、防空避難室兼停車空間、戶內遊憩設施、機房、水箱、電梯間、辦公室〈社區使用〉,鋼筋混凝土造,93年2月10日,十三層,,持分移轉
RPRNMLOKNHLGFAO09DA,,59.65,見使用執照,鋼筋混凝土造,,五層,二層 陽台,持分移轉
RPVRMLKLNHLGFAO96DA,28,.03,店舖,鋼筋混凝土造,87年4月10日,十二層,一層 陽台,持分移轉
RPVRMLKLNHLGFAO96DA,28,.02,店舖,鋼筋混凝土造,87年4月10日,十二層,一層 陽台,持分移轉
RPVRMLKLNHLGFAO96DA,28,8.93,住宅,鋼筋混凝土造,87年4月10日,十二層,八層 陽台,持分移轉
RPVRMLKLNHLGFAO96DA,28,.01,住家用、突出物、梯間,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPVRMLKLNHLGFAO96DA,28,.00,住家用、突出物、梯間,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPVRMLKLNHLGFAO96DA,28,1.76,國民住宅、突出物、梯間,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPVRMLKLNHLGFAO96DA,28,.01,住家用、地下室、夾層,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPVRMLKLNHLGFAO96DA,28,2.23,住家用、地下室、夾層,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPVRMLKLNHLGFAO96DA,28,.01,住家用、地下室、夾層,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPUNMLPLNHLGFAO96DA,34,43.92,見使用執照,鋼筋混凝土造,80年12月31日,十二層,九層 陽台,全筆移轉
RPUNMLPLNHLGFAO96DA,34,15.08,共有部分,鋼筋混凝土造,80年12月31日,十二層,,持分移轉
RPTRNLQLNHLGFAO47DA,,20.66,日用品零售及服務設施,鋼筋混凝土造,115年1月26日,五層,一層,全筆移轉
RPTRNLQLNHLGFAO47DA,,6.52,共有部分,鋼筋混凝土造,115年1月26日,五層,,持分移轉
RPPNMLSLNHLGFAO86EA,28,21.67,住家用,鋼筋混凝土造,87年6月23日,六層,一層,全筆移轉
RPPNMLSLNHLGFAO86EA,28,6.26,共有部分,鋼筋混凝土造,87年6月23日,六層,,持分移轉
RPPNMLSLNHLGFAO86EA,28,8.68,共有部分,鋼筋混凝土造,87年6月23日,六層,,持分移轉
RPPNMLPKNHLGFAO09EA,35,58.56,住家用,鋼筋混凝土造,80年8月21日,五層,四層 陽台,全筆移轉
RPPNMLPKNHLGFAO09EA,35,15.30,住家用,鋼筋混凝土造,80年8月21日,五層,,持分移轉
RPPNMLOKNHLGFAO98EA,27,15.39,店舖,鋼筋混凝土造,88年7月13日,七層,一層,全筆移轉
RPPNMLOKNHLGFAO98EA,27,11.87,共有部分,鋼筋混凝土造,88年7月13日,七層,,持分移轉
RPQNMLSKNHLGFAO76DA,9,39.82,辦公室,鋼筋混凝土造,106年2月6日,七層,五層 陽台 雨遮,全筆移轉
RPQNMLSKNHLGFAO76DA,9,31.49,共有部分,鋼筋混凝土造,106年2月6日,七層,,持分移轉
RPWNMLTKNHLGFAO47DA,,52.29,住家用,加強磚造,,四層,一層,全筆移轉
RPUPMLKLNHLGFAO66DA,2,66.65,集合住宅,鋼筋混凝土造,113年1月8日,五層,三層 陽台,全筆移轉
RPUPMLKLNHLGFAO66DA,2,34.95,共有部分,鋼筋混凝土造,113年1月8日,五層,,持分移轉
RPQNMLKMNHLGFAO78DA,18,.22,守衛室,鋼筋混凝土造,96年12月6日,一層,一層 雨遮,持分移轉
RPQNMLKMNHLGFAO78DA,18,104.67,集合住宅、機電設備空間,鋼筋混凝土造,96年12月6日,十二層,九層 陽台 雨遮,全筆移轉
RPQNMLKMNHLGFAO78DA,18,16.82,梯間、水箱、昇降梯房,鋼筋混凝土造,96年12月6日,十二層,,持分移轉
RPQNMLKMNHLGFAO78DA,18,46.97,防空避難室兼停車空間、開放空間、公共服務空間,鋼筋混凝土造,96年12月6日,十三層,,持分移轉
RPQNMLKMNHLGFAO78DA,18,21.88,防空避難室兼停車空間、開放空間、公共服務空間,鋼筋混凝土造,96年12月6日,十三層,,持分移轉
RPPQMLPLNHLGFAO76DA,30,84.58,住家用,鋼筋混凝土造,85年7月29日,七層,六層 陽台,全筆移轉
RPPQMLPLNHLGFAO76DA,30,8.49,共有部分,鋼筋混凝土造,85年7月29日,七層,,持分移轉
RPPQMLPLNHLGFAO76DA,30,18.78,共有部分,鋼筋混凝土造,85年7月29日,七層,,持分移轉
RPWRMLKLNHLGFAO07DA,28,.03,店舖,鋼筋混凝土造,87年4月10日,十二層,一層 陽台,持分移轉
RPWRMLKLNHLGFAO07DA,28,.02,店舖,鋼筋混凝土造,87年4月10日,十二層,一層 陽台,持分移轉
RPWRMLKLNHLGFAO07DA,28,8.93,住宅,鋼筋混凝土造,87年4月10日,十二層,八層 陽台,持分移轉
RPWRMLKLNHLGFAO07DA,28,.01,住家用、突出物、梯間,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPWRMLKLNHLGFAO07DA,28,.00,住家用、突出物、梯間,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPWRMLKLNHLGFAO07DA,28,1.76,國民住宅、突出物、梯間,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPWRMLKLNHLGFAO07DA,28,.01,住家用、地下室、夾層,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
