鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
新竹市,房地(土地+建物)+車位,新竹市新竹市東南街,16.15,商,,,1150211,土地3建物1車位1,九層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,207.18,4,2,2,有,無,38800000,198086,坡道平面,26.45,3000000,毛胚屋；,RPQNMLMKKHLGFAO48CB,富宇-首馥,D棟9號,
新竹市,房地(土地+建物)+車位,新竹市新竹市竹香南路,16.69,,特定農業區,甲種建築用地,1150214,土地3建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,101.54,2,2,1,有,無,12430000,139659,坡道平面,28.29,2200000,,RPPNMLMJLHLGFAO38CB,元幸福,A5棟7號,
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路,13.44,住,,,1150211,土地17建物1車位1,十四層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.63,2,2,2,有,無,17580000,178877,坡道平面,40.09,2100000,,RPPNMLNJLHLGFAO48CB,鑲湧,B棟14號,
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路,14.55,住,,,1150212,土地17建物1車位1,十七層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.95,2,2,2,有,無,19600000,183584,坡道平面,68.26,2400000,,RPQNMLNJLHLGFAO58CB,鑲湧,E棟17號,
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路,19.86,住,,,1150224,土地17建物1車位2,二十層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,211.54,3,2,2,有,無,28270000,182053,坡道平面,83.72,5000000,,RPRNMLNJLHLGFAO68CB,鑲湧,C棟20號,
新竹市,房地(土地+建物)+車位,新竹市新竹市經國路一段479巷2弄17號隔壁,18.77,住,,,1150304,土地2建物1車位1,五層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,172.25,3,2,2,有,無,27710000,195116,坡道平面,41.61,2220000,,RPPNMLPJLHLGFAO68CB,翡麗琚,D棟5F號,
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段,19.28,,鄉村區,乙種建築用地,1150303,土地13建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,102.34,2,2,2,有,無,15750000,180682,坡道平面,29.56,2600000,,RPPNMLRJLHLGFAO88CB,日光聚,B棟I-3號,
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路,19.86,住,,,1150302,土地17建物1車位2,十二層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,208.0,3,2,2,有,無,26450000,174073,坡道平面,80.18,4200000,,RPRNMLTJLHLGFAO66CB,鑲湧,C棟12號,
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路一段,19.79,其他,,,1150307,土地7建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.72,3,2,2,有,無,30610000,207069,坡道平面,32.9,2900000,,RPPNMLTJLHLGFAO56DB,鴻序,B棟11號,
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路一段,17.88,其他,,,1150228,土地7建物1車位1,五層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,153.8,0,0,0,無,無,24430000,179735,坡道平面,32.9,2700000,,RPQNMLTJLHLGFAO66DB,鴻序,D棟5號,
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路一段,17.88,其他,,,1150307,土地7建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.8,3,2,2,有,無,26400000,196030,坡道平面,32.9,2700000,,RPRNMLTJLHLGFAO76DB,鴻序,D棟10號,
新竹市,房地(土地+建物)+車位,新竹市新竹市湳雅街,25.62,住,,,1150214,土地3建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.64,3,2,2,有,無,27100000,202263,坡道平面,36.78,2250000,,RPRNMLKKLHLGFAO48CB,昌傑玥玥,C棟10號,
