編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLTJLHLGFAO76DB,坡道平面,2700000,32.90,地下三樓
RPQNMLTJLHLGFAO66DB,坡道平面,2700000,32.90,地下三樓
RPPNMLTJLHLGFAO56DB,坡道平面,2900000,32.90,地下一樓
RPPNMLOKLHLGFAO78DB,坡道平面,3000000,32.90,地下一樓
RPVNMLKKLHLGFAO88CB,坡道平面,2700000,27.20,地下二樓
RPPNMLMJLHLGFAO38CB,坡道平面,2200000,28.29,地下一樓
RPQNMLMKKHLGFAO48CB,坡道平面,3000000,26.45,地下二樓
RPRNMLTKLHLGFAO76CB,一樓平面,1800000,18.82,一樓
RPSNMLKKLHLGFAO58CB,坡道平面,2050000,34.02,地下五樓含以下
RPQNMLNLLHLGFAO78CB,坡道平面,1700000,36.71,地下四樓
RPPNMLNJLHLGFAO48CB,坡道平面,2100000,40.09,地下三樓
RPRNMLNJLHLGFAO68CB,坡道平面,2500000,40.09,地下一樓
RPRNMLNJLHLGFAO68CB,坡道平面,2500000,43.63,地下一樓
RPQOMLKLLHLGFAO58CB,一樓平面,2000000,22.41,一樓
RPQNMLNJLHLGFAO58CB,坡道平面,2400000,68.26,地下三樓
RPSNMLNLLHLGFAO98CB,坡道平面,1850000,40.09,地下四樓
RPRNMLKKLHLGFAO48CB,坡道平面,2250000,36.78,地下三樓
RPPNMLPJLHLGFAO68CB,坡道平面,2220000,41.61,地下三樓
RPPNMLRJLHLGFAO88CB,坡道平面,2600000,29.56,地下一樓
RPUNMLKKLHLGFAO78CB,一樓平面,1500000,13.75,一樓
RPUNMLKKLHLGFAO78CB,一樓平面,1500000,13.75,一樓
RPUNMLKKLHLGFAO78CB,一樓平面,1500000,13.75,一樓
RPUNMLKKLHLGFAO78CB,一樓平面,1500000,13.75,一樓
RPRNMLTJLHLGFAO66CB,坡道平面,2100000,40.09,地下三樓
RPRNMLTJLHLGFAO66CB,坡道平面,2100000,40.09,地下三樓
RPSNMLOLLHLGFAO09CB,坡道平面,2150000,18.97,地下一樓
RPQNMLOLLHLGFAO88CB,一樓平面,2300000,20.62,一樓
RPRNMLOLLHLGFAO98CB,坡道平面,2200000,20.62,地下一樓
RPTNMLKKLHLGFAO68CB,坡道平面,1950000,32.15,地下三樓
RPWNMLOLLHLGFAO86CB,坡道平面,2050000,29.78,地下二樓
RPPNMLOLLHLGFAO78CB,坡道平面,2200000,20.62,地下一樓
RPRNMLNLLHLGFAO88CB,坡道平面,1950000,40.09,地下四樓
RPTNMLOLLHLGFAO56CB,坡道平面,2200000,20.62,地下一樓
RPVNMLOLLHLGFAO76CB,坡道平面,2050000,29.78,地下二樓
RPVNMLOLLHLGFAO76CB,坡道平面,2050000,29.78,地下二樓
RPUNMLOLLHLGFAO66CB,坡道平面,2050000,29.78,地下二樓
RPTNMLLJMHLGFAO78CB,坡道平面,2300000,33.84,地下四樓
RPPNMLLMLHLGFAO58CB,坡道平面,2200000,28.29,地下一樓
RPQNMLLJMHLGFAO48CB,坡道平面,2200000,28.29,地下一樓
RPQNMLLMLHLGFAO68CB,坡道平面,2200000,28.29,地下一樓
RPSNMLKMLHLGFAO78CB,其他,1800000,13.22,一樓
RPUNMLKMLHLGFAO98CB,其他,3000000,7.93,地下一樓
RPUNMLLJMHLGFAO88CB,坡道平面,2550000,37.89,地下二樓
RPTNMLKMLHLGFAO88CB,其他,1500000,13.22,一樓
RPXNMLOLLHLGFAO96CB,坡道平面,2050000,29.78,地下二樓
RPRNMLLMLHLGFAO78CB,坡道平面,2200000,28.29,地下一樓
RPRNMLLJMHLGFAO58CB,坡道平面,2200000,28.29,地下一樓
RPRNMLKMLHLGFAO68CB,坡道平面,2700000,36.93,地下三樓
RPRNMLKMLHLGFAO68CB,坡道平面,2700000,36.93,地下三樓
RPPNMLLJMHLGFAO38CB,坡道平面,2100000,27.24,地下一樓
RPPNMLKMLHLGFAO48CB,坡道平面,2700000,36.93,地下三樓
RPPNMLKMLHLGFAO48CB,坡道平面,2700000,36.93,地下三樓
RPQNMLKMLHLGFAO58CB,坡道平面,3200000,36.93,地下一樓
RPQNMLKMLHLGFAO58CB,坡道平面,3200000,36.93,地下一樓
RPSNMLLJMHLGFAO68CB,坡道平面,2200000,28.29,地下一樓
RPXNMLRJMHLGFAO17CB,坡道平面,2200000,33.84,地下四樓
RPTNMLRJMHLGFAO76CB,坡道平面,3200000,34.94,地下一樓
RPSNMLRJMHLGFAO66CB,升降機械,1500000,3.93,地下一樓
RPRNMLRJMHLGFAO56CB,其他,3000000,7.93,地下一樓
RPPNMLTJMHLGFAO56CB,坡道平面,2750000,34.94,地下三樓
RPWNMLRJMHLGFAO07CB,坡道平面,2500000,33.84,地下四樓
RPRNMLTJMHLGFAO76CB,坡道平面,2900000,34.94,地下三樓
RPVNMLTJMHLGFAO17CB,坡道平面,2750000,34.94,地下四樓
RPPOMLRJMHLGFAO09CB,坡道平面,3100000,34.94,地下三樓
RPOOMLRJMHLGFAO98CB,坡道平面,2900000,34.94,地下三樓
RPWNMLTJMHLGFAO27CB,坡道平面,3200000,34.94,地下一樓
RPQOMLTJMHLGFAO76CB,坡道平面,3050000,34.94,地下二樓
RPXNMLTJMHLGFAO37CB,升降機械,1500000,13.00,地下一樓
RPSOMLTJMHLGFAO96CB,坡道平面,2150000,34.94,地下四樓
RPTOMLTJMHLGFAO07CB,坡道平面,2900000,34.94,地下三樓
RPROMLTJMHLGFAO86CB,坡道平面,2900000,34.94,地下二樓
RPPOMLTJMHLGFAO66CB,坡道平面,2600000,36.19,地下三樓
RPUOMLTJMHLGFAO17CB,坡道平面,2300000,34.94,地下三樓
RPVOMLTJMHLGFAO27CB,坡道平面,2500000,33.84,地下四樓
RPVNMLRJMHLGFAO96CB,坡道平面,3000000,34.94,地下二樓
RPWOMLTJMHLGFAO37CB,坡道平面,2600000,34.94,地下四樓
RPTNMLTJMHLGFAO96CB,坡道平面,2150000,34.94,地下四樓
RPQNMLTJMHLGFAO66CB,坡道平面,2500000,33.84,地下三樓
RPSNMLNKMHLGFAO98CB,坡道平面,2050000,29.78,地下二樓
RPRNMLNKMHLGFAO88CB,坡道平面,2050000,29.78,地下一樓
RPTNMLOKMHLGFAO56CB,坡道平面,2750000,36.19,地下二樓
RPTNMLNKMHLGFAO09CB,坡道平面,2200000,20.62,地下一樓
RPSOMLRJMHLGFAO76CB,坡道平面,2450000,34.94,地下四樓
RPROMLRJMHLGFAO66CB,坡道平面,3050000,34.94,地下二樓
RPRNMLOKMHLGFAO98CB,坡道平面,2450000,34.94,地下四樓
RPUNMLOKMHLGFAO66CB,坡道平面,2300000,34.94,地下三樓
RPSNMLOKMHLGFAO09CB,坡道平面,2650000,34.94,地下四樓
RPTOMLRJMHLGFAO86CB,坡道平面,2600000,34.94,地下四樓
RPXNMLOKMHLGFAO96CB,坡道平面,2350000,33.84,地下四樓
RPQOMLOKMHLGFAO98CB,坡道平面,2350000,33.84,地下三樓
RPPOMLOKMHLGFAO88CB,坡道平面,2750000,34.94,地下四樓
RPWNMLOKMHLGFAO86CB,坡道平面,2850000,34.94,地下三樓
RPOOMLOKMHLGFAO78CB,坡道平面,2750000,34.94,地下四樓
RPVNMLOKMHLGFAO76CB,坡道平面,2900000,34.94,地下三樓
RPROMLOKMHLGFAO09CB,坡道平面,2500000,33.84,地下四樓
RPSOMLOKMHLGFAO56CB,坡道平面,2900000,34.94,地下三樓
RPQOMLRJMHLGFAO56CB,坡道平面,3000000,34.94,地下三樓
RPQOMLRJMHLGFAO56CB,坡道平面,3000000,34.94,地下三樓
RPUNMLRJMHLGFAO86CB,坡道平面,3200000,34.94,地下一樓
RPUNMLTJMHLGFAO07CB,坡道平面,2300000,33.84,地下四樓
RPSNMLTJMHLGFAO86CB,坡道平面,3200000,34.94,地下一樓
RPVOMLOKMHLGFAO86CB,坡道平面,2200000,29.78,地下一樓
RPTNMLQKMHLGFAO76CB,坡道平面,1950000,34.02,地下四樓
RPRNMLLLMHLGFAO78CB,坡道平面,3100000,34.94,地下三樓
RPSNMLKLMHLGFAO78CB,坡道平面,2200000,28.29,地下一樓
RPQNMLLLMHLGFAO68CB,坡道平面,3050000,34.94,地下二樓
RPPNMLLLMHLGFAO58CB,坡道平面,2900000,34.94,地下三樓
RPTNMLLLMHLGFAO98CB,坡道平面,2750000,34.94,地下四樓
RPPNMLQKMHLGFAO98CB,其他,2900000,,一樓
RPRNMLQKMHLGFAO56CB,坡道平面,2600000,34.94,地下四樓
RPQNMLQKMHLGFAO09CB,其他,2900000,,一樓
RPSNMLLLMHLGFAO88CB,坡道平面,2500000,33.84,地下三樓
RPSNMLQKMHLGFAO66CB,坡道平面,2750000,34.94,地下四樓
RPUOMLOKMHLGFAO76CB,坡道平面,2950000,37.69,地下四樓
RPTOMLOKMHLGFAO66CB,坡道平面,2600000,34.94,地下四樓
RPTNMLKLMHLGFAO88CB,坡道平面,2200000,28.29,地下一樓
RPOOMLSLMHLGFAO66CB,坡道機械,1300000,21.63,地下二樓
RPOOMLLLMHLGFAO58CB,坡道平面,2800000,26.45,地下三樓
RPQOMLLLMHLGFAO78CB,一樓平面,2200000,17.33,一樓
RPSNMLSLMHLGFAO96CB,坡道平面,2900000,34.94,地下三樓
RPXNMLLLMHLGFAO76CB,坡道平面,2800000,26.45,地下三樓
RPVNMLSLMHLGFAO27CB,坡道平面,2200000,34.35,地下一樓
RPRNMLMLMHLGFAO88CB,坡道平面,2250000,40.09,地下二樓
RPPNMLMLMHLGFAO68CB,坡道平面,2100000,40.09,地下三樓
RPTNMLSLMHLGFAO07CB,坡道平面,2900000,34.94,地下三樓
RPROMLLLMHLGFAO88CB,坡道平面,2400000,37.89,地下三樓
RPUNMLLLMHLGFAO09CB,坡道平面,3050000,34.94,地下一樓
RPUNMLSLMHLGFAO17CB,坡道平面,2450000,33.84,地下三樓
RPQNMLMLMHLGFAO78CB,坡道平面,1950000,40.09,地下四樓
RPWNMLLLMHLGFAO66CB,坡道平面,2600000,26.45,地下四樓
RPWNMLSLMHLGFAO37CB,坡道平面,2100000,34.35,地下二樓
RPXNMLSLMHLGFAO47CB,坡道機械,1300000,21.63,地下二樓
RPPNMLNLMHLGFAO78CB,坡道平面,3050000,26.45,地下二樓
RPPNMLPJNHLGFAO98DB,坡道平面,2600000,33.10,一樓
RPRNMLSLMHLGFAO86CB,坡道平面,2600000,33.84,地下二樓
RPQNMLSLMHLGFAO76CB,坡道平面,2900000,34.94,地下三樓
RPPOMLLLMHLGFAO68CB,一樓平面,2000000,18.82,一樓
RPVNMLQJNHLGFAO96CB,坡道平面,2100000,28.29,地下二樓
RPWNMLPJNHLGFAO96CB,坡道平面,1850000,29.78,地下二樓
RPUNMLQJNHLGFAO86CB,坡道平面,2100000,28.29,地下二樓
