鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
新竹市,租賃房屋+車位,新竹市新竹市光復路一段３５４巷１６弄２８號３樓之２,0.0,,,,1150211,土地0建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831020,132.89000000000001,3,2,2,有,有,有,25000,188,坡道機械,0.0,0,多人共同承租4；,RPPNMLNLKHLGFAO68CC,整棟(戶)出租,有,1150215~1160214,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
新竹市,租賃房屋,新竹市新竹市經國路二段１１１號９樓之４,0.0,,,,1150211,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,0860715,35.25,1,1,1,有,有,有,7500,213,,0.0,0,租金總額含網路費；,RPRNMLNLKHLGFAO88CC,獨立套房,有,1150212~1160211,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,社會住宅代管
新竹市,租賃房屋,新竹市新竹市光復路二段９１２號７樓之４,0.0,,,,1150211,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830910,122.66,3,2,2,有,有,有,15500,126,,0.0,0,續租案件；,RPSNMLNLKHLGFAO98CC,整棟(戶)出租,無,1150215~1160214,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
新竹市,租賃房屋,新竹市新竹市林森路２７５號１５樓之１,0.0,,,,1150212,土地0建物1車位0,十五層,17,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,0860520,29.24,1,0,1,有,有,有,7500,256,,0.0,0,續租案件；,RPTNMLNLKHLGFAO09CC,獨立套房,無,1150301~1160228,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
新竹市,租賃房屋,新竹市新竹市建新路１１０巷１２弄１８號,0.0,,,,1150212,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,75.32,3,2,2,有,無,有,16000,212,,0.0,0,續租案件；,RPVNMLNLKHLGFAO66CC,整棟(戶)出租,無,1150301~1160228,無,冷氣、熱水器,社會住宅代管
新竹市,租賃房屋,新竹市新竹市東華路７號４樓之１,0.0,,,,1150213,土地0建物1車位0,四層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1030829,110.19,2,1,1,有,有,有,16500,150,,0.0,0,續租案件；,RPOOMLNLKHLGFAO68CC,整棟(戶)出租,有,1150301~1160228,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
新竹市,租賃房屋,新竹市新竹市西門街１３１號２樓,0.0,,,,1150213,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750424,91.0,3,2,2,有,無,有,14000,154,,0.0,0,,RPPOMLNLKHLGFAO78CC,整棟(戶)出租,無,1150315~1160314,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
新竹市,租賃房屋,新竹市新竹市光復路一段４３８號,0.0,,,,1150211,土地0建物1車位0,全,3,透天厝,見使用執照,鋼筋混凝土造,0740406,55.42,0,0,0,無,無,無,15000,271,,0.0,0,,RPPNMLPLKHLGFAO88CC,,無,1150223~1180222,無,,
新竹市,租賃房屋,新竹市新竹市光復路一段７２號５樓之９,0.0,,,,1150212,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880810,44.269999999999996,1,1,1,有,有,有,11000,248,,0.0,0,續租案件；,RPQNMLPLKHLGFAO98CC,獨立套房,有,1150313~1160312,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
新竹市,租賃房屋,新竹市新竹市民權路５６巷１９號八樓之６,0.0,,,,1150211,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1030830,46.11,1,0,1,有,有,有,13500,293,,0.0,0,租金總額含管理費；續租案件；,RPRNMLPLKHLGFAO09CC,獨立套房,有,1150225~1160224,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
新竹市,租賃房屋,新竹市新竹市中華路四段７０５之４７號五樓,0.0,,,,1150212,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0960630,29.27,1,1,1,有,有,有,6200,212,,0.0,0,管理費800元由出租人負擔。續租案件；,RPSNMLPLKHLGFAO56CC,獨立套房,有,1150315~1160314,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
新竹市,租賃房屋,新竹市新竹市林森路２７５號８樓之５,0.0,,,,1150223,土地0建物1車位0,八層,17,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,0860520,31.200000000000003,1,0,1,有,有,有,8500,272,,0.0,0,租金總額含管理費；續租案件；,RPTNMLPLKHLGFAO66CC,獨立套房,有,1150223~1160222,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
新竹市,租賃房屋,新竹市新竹市中正路１８２號３樓之１０,0.0,,,,1150223,土地0建物1車位0,三層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0960305,24.89,1,0,1,有,有,有,7800,313,,0.0,0,租金總額含管理費；續租案件；,RPUNMLPLKHLGFAO76CC,獨立套房,有,1150325~1160324,有,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
新竹市,租賃房屋,新竹市新竹市大庄路２２８巷３９之１號７樓,0.0,,,,1150224,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840127,112.1,3,2,2,有,有,有,13000,116,,0.0,0,續租案件；,RPVNMLPLKHLGFAO86CC,整棟(戶)出租,有,1150325~1160324,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
新竹市,租賃房屋,新竹市新竹市牛埔北路１８７之５號３樓,0.0,,,,1150223,土地0建物1車位0,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840118,101.16,3,2,2,有,有,無,14000,138,,0.0,0,續租案件；,RPWNMLPLKHLGFAO96CC,整棟(戶)出租,有,1150301~1160228,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
新竹市,租賃房屋,新竹市新竹市光復路二段２７２號７樓之２,0.0,,,,1150223,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870211,54.41,1,1,1,有,有,有,15800,290,,0.0,0,租金總額含管理費；網路費；續租案件；,RPXNMLPLKHLGFAO07CC,獨立套房,有,1150225~1160224,有,冷氣、電視機、冰箱、有線電視、網路,社會住宅代管
新竹市,租賃房屋,新竹市新竹市安康街１０巷５１號,0.0,,,,1150225,土地0建物1車位0,一層,4,店面(店鋪),店舖、停車空間、住宅、樓梯間、機械室,鋼筋混凝土造,1040720,55.06,0,0,0,無,無,無,16000,291,,0.0,0,租賃期間有約定不同租金115/4/1~117/3/31租金為16000元；117/4/1~118/3/31租金為17000元。；,RPQNMLQLKHLGFAO09CC,,無,1150401~1180331,無,,
新竹市,租賃房屋,新竹市新竹市民生路１８０巷１７弄４７號２樓,0.0,,,,1150213,土地0建物0車位0,全,5,透天厝,集合住宅,鋼筋混凝土造,1130708,26.45,3,0,3,有,無,有,15500,586,,0.0,0,租賃建物部分範圍，且未計入共有部分面積；,RPSNMLQLKHLGFAO66CC,分租套房,無,1150225~1160224,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,
新竹市,租賃房屋,新竹市新竹市香北一路１９１巷８號５樓之２,0.0,,,,1150225,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950731,24.450000000000003,1,0,1,有,有,有,7000,286,,0.0,0,租金總額含管理費；網路費；續租案件；,RPPNMLRLKHLGFAO09CC,獨立套房,有,1150311~1160310,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,社會住宅包租轉租
新竹市,租賃房屋,新竹市新竹市莊敬街１０８號７樓之５,0.0,,,,1150224,土地0建物1車位0,七層,9,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,1011016,122.32,3,2,2,有,有,有,16200,132,,0.0,0,未租賃車位，建物登記含有車位面積；續租案件；,RPQNMLRLKHLGFAO56CC,整棟(戶)出租,有,1150315~1160314,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
新竹市,租賃房屋,新竹市新竹市新源街１００號７樓之２,0.0,,,,1150224,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住宅,鋼筋混凝土造,0870410,129.21,3,2,2,有,有,有,24000,186,,0.0,0,續租案件；,RPRNMLRLKHLGFAO66CC,整棟(戶)出租,有,1150228~1160227,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
新竹市,租賃房屋+車位,新竹市新竹市關新路１９巷２８號１１樓,0.0,,,,1150225,土地0建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),商務住宅,鋼筋混凝土造,0971022,128.42,1,2,2,有,有,無,27500,214,坡道平面,0.0,0,,RPPNMLMJLHLGFAO48CC,整棟(戶)出租,有,1150301~1170228,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,一般包租
新竹市,租賃房屋,新竹市新竹市竹光路８號１２樓之１４,0.0,,,,1150225,土地0建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860205,36.21,1,1,1,有,有,有,9000,249,,0.0,0,續租案件；,RPTNMLMJLHLGFAO88CC,獨立套房,有,1150316~1160315,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,社會住宅包租轉租
新竹市,租賃房屋,新竹市新竹市長春街４０巷２２號,0.0,,,,1150224,土地0建物0車位0,全,2,透天厝,住家用,加強磚造,0740424,13.23,6,0,6,有,無,有,6300,476,,0.0,0,租金總額含水費；網路費；其他有線電視費；含增建或未登記建物；續租案件；,RPWNMLMJLHLGFAO56CC,分租套房,無,1150301~1160228,無,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
新竹市,租賃房屋,新竹市新竹市埔頂三路３８號二十八樓之５,0.0,,,,1150226,土地0建物1車位0,二十八層,29,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1120530,164.91,4,2,2,有,有,有,28000,170,,0.0,0,續租案件；,RPSNMLNJLHLGFAO88CC,整棟(戶)出租,有,1150305~1160304,有,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
新竹市,租賃房屋,新竹市新竹市東大路一段５２巷３５號４樓,0.0,,,,1150225,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0800830,107.98,3,2,2,有,無,有,20000,185,,0.0,0,未租賃車位，建物登記含有車位面積；,RPTNMLNJLHLGFAO98CC,整棟(戶)出租,無,1150228~1160227,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
新竹市,租賃房屋,新竹市新竹市埔頂三路３８號二十八樓之３,0.0,,,,1150302,土地0建物1車位0,二十八層,29,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1120530,148.82999999999998,4,2,2,有,有,有,28000,188,,0.0,0,續租案件；,RPQNMLOJLHLGFAO78CC,整棟(戶)出租,有,1150310~1160309,有,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
新竹市,租賃房屋,新竹市新竹市中華路二段１７０巷２號五樓之１,0.0,,,,1150303,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,1001015,106.75999999999999,3,2,2,有,有,有,29800,279,,0.0,0,續租案件；,RPRNMLOJLHLGFAO88CC,整棟(戶)出租,有,1150304~1160303,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
新竹市,租賃房屋,新竹市新竹市中南街２０號５樓之３,0.0,,,,1150225,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840331,21.98,1,1,1,有,有,有,6300,287,,0.0,0,管理費200元由出租人負擔。續租案件；,RPSNMLOJLHLGFAO98CC,獨立套房,有,1150315~1160314,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
新竹市,租賃房屋,新竹市新竹市至善街３１巷２號,0.0,,,,1150225,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0870318,25.259999999999998,1,1,1,有,有,有,7500,297,,0.0,0,續租案件；,RPTNMLOJLHLGFAO09CC,獨立套房,有,1150311~1160310,無,冷氣、熱水器、冰箱,社會住宅代管
新竹市,租賃房屋,新竹市新竹市花園街５６號１１F之３,0.0,,,,1150303,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,36.67,1,0,1,有,有,有,8000,218,,0.0,0,續租案件；,RPUNMLOJLHLGFAO56CC,獨立套房,有,1150328~1160121,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
新竹市,租賃房屋,新竹市新竹市高?路１號６樓,0.0,,,,1150304,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850509,102.92999999999999,3,2,2,有,有,有,17000,165,,0.0,0,租金總額含管理費；續租案件；,RPPNMLPJLHLGFAO78CC,整棟(戶)出租,有,1150311~1160310,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
新竹市,租賃房屋,新竹市新竹市振興路５６號,0.0,,,,1150227,土地0建物0車位0,一層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0831207,26.0,4,0,4,有,無,有,7800,300,,0.0,0,租金總額含水費；網路費；,RPPNMLQJLHLGFAO88CC,分租套房,無,1150308~1160307,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,
新竹市,租賃房屋,新竹市新竹市中華路六段６４７巷１３６弄４２３號,0.0,,,,1150228,土地0建物1車位0,全,3,透天厝,集合住宅、樓梯間,鋼筋混凝土造,1141022,147.66,3,2,2,有,有,無,28500,193,,0.0,0,租金總額含管理費；,RPQNMLQJLHLGFAO98CC,整棟(戶)出租,有,1150315~1160314,無,冷氣、熱水器、瓦斯或天然氣,
