編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLMJOHLGFEP86DA,東興段,2316.86,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,20140000
RPRNMLMKNHLGFAP09EA,龍潭段,213.54,非都市：鄉村區 ; 非都市編定：乙種建築用地,38593,21354,持分移轉,02710000
RPXNMLMKNHLGFAP07EA,龍潭段,62.83,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02710010
RPVNMLRJNHLGFEP57DA,後厝段,2763.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06410000
RPSNMLMKNHLGFAP56EA,龍潭段,89.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02710001
RPRNMLOKNHLGFAP66EA,崁腳段,16.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01310164
RPRNMLOKNHLGFAP66EA,崁腳段,916.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01310165
RPQNMLSJNHLGFEP17DA,湖口段,5348.73,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05350000
RPWNMLRJNHLGFEP67DA,順天段,1133.05,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06240000
RPQNMLPJNHLGFEP86DA,頂蔦松段,2219.33,非都市：河川區 ; 非都市編定：農牧用地,6,2,持分移轉,00810000
RPTNMLSJNHLGFEP47DA,新湖段,252.00,非都市：一般農業區 ; 非都市編定：養殖用地,1,1,全筆移轉,02410100
RPWNMLMKNHLGFAP96EA,龍潭段,68.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02710008
RPPNMLRJNHLGFEP96DA,關聖段,140.00,都市：其他:住宅區,1,1,全筆移轉,08150002
RPUNMLMKNHLGFAP76EA,龍潭段,55.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02710003
RPTNMLMKNHLGFAP66EA,龍潭段,55.78,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02710002
RPVNMLMKNHLGFAP86EA,龍潭段,90.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02710007
RPRNMLQJNHLGFEP07DA,蕃薯段,1870.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,28120000
RPRNMLQJNHLGFEP07DA,蕃薯段,2494.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,28130000
RPRNMLQJNHLGFEP07DA,蕃薯段,2868.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,28190000
RPPNMLQJNHLGFEP86DA,北湖段,385.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,36,5,持分移轉,03510000
RPPNMLQJNHLGFEP86DA,北湖段,131.98,非都市：特定農業區 ; 非都市編定：交通用地,112,19,持分移轉,03840000
RPSNMLOKNHLGFAP76EA,烏塗段,10.10,非都市：特定農業區 ; 非都市編定：水利用地,54,2,持分移轉,05890000
RPSNMLOKNHLGFAP76EA,烏塗段,98.27,非都市：特定農業區 ; 非都市編定：農牧用地,3,1,持分移轉,05950000
RPSNMLOKNHLGFAP76EA,烏塗段,15.31,非都市：特定農業區 ; 非都市編定：農牧用地,54,2,持分移轉,05960002
