編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLLLNHLGFAP88EA,坡道平面,0,,地下二樓
RPRNMLPLNHLGFAP76DA,坡道機械,0,9.68,地下一樓
RPVNMLPLNHLGFAP17DA,坡道平面,0,31.58,地下一樓
RPSNMLLJOHLGFAP98DA,一樓平面,0,,一樓
RPRNMLOKMHLGFAP56EA,坡道機械,0,,地下一樓
RPPNMLOKMHLGFDP56DA,坡道平面,0,,地下一樓
RPOQMLTLMHLGFAP07DA,坡道平面,0,,地下二樓
RPXNMLRJNHLGFAP37DA,坡道平面,0,31.58,地下二樓
RPOOMLRJMHLGFDP76DA,其他,0,,一樓
RPQNMLRJNHLGFDP96DA,坡道平面,0,26.45,地下二樓
RPPNMLNKNHLGFDP56DA,一樓平面,0,,一樓
RPPNMLMKNHLGFAP78DA,坡道平面,0,34.29,地下一樓
RPPNMLMKNHLGFAP78DA,坡道平面,0,34.29,地下一樓
RPPNMLMKNHLGFBP88DA,坡道機械,700000,13.23,地下一樓
RPSPMLTKNHLGFDP67DA,一樓平面,0,11.64,一樓
RPSPMLTKNHLGFDP67DA,一樓平面,0,11.64,一樓
RPSPMLTKNHLGFDP67DA,一樓平面,0,11.64,一樓
RPUNMLRJNHLGFAP07DA,坡道平面,0,,地下一樓
RPRNMLRKNHLGFAP86DA,坡道平面,0,,地下一樓
RPUOMLNKNHLGFAP86DA,坡道平面,0,,地下一樓
RPOOMLKLNHLGFAP68DA,坡道平面,39055,17.16,地下一樓
RPQNMLSLNHLGFAP07EA,坡道平面,0,,地下一樓
RPQNMLSLNHLGFBP07DA,坡道平面,0,28.67,地下二樓
RPTNMLLJOHLGFAP09DA,一樓平面,0,,一樓
RPRNMLTLNHLGFCP37DA,一樓平面,0,,一樓
RPXQMLMKNHLGFAP27DA,一樓平面,0,,一樓
RPQNMLSKLHLGFAP66DA,坡道平面,0,31.58,地下一樓
RPQNMLQLLHLGFCP76DA,坡道平面,0,,地下一樓
RPWNMLKMLHLGFAP66DA,坡道平面,0,23.86,地下二樓
RPTNMLKMLHLGFAP98DA,坡道機械,0,,地下一樓
RPSNMLKKMHLGFBP88DA,坡道平面,0,,地下一樓
RPQNMLRJMHLGFAP56DA,坡道平面,0,27.64,地下二樓
RPXNMLPKMHLGFDP47DA,一樓平面,0,16.27,一樓
RPQNMLQKMHLGFDP96EA,一樓平面,0,17.89,一樓
RPQNMLOKMHLGFAP09EA,坡道機械,0,8.86,地下一樓
RPUNMLSJMHLGFAP07DA,坡道平面,1200000,31.58,地下二樓
RPTNMLPKMHLGFAP76DA,坡道平面,0,,地下一樓
RPXOMLOKMHLGFAP17DA,坡道機械,0,,地下一樓
RPTSMLNKMHLGFAP07DA,一樓平面,0,19.15,一樓
RPRNMLNLMHLGFAP09DA,一樓平面,0,19.15,一樓
RPPNMLNLMHLGFDP56DA,坡道平面,0,26.45,地下二樓
RPQNMLOLMHLGFAP56EA,坡道平面,0,,地下一樓
RPWOMLLJMHLGFDP96DA,一樓平面,0,13.75,一樓
RPVNMLKKMHLGFAP09DA,坡道平面,0,,地下一樓
RPVNMLRJMHLGFAP07DA,一樓平面,0,,一樓
RPPNMLQJNHLGFAP56EA,坡道平面,0,,地下一樓
RPPNMLRJNHLGFDP86DA,一樓平面,0,,一樓
RPQNMLSJNHLGFDP17EA,一樓平面,0,19.89,一樓
RPVOMLKMLHLGFDP96DA,一樓平面,1200000,,一樓
RPPNMLOKNHLGFBP56EA,坡道機械,0,13.23,地下一樓
RPQNMLNKNHLGFFP86DA,坡道平面,0,,地下一樓
RPUNMLRJMHLGFAP96DA,一樓平面,0,,一樓
RPRNMLQLNHLGFAP86DA,一樓平面,0,23.14,一樓
RPQNMLRLNHLGFAP86DA,一樓平面,0,,一樓
RPPNMLNJOHLGFBP09EA,坡道機械,0,13.23,地下一樓
RPSOMLPLNHLGFBP07DA,坡道平面,1600000,29.79,地下一樓
RPXOMLPLNHLGFBP57DA,坡道平面,1500000,29.79,地下二樓
RPOPMLPLNHLGFBP76DA,坡道平面,1500000,29.79,地下二樓
