鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮建國三路,29.35,住,,,1150215,土地2建物1車位1,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,92.72,2,1,2,有,無,7700000,81926,一樓平面,13.38,1200000,,RPPNMLRKKHLGFBP56DB,一暘文心,7C號,
斗南鎮,房地(土地+建物),雲林縣斗南鎮延平路二段,25.46,,特定農業區,甲種建築用地,1150213,土地3建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,83.84,1,1,1,有,無,7500000,89456,,0.0,0,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPPNMLOLKHLGFBP88CB,春不老,C棟3號,
斗南鎮,房地(土地+建物),雲林縣斗南鎮新生三路,35.16,住,,,1150220,土地3建物1車位0,二層,6,華廈(10層含以下有電梯),住家用,混凝土造,,59.0,2,1,1,有,無,6460000,109492,,0.0,0,,RPPNMLQLKHLGFBP09CB,墅合院5,A棟A5-2樓號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮虎興南路,109.31,住,,,1150222,土地4建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,183.07,4,2,5,有,無,16000000,87398,一樓平面,22.13,0,,RPPNMLQLKHLGFDP66CB,庭宇建設-峰雲座,B棟16號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮埒內路,93.0,,特定農業區,甲種建築用地,1150225,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,,169.11,4,2,4,有,無,15000000,88700,,0.0,0,,RPPNMLNJLHLGFDP88CB,匯如意,A棟6號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮埒內路,107.0,,特定農業區,甲種建築用地,1150226,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,131.44,3,2,3,有,無,11780000,89623,,0.0,0,,RPQNMLNJLHLGFDP98CB,匯如意,C棟21號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮埒內路,90.0,,鄉村區,乙種建築用地,1150301,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,167.77,4,2,4,有,無,13500000,80467,,0.0,0,,RPRNMLNJLHLGFDP09CB,匯如意,B棟7號,
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮守成街,26.02,住,,,1150224,土地2建物1車位1,八層,10,華廈(10層含以下有電梯),住家用,鋼骨鋼筋混凝土造,,114.45,2,1,2,有,無,8750000,80142,坡道平面,21.49,1300000,,RPPNMLNJLHLGFBP78DB,MY微風,8D號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮永興北二街與虎興北路交叉路口,24.23,住,,,1150214,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,98.36,2,1,1,有,無,7710000,79171,坡道平面,14.87,1100000,,RPPNMLTJLHLGFDP86CB,禾楓君悅-高鐵綻8期,P號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮永興南二街及虎興西五街,104.69,住,,,1150214,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,172.74,5,2,5,有,無,15200000,87994,,0.0,0,,RPQNMLTJLHLGFDP96CB,禾楓君悅-高鐵18期,B棟2號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興東6路,92.32,住,,,1150214,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,159.13,4,2,4,有,無,11580000,72771,,0.0,0,,RPRNMLTJLHLGFDP07CB,禾楓君悅-大學9期,B棟39號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興東6路,92.32,住,,,1150228,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,159.13,4,2,4,有,無,11580000,72771,,0.0,0,,RPSNMLTJLHLGFDP17CB,禾楓君悅-大學9期,B棟33A號,
北港鎮,房地(土地+建物),雲林縣北港鎮公園路,87.27,住,,,1150306,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,182.18,5,2,4,有,無,17800000,97706,,0.0,0,,RPPNMLTJLHLGFEP96CB,品峰會,A棟1號,
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮守成街,26.02,住,,,1150307,土地2建物1車位1,九層,10,華廈(10層含以下有電梯),住家用,鋼骨鋼筋混凝土造,,114.45,2,1,2,有,無,8750000,80142,坡道平面,21.49,1300000,,RPPNMLTJLHLGFBP76DB,MY微風,9D號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮科園路/虎興西一街交叉路口,90.35,住,,,1150225,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,175.78,4,2,5,有,無,17280000,98305,,0.0,0,,RPPNMLKKLHLGFDP68CB,京綻,A棟7號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮科園路/虎興西一街交叉路口,152.55,住,,,1150225,土地1建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,,377.61,5,1,6,有,無,36880000,97667,,0.0,0,,RPQNMLKKLHLGFDP78CB,京綻,A棟1號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮科園路/虎興西一街交叉路口,149.28,住,,,1150225,土地1建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,,377.61,5,1,6,有,無,36880000,97667,,0.0,0,,RPRNMLKKLHLGFDP88CB,京綻,A棟2號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市文治街,25.96,住,,,1150225,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,151.9,3,2,2,有,無,13490000,98521,坡道平面,30.2,1500000,,RPPNMLLKLHLGFAP48CB,鄉林?雲峰,B8棟6F號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市文治街,26.35,住,,,1150304,土地1建物1車位2,三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,183.9,3,2,2,有,無,14600000,93927,坡道平面,60.4,3000000,該戶合約書簽約土地持分面積26.34平方公尺,RPQNMLLKLHLGFAP58CB,鄉林?雲峰,A7棟3F號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮建成路與六十甲路交叉口,118.63,住,,,1150213,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,338.15,3,3,5,有,無,33000000,97590,,0.0,0,,RPPNMLLKLHLGFDP78CB,朗朗特區,A棟7號,
元長鄉,房地(土地+建物),雲林縣元長鄉南山路,107.23,,特定農業區,甲種建築用地,1150214,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,167.39,4,1,4,有,無,9200000,54961,,0.0,0,,RPPNMLOKLHLGFEP56CB,青砌二期,A1棟0號,
元長鄉,房地(土地+建物),雲林縣元長鄉南山路,103.23,,特定農業區,甲種建築用地,1150214,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,167.39,4,1,4,有,無,9000000,53767,,0.0,0,,RPQNMLOKLHLGFEP66CB,青砌二期,A2棟0號,
元長鄉,房地(土地+建物),雲林縣元長鄉南山路,103.23,,特定農業區,甲種建築用地,1150214,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,167.12,4,1,4,有,無,9200000,55050,,0.0,0,,RPRNMLOKLHLGFEP76CB,青砌二期,A3棟0號,
元長鄉,房地(土地+建物),雲林縣元長鄉南山路,98.23,,特定農業區,甲種建築用地,1150214,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,167.39,3,1,3,有,無,9100000,54364,,0.0,0,,RPSNMLOKLHLGFEP86CB,青砌二期,A5棟0號,
元長鄉,房地(土地+建物),雲林縣元長鄉南山路,105.23,,特定農業區,甲種建築用地,1150214,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,166.38,5,1,5,有,無,8200000,49285,,0.0,0,,RPTNMLOKLHLGFEP96CB,青砌二期,C3棟0號,
元長鄉,房地(土地+建物),雲林縣元長鄉南山路,141.23,,特定農業區,甲種建築用地,1150215,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,168.16,5,1,3,有,無,8360000,49715,,0.0,0,,RPUNMLOKLHLGFEP07CB,青砌二期,C5棟0號,
莿桐鄉,房地(土地+建物),雲林縣莿桐鄉延平路,100.92,住,,,1150301,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,144.27,4,2,4,有,無,12980000,89970,,0.0,0,,RPSNMLQKLHLGFAP66CB,璞樸禾禾I,E10棟,
崙背鄉,房地(土地+建物),雲林縣崙背鄉新鎮路,85.32,,鄉村區,乙種建築用地,1150308,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,155.98,4,2,4,有,無,8380000,53725,,0.0,0,,RPPNMLQKLHLGFCP56CB,東興Happy Go,A棟11號,
崙背鄉,房地(土地+建物),雲林縣崙背鄉新鎮路,85.32,,鄉村區,乙種建築用地,1150309,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,155.98,4,2,4,有,無,8280000,53084,,0.0,0,,RPQNMLQKLHLGFCP66CB,東興Happy Go,A棟7號,
莿桐鄉,房地(土地+建物),雲林縣莿桐鄉埔子路,125.25,住,,,1150307,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,171.79,5,2,4,有,無,11280000,65662,,0.0,0,,RPPNMLRKLHLGFAP09CB,莿桐愛家,C棟6號,
莿桐鄉,房地(土地+建物),雲林縣莿桐鄉埔子路,134.53,住,,,1150225,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,171.79,5,2,4,有,無,12500000,72763,,0.0,0,,RPQNMLRKLHLGFAP56CB,莿桐愛家,特棟1號,
斗六市,房地(土地+建物),雲林縣斗六市鎮北路,11.88,住,,,1150313,土地7建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.36,2,2,1,有,無,6100000,86697,,0.0,0,該戶契約書簽約土地面積持分11.93平方公尺,RPRNMLRKLHLGFAP66CB,東德一品苑,A5號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市鎮北路,16.15,住,,,1150312,土地7建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.3,3,2,2,有,無,9270000,84027,坡道平面,26.45,1300000,該戶契約書簽約土地面積持分16.09平方公尺,RPSNMLRKLHLGFAP76CB,東德一品苑,F5號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮廉使南段416、417、418地號,33.95,,鄉村區,乙種建築用地,1150315,土地3建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.03,2,1,2,有,無,8730000,78538,一樓平面,14.88,1100000,,RPPNMLRKLHLGFDP86DB,理想家,A棟1號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮埒內路,116.0,,鄉村區,乙種建築用地,1150226,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,167.77,4,2,4,有,無,14880000,88693,,0.0,0,,RPPNMLSKLHLGFDP86CB,匯如意,B棟9號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮埒內路,93.0,,特定農業區,甲種建築用地,1150307,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,,169.11,4,2,4,有,無,14880000,87990,,0.0,0,,RPQNMLSKLHLGFDP96CB,匯如意,A棟7號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮埒內路,95.0,,特定農業區,甲種建築用地,1150304,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,,169.11,4,2,4,有,無,14880000,87990,,0.0,0,,RPRNMLSKLHLGFDP07CB,匯如意,A棟11號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮埒內路,127.0,,特定農業區,甲種建築用地,1150302,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,,217.04,4,2,5,有,無,20580000,94821,,0.0,0,,RPSNMLSKLHLGFDP17CB,匯如意,A棟16號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮埒內路,150.0,,特定農業區,甲種建築用地,1150309,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,208.67,4,2,5,有,無,18380000,88082,,0.0,0,,RPTNMLSKLHLGFDP27CB,匯如意,C棟16號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮埒內路,139.0,,特定農業區,甲種建築用地,1150315,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,208.67,4,2,5,有,無,17880000,85686,,0.0,0,,RPUNMLSKLHLGFDP37CB,匯如意,C棟17號,
