編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLTJLHLGFDP07CB,大學段,65.47,都市：住,6547,6547,全筆移轉,02210053
RPRNMLTJLHLGFDP07CB,大學段,7.20,都市：住,720,720,全筆移轉,02210050
RPRNMLTJLHLGFDP07CB,大學段,19.65,都市：住,20,1,持分移轉,02210048
RPRNMLKKLHLGFDP88CB,高南段,149.28,都市：住,14928,14928,全筆移轉,04140001
RPPNMLNJLHLGFDP88CB,埒內段,93.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,12920091
RPSNMLTJLHLGFDP17CB,大學段,72.67,都市：住,7267,7267,全筆移轉,02210058
RPSNMLTJLHLGFDP17CB,大學段,19.65,都市：住,20,1,持分移轉,02210048
RPPNMLKKLHLGFDP68CB,高南段,90.35,都市：住,9035,9035,全筆移轉,04140006
RPQNMLTJLHLGFDP96CB,高南段,104.69,都市：住,272462,10469,持分移轉,03450000
RPPNMLTJLHLGFDP86CB,高北段,24.23,都市：住,268144,2423,持分移轉,02100000
RPQNMLNJLHLGFDP98CB,埒內段,88.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,12920128
RPQNMLNJLHLGFDP98CB,埒內段,16.12,非都市：特定農業區 ; 非都市編定：甲種建築用地,26,1,持分移轉,12920000
RPQNMLNJLHLGFDP98CB,埒內段,2.88,非都市：鄉村區 ; 非都市編定：乙種建築用地,26,1,持分移轉,12920141
RPPNMLQLKHLGFDP66CB,大學段,91.45,都市：住,1,1,全筆移轉,03320027
RPPNMLQLKHLGFDP66CB,大學段,16.01,都市：住,25,1,持分移轉,03320052
RPPNMLQLKHLGFDP66CB,大學段,1.45,都市：住,25,1,持分移轉,03320000
RPPNMLQLKHLGFDP66CB,大學段,.41,都市：住,25,1,持分移轉,03320053
RPPNMLRKKHLGFBP56DB,僑真段,14.68,都市：住,100000,2746,持分移轉,06380000
RPPNMLRKKHLGFBP56DB,僑真段,14.68,都市：住,100000,2746,持分移轉,06380001
RPQNMLKKLHLGFDP78CB,高南段,152.55,都市：住,15255,15255,全筆移轉,04140000
RPPNMLNJLHLGFBP78DB,僑真段,20.85,都市：住,100000,1730,持分移轉,05670000
RPPNMLNJLHLGFBP78DB,僑真段,5.17,都市：住,100000,1631,持分移轉,05670002
RPRNMLNJLHLGFDP09CB,埒內段,42.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,12920106
RPRNMLNJLHLGFDP09CB,埒內段,48.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,12920143
RPPNMLOLKHLGFBP88CB,僑真段,.25,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,666,持分移轉,07740001
RPPNMLOLKHLGFBP88CB,僑真段,23.82,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,681,持分移轉,07790000
RPPNMLOLKHLGFBP88CB,僑真段,1.38,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,678,持分移轉,07790001
RPPNMLTJLHLGFBP76DB,僑真段,20.85,都市：住,100000,1730,持分移轉,05670000
RPPNMLTJLHLGFBP76DB,僑真段,5.17,都市：住,100000,1631,持分移轉,05670002
RPPNMLTJLHLGFEP96CB,新北段,87.27,都市：住,1,1,全筆移轉,13250007
RPPNMLQLKHLGFBP09CB,興國段,30.70,都市：住,10000,577,持分移轉,14210000
RPPNMLQLKHLGFBP09CB,興國段,2.25,都市：其他:都市計畫區內道路用地,10000,162,持分移轉,14220000
RPPNMLQLKHLGFBP09CB,興國段,2.21,都市：住,10000,320,持分移轉,14230000
RPPNMLLKLHLGFDP78CB,高南段,118.63,都市：住,110390,11863,持分移轉,00660000
RPRNMLOKLHLGFEP76CB,青山段,88.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,09030006
RPRNMLOKLHLGFEP76CB,青山段,.38,非都市：特定農業區 ; 非都市編定：甲種建築用地,13,1,持分移轉,09030011
RPRNMLOKLHLGFEP76CB,青山段,14.85,非都市：特定農業區 ; 非都市編定：甲種建築用地,13,1,持分移轉,09030012
RPQNMLLKLHLGFAP58CB,海豐崙段海豐崙小段,26.35,都市：住,1000000,4828,持分移轉,04110009
RPQNMLOKLHLGFEP66CB,青山段,88.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,09030005
RPQNMLOKLHLGFEP66CB,青山段,.38,非都市：特定農業區 ; 非都市編定：甲種建築用地,13,1,持分移轉,09030011
RPQNMLOKLHLGFEP66CB,青山段,14.85,非都市：特定農業區 ; 非都市編定：甲種建築用地,13,1,持分移轉,09030012
RPPNMLOKLHLGFEP56CB,青山段,92.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,09030000
RPPNMLOKLHLGFEP56CB,青山段,.38,非都市：特定農業區 ; 非都市編定：甲種建築用地,13,1,持分移轉,09030011
RPPNMLOKLHLGFEP56CB,青山段,14.85,非都市：特定農業區 ; 非都市編定：甲種建築用地,13,1,持分移轉,09030012
RPSNMLQKLHLGFAP66CB,南安段,79.29,都市：住,1,1,全筆移轉,00610030
RPSNMLQKLHLGFAP66CB,南安段,21.63,都市：住,21,1,持分移轉,00610022
RPPNMLLKLHLGFAP48CB,海豐崙段海豐崙小段,25.96,都市：住,1000000,4758,持分移轉,04110009
RPUNMLOKLHLGFEP07CB,青山段,126.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,09030018
RPUNMLOKLHLGFEP07CB,青山段,.38,非都市：特定農業區 ; 非都市編定：甲種建築用地,13,1,持分移轉,09030011
RPUNMLOKLHLGFEP07CB,青山段,14.85,非都市：特定農業區 ; 非都市編定：甲種建築用地,13,1,持分移轉,09030012
