編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLTJLHLGFDP86CB,坡道平面,1100000,14.87,地下一樓
RPPNMLQLKHLGFDP66CB,一樓平面,0,22.13,一樓
RPPNMLRKKHLGFBP56DB,一樓平面,1200000,13.38,一樓
RPPNMLNJLHLGFBP78DB,坡道平面,1300000,21.49,地下一樓
RPPNMLTJLHLGFBP76DB,坡道平面,1300000,21.49,地下一樓
RPQNMLLKLHLGFAP58CB,坡道平面,1500000,30.20,地下一樓
RPQNMLLKLHLGFAP58CB,坡道平面,1500000,30.20,地下一樓
RPPNMLLKLHLGFAP48CB,坡道平面,1500000,30.20,地下一樓
RPPNMLSKLHLGFBP76DB,坡道平面,1300000,21.49,地下一樓
RPSNMLRKLHLGFAP76CB,坡道平面,1300000,26.45,地下三樓
RPPNMLNLLHLGFDP09CB,坡道平面,1150000,14.87,一樓
RPQNMLNLLHLGFAP88CB,坡道平面,1300000,26.45,地下三樓
RPPNMLRKLHLGFDP86DB,一樓平面,1100000,14.88,一樓
RPPNMLKMLHLGFAP58CB,一樓平面,0,29.63,一樓
RPRNMLLMLHLGFDP56CB,坡道平面,1150000,14.87,一樓
RPQNMLLJMHLGFAP58CB,坡道平面,1300000,26.45,地下三樓
RPRNMLQLLHLGFAP66CB,坡道平面,1600000,26.45,地下二樓
RPPNMLRLLHLGFEP07DB,一樓平面,0,20.60,一樓
RPPNMLRJMHLGFDP86DB,坡道平面,1650000,38.58,地下一樓
RPPNMLRLLHLGFAP66DB,一樓平面,1000000,13.75,一樓
RPQNMLRJMHLGFDP96DB,坡道平面,1650000,38.58,地下一樓
RPQNMLSJMHLGFDP96CB,一樓平面,0,22.13,一樓
RPPNMLNLLHLGFAP88DB,一樓平面,0,27.23,一樓
RPPNMLSJMHLGFDP86CB,坡道平面,1050000,14.87,地下一樓
RPPNMLSJMHLGFCP76CB,一樓平面,0,,一樓
RPQNMLKKMHLGFBP68CB,一樓平面,1000000,23.14,一樓
RPPNMLKKMHLGFDP78CB,坡道平面,1500000,25.78,地下一樓
RPPNMLKKMHLGFDP78CB,坡道平面,1500000,25.78,地下一樓
RPPNMLKKMHLGFAP58DB,坡道平面,1500000,24.13,地下一樓
RPQNMLKKMHLGFDP88CB,坡道平面,1600000,25.78,地下一樓
RPQNMLNKMHLGFAP88CB,坡道平面,1450000,18.78,地下二樓
RPPNMLNKMHLGFAP78CB,坡道平面,1550000,18.78,地下一樓
RPRNMLKKMHLGFDP98CB,坡道平面,1500000,25.78,地下二樓
RPPNMLRKMHLGFDP86CB,一樓平面,0,22.13,一樓
RPQNMLSLMHLGFAP86CB,坡道平面,1500000,30.20,地下一樓
RPPNMLSLMHLGFAP76CB,坡道平面,1500000,30.20,地下一樓
RPRNMLSLMHLGFAP96CB,坡道平面,1350000,30.20,地下二樓
RPQNMLMLMHLGFAP88CB,一樓平面,0,13.75,一樓
RPSNMLKLMHLGFCP56DB,一樓平面,1200000,14.85,一樓
RPPNMLOJNHLGFAP98DB,一樓平面,1000000,13.75,一樓
RPPNMLKKNHLGFAP58CB,坡道平面,1550000,18.78,地下一樓
RPPNMLLKNHLGFBP88DB,坡道平面,1300000,21.49,地下一樓
RPPNMLOKNHLGFCP56CB,坡道平面,1200000,14.85,一樓
RPQNMLOKNHLGFCP66CB,坡道平面,1200000,14.85,一樓
RPPNMLRJNHLGFAP66DB,一樓平面,1000000,13.75,一樓
RPPNMLQJOHLGFDP86CB,坡道平面,1500000,25.78,地下二樓
RPPNMLSJNHLGFBP76CB,一樓平面,1100000,23.38,一樓
RPRNMLPKMHLGFBP66CB,一樓平面,1100000,15.97,一樓
RPRNMLPKMHLGFBP66CB,一樓平面,1100000,15.97,一樓
RPQNMLPKMHLGFBP56CB,坡道平面,1000000,15.97,地下一樓
RPSNMLNKMHLGFBP56CB,坡道平面,1000000,15.97,地下一樓
RPTNMLNKMHLGFBP66CB,坡道平面,1000000,15.97,地下一樓
RPVNMLNKMHLGFBP86CB,坡道平面,1000000,15.97,地下一樓
RPPNMLPKMHLGFBP09CB,坡道平面,1000000,15.97,地下一樓
RPUNMLNKMHLGFBP76CB,坡道平面,1000000,15.97,地下一樓
