鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
斗六市,租賃房屋,雲林縣斗六市南京路３７３號４樓,0.0,,,,1150306,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830215,132.06,3,1,2,有,有,有,12500,95,,0.0,0,,RPPNMLQJKHLGFAP88CC,整棟(戶)出租,有,1150225~1170224,有,冷氣、熱水器、洗衣機、電視機、冰箱,一般代管
東勢鄉,租賃房屋,雲林縣東勢鄉懷恩街７號,0.0,,,,1150211,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0811216,176.33,4,2,3,有,無,有,13500,77,,0.0,0,,RPPNMLMKKHLGFFP09CC,整棟(戶)出租,無,1150305~1160304,無,冷氣、熱水器、電視機、冰箱、瓦斯或天然氣,社會住宅代管
虎尾鎮,租賃房屋,雲林縣虎尾鎮科虎路７２號,0.0,,,,1150219,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,1110727,14.0,1,0,0,有,無,有,6500,464,,0.0,0,租金總額含網路費；,RPPNMLNLKHLGFDP09CC,分層出租,無,1150222~1160221,無,冷氣、洗衣機、冰箱、網路,
斗六市,租賃房屋,雲林縣斗六市鎮北路１０７號四樓,0.0,,,,1150213,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831020,124.66,3,2,2,有,有,有,15000,120,,0.0,0,續租案件；,RPPNMLOLKHLGFAP88CC,整棟(戶)出租,有,1150307~1160306,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
斗六市,租賃房屋,雲林縣斗六市鎮東路３３巷１４號３樓,0.0,,,,1150211,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820910,51.849999999999994,1,1,1,有,有,有,9600,185,,0.0,0,,RPQNMLOLKHLGFAP98CC,獨立套房,有,1150301~1160228,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
大埤鄉,租賃房屋,雲林縣大埤鄉尚義１０３之７號,0.0,,,,1150211,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0811215,174.54,4,2,3,有,無,有,10000,57,,0.0,0,續租案件；,RPPNMLOLKHLGFBP98CC,整棟(戶)出租,無,1150301~1160228,無,熱水器,社會住宅代管
虎尾鎮,租賃房屋,雲林縣虎尾鎮建成路１１２８號６樓之５,0.0,,,,1150222,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1131114,66.9,1,1,1,有,有,有,15700,235,,0.0,0,管理費1300元由出租人負擔。租金總額含網路費；,RPPNMLOLKHLGFDP56CC,獨立套房,有,1150301~1160228,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路,
元長鄉,租賃房屋,雲林縣元長鄉下寮村東庄路２１之１４號,0.0,,,,1150221,土地0建物0車位0,全,3,透天厝,住家用,加強磚造,0710508,15.0,7,1,3,有,無,有,3500,233,,0.0,0,含增建或未登記建物；續租案件；,RPPNMLOLKHLGFEP66CC,分租雅房,無,1150311~1170310,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路,一般轉租
斗六市,租賃房屋,雲林縣斗六市樂利街５３號二樓之３９,0.0,,,,1150215,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,17.3,1,0,1,有,有,有,4500,260,,0.0,0,含增建或未登記建物；,RPPNMLPLKHLGFAP98CC,獨立套房,有,1150220~1160219,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市樂利街５３號四樓之３５,0.0,,,,1150215,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,15.99,1,0,1,有,有,有,4200,263,,0.0,0,含增建或未登記建物；,RPQNMLPLKHLGFAP09CC,獨立套房,有,1150220~1150819,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市樂利街５３號七樓之２０,0.0,,,,1150223,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,15.549999999999999,1,0,1,有,有,有,4200,270,,0.0,0,含增建或未登記建物；,RPRNMLPLKHLGFAP56CC,獨立套房,有,1150301~1150831,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市內環路４９５號５樓之２,0.0,,,,1150225,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1110218,54.64,1,0,1,有,有,有,12000,220,,0.0,0,多人共同承租2；,RPSNMLPLKHLGFAP66CC,整棟(戶)出租,無,1150301~1160228,有,冷氣、熱水器、洗衣機、電視機、冰箱,一般代管
斗六市,租賃房屋,雲林縣斗六市龍潭北路２２-１５號,0.0,,,,1150213,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0930901,16.5,6,0,5,有,無,有,3500,212,,0.0,0,,RPTNMLPLKHLGFAP76CC,分租雅房,無,1150214~1160213,無,冷氣、洗衣機、冰箱、網路,一般轉租
斗六市,租賃房屋,雲林縣斗六市後庄４０３之１號,0.0,,,,1150226,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0810415,150.41,4,2,2,有,無,無,15000,100,,0.0,0,,RPPNMLQLKHLGFAP09CC,整棟(戶)出租,無,1150226~1160225,無,熱水器,社會住宅代管
斗南鎮,租賃房屋,雲林縣斗南鎮守成街１１５號８樓,0.0,,,,1150225,土地0建物1車位0,八層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1120621,94.13000000000001,3,2,2,有,有,無,13292,141,,0.0,0,管理費1708元由出租人負擔。續租案件；,RPPNMLQLKHLGFBP56CC,整棟(戶)出租,有,1150303~1160302,有,冷氣、熱水器,社會住宅代管
虎尾鎮,租賃房屋,雲林縣虎尾鎮五間厝６０號二樓之２,0.0,,,,1150223,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1080409,13.32,1,0,1,有,有,有,4900,368,,0.0,0,含增建或未登記建物；續租案件；,RPPNMLQLKHLGFDP76CC,獨立套房,有,1150515~1150714,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗南鎮,租賃房屋,雲林縣斗南鎮世榮街２０號四樓之１０,0.0,,,,1150226,土地0建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840710,37.13,1,0,1,有,有,有,7500,202,,0.0,0,,RPPNMLRLKHLGFBP66CC,獨立套房,有,1150301~1160228,有,冷氣、熱水器、洗衣機、電視機,社會住宅包租轉租
虎尾鎮,租賃房屋,雲林縣虎尾鎮五間厝６０號七樓之７,0.0,,,,1150223,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1080409,13.42,1,0,1,有,有,有,5950,443,,0.0,0,含增建或未登記建物；續租案件；,RPQNMLMJLHLGFDP98CC,獨立套房,有,1150326~1150425,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
元長鄉,租賃房屋,雲林縣元長鄉下寮村東興路３７５號,0.0,,,,1150301,土地0建物0車位0,全,3,透天厝,住家用,木石磚造（磚石造）；加強磚造,0630115,18.0,7,0,7,有,無,有,4700,261,,0.0,0,續租案件；,RPPNMLMJLHLGFEP98CC,分租套房,無,1150326~1170325,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
斗六市,租賃房屋,雲林縣斗六市武陵街３１號六樓之３,0.0,,,,1150225,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810826,45.38,1,0,1,有,有,有,8467,187,,0.0,0,管理費每月333元由出租人負擔。續租案件；,RPPNMLNJLHLGFAP68CC,獨立套房,無,1150405~1160404,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
斗南鎮,租賃房屋,雲林縣斗南鎮光復街３６號二樓之７２,0.0,,,,1150224,土地0建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880412,49.940000000000005,1,0,1,有,有,有,5500,110,,0.0,0,,RPPNMLNJLHLGFBP78CC,獨立套房,有,1150301~1160228,有,冷氣、熱水器、電視機、冰箱,社會住宅代管
