編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLNJLHLGFAP68CC,33,35.35,住家用,鋼筋混凝土造,81年8月26日,六層,,
RPPNMLNJLHLGFAP68CC,33,6.01,共有部份,鋼筋混凝土造,81年8月26日,六層,,
RPPNMLNJLHLGFAP68CC,33,4.02,,鋼筋混凝土造,81年8月26日,六層,,
RPPNMLQLKHLGFAP09CC,34,150.41,住家用,鋼筋混凝土造,81年4月15日,三層,,
RPPNMLOLKHLGFAP88CC,31,89.81,住家用,鋼筋混凝土造,83年10月20日,八層,,
RPPNMLOLKHLGFAP88CC,31,7.76,共有部份,鋼筋混凝土造,83年10月20日,八層,,
RPPNMLOLKHLGFAP88CC,31,27.09,共有部份,鋼筋混凝土造,83年10月20日,八層,,
RPPNMLPLKHLGFAP98CC,16,10.89,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLPLKHLGFAP98CC,16,1.00,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPQNMLPLKHLGFAP09CC,16,10.07,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLPLKHLGFAP98CC,16,5.41,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPQNMLPLKHLGFAP09CC,16,.92,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPQNMLPLKHLGFAP09CC,16,5.00,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLMJLHLGFEP98CC,52,18.00,住家用,木石磚造（磚石造）；加強磚造,63年1月15日,二層,,
RPSNMLPLKHLGFAP66CC,4,37.57,集合住宅,鋼筋混凝土造,111年2月18日,五層,,
RPSNMLPLKHLGFAP66CC,4,17.07,梯廳、樓梯間、機電設備、消防機電設備、無障礙電梯、防空避難室、停車空間、機電設備空間、機房空間、公共空間、無障礙廁所,鋼筋混凝土造,111年2月18日,五層,,
