編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLPJLHLGFDP56CC,延平段,48.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00410000
RPPNMLPJLHLGFDP56CC,延平段,70.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00420000
RPRNMLTJLHLGFDP17CC,蕃薯段,60.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,10600313
RPRNMLTJLHLGFDP17CC,蕃薯段,1.66,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,10600325
RPQNMLQKLHLGFDP86CC,立仁段,195.87,都市：住,,,,08910001
RPPNMLQJMHLGFDP76CC,廉使南段,108.68,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,02370000
RPPNMLLLMHLGFBP88CC,北銘段,84.00,都市：工,,,,06000000
RPPNMLLLMHLGFBP88CC,北銘段,2.00,都市：工,,,,06000001
RPQNMLOJNHLGFAP09CC,雲林溪段,130.38,都市：住,,,,00250004
RPPNMLQJNHLGFBP66CC,新東段,1974.72,都市：工,,,,00480000
RPQNMLKLNHLGFEP66CC,新北段,405.59,都市：住,,,,09260000
RPTNMLTKNHLGFAP37CC,公正段,201.00,都市：工,,,,03820000
RPQNMLLLNHLGFAP98CC,雲東段,192.44,都市：工,,,,05710000
RPQNMLLLNHLGFAP98CC,雲東段,149.96,都市：工,,,,05680000
