編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLOJLHLGFDP09CC,一樓平面,0,10.00,一樓
RPRNMLPJLHLGFAP09CC,升降機械,700,3.01,一樓
RPVNMLNKLHLGFAP76CC,坡道平面,0,26.46,地下一樓
RPQNMLQKLHLGFAP56CC,一樓平面,0,19.15,一樓
RPPNMLRKLHLGFAP56CC,坡道平面,0,45.07,地下一樓
RPPNMLQKLHLGFDP76CC,一樓平面,0,10.00,一樓
RPQNMLOLLHLGFAP09CC,坡道平面,0,9.00,一樓
RPPNMLNKMHLGFBP98CC,一樓平面,0,,一樓
RPRNMLQKMHLGFAP76CC,坡道平面,0,34.19,地下一樓
RPPNMLRKMHLGFBP76CC,坡道平面,0,19.61,地下二樓
RPPNMLKMMHLGFAP78CC,坡道平面,0,34.82,地下一樓
RPQNMLRJNHLGFAP76CC,坡道機械,0,3.17,地下一樓
RPVNMLPKNHLGFAP17CC,坡道平面,0,31.58,地下二樓
RPRNMLNKNHLGFAP56CC,坡道平面,0,5.12,地下一樓
