鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
朴子市,土地,內厝段93-5地號,169.97,都市：其他:農業區,,,1150602,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,430000,2530,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLNJOHLGFBQ56DA,0.0,0.0,0.0,無,
朴子市,土地,內厝段93-5地號,169.97,都市：其他:農業區,,,1150505,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,430000,2530,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLRJNHLGFBQ96DA,0.0,0.0,0.0,無,
大林鎮,土地,新大埔美段1599-2地號,666.84,,一般農業區,農牧用地,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1815471,2722,,0.0,0,,RPSNMLLKNHLGFCQ66DA,0.0,0.0,0.0,無,
民雄鄉,土地,建國段291地號,66.17,,鄉村區,乙種建築用地,1150506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,850000,12846,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLMKNHLGFCQ96DA,0.0,0.0,0.0,無,0001
中埔鄉,土地,凍子段214-38地號,16499.0,,山坡地保育區,林業用地,1150505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3300000,200,,0.0,0,,RPPNMLMKNHLGFDQ56DA,0.0,0.0,0.0,無,
番路鄉,土地,內甕段10-2地號,159.92,住,,,1150504,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1690500,10571,,0.0,0,,RPPNMLOJNHLGFEQ76DA,0.0,0.0,0.0,無,0002
六腳鄉,土地,六興段236地號,105.34,住,,,1150504,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1780000,16898,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLLKNHLGFBQ98DA,0.0,0.0,0.0,無,
朴子市,土地,牛挑灣段松梅小段85地號,96.99,,特定農業區,甲種建築用地,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1700000,17528,,0.0,0,,RPPNMLMKNHLGFBQ98DA,0.0,0.0,0.0,無,
義竹鄉,土地,溪洲段上溪小段54-4地號,95.62,,特定農業區,甲種建築用地,1150506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,2092,,0.0,0,瑕疵物件；,RPRNMLNKNHLGFBQ66DA,0.0,0.0,0.0,無,
布袋鎮,房地(土地+建物),嘉義縣布袋鎮復興里新塭７０２號,66.39,,鄉村區,乙種建築用地,1150501,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670415,104.44,3,2,2,有,無,2000000,19150,,0.0,0,,RPPNMLPKNHLGFBQ66DA,104.44,0.0,0.0,無,
中埔鄉,土地,護生段413-2地號,662.47,,特定農業區,甲種建築用地,1150501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4008000,6050,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLOKNHLGFDQ17EA,0.0,0.0,0.0,無,
朴子市,土地,大葛段999地號,89.65,,鄉村區,乙種建築用地,1150512,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1138536,12700,,0.0,0,,RPSNMLTKNHLGFBQ37DA,0.0,0.0,0.0,無,0003
水上鄉,土地,龍德段392地號,74.84,,鄉村區,乙種建築用地,1150502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1245200,16638,,0.0,0,買地送房未登記建物；,RPPNMLTKNHLGFDQ27DA,0.0,0.0,0.0,無,
大林鎮,土地,明和段757地號,44.68,住,,,1150511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,473200,10591,,0.0,0,,RPRNMLPKNHLGFCQ07EA,0.0,0.0,0.0,無,
