編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLPKNHLGFBQ66DA,48,104.44,住家用,鋼筋混凝土加強磚造,67年4月15日,二層,一層 二層 騎樓,全筆移轉
RPUNMLPJNHLGFDQ27DA,1,62.36,集合住宅,鋼筋混凝土造,114年6月18日,五層,二層 陽台,全筆移轉
RPUNMLPJNHLGFDQ27DA,1,38.78,本共有部分之項目有管委會使用空間、台電配電室、電信室、機房、清水池、樓梯間、梯廳、停車空間、機械室及水箱等十項。,鋼筋混凝土造,114年6月18日,五層,,持分移轉
RPQNMLTKNHLGFBQ17DA,1,149.64,住宅,鋼筋混凝土造,114年4月23日,三層,一層 二層 三層 陽台,全筆移轉
RPPOMLTKNHLGFCQ27DA,33,92.85,集合住宅,鋼筋混凝土造,82年2月17日,五層,五層,全筆移轉
RPPOMLTKNHLGFCQ27DA,33,10.13,共有部份,鋼筋混凝土造,82年2月17日,五層,,持分移轉
RPPNMLLLNHLGFEQ76EA,47,123.84,住商用,鋼筋混凝土加強磚造,68年1月10日,二層,一層 二層 騎樓 電梯樓梯間,全筆移轉
RPPNMLLLNHLGFBQ98DA,33,59.12,住家用,鋼筋混凝土加強磚造,82年6月22日,二層,一層 二層,全筆移轉
RPPNMLRKNHLGFDQ07DA,21,7.92,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,持分移轉
RPPNMLRKNHLGFDQ07DA,21,16.15,集合住宅,鋼筋混凝土造,94年8月15日,五層,三層 陽台,全筆移轉
RPPNMLKLNHLGFDQ09DA,5,112.14,住家用,鋼筋混凝土造,110年4月15日,三層,一層 二層 三層 陽台,全筆移轉
RPUNMLMLNHLGFBQ96DA,31,163.48,住商用,ＲＣ鋼骨造,84年3月20日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPRNMLRLNHLGFBQ17DA,32,88.02,住家用,鋼筋混凝土造,83年9月10日,十二層,二層 陽台,全筆移轉
RPRNMLRLNHLGFBQ17DA,32,10.04,樓梯間,鋼筋混凝土造,83年9月10日,十二層,,持分移轉
RPRNMLRLNHLGFBQ17DA,32,7.68,防空避難室﹒停車空間,鋼筋混凝土造,83年9月10日,十三層,,持分移轉
RPPNMLMLNHLGFCQ56DA,1,57.01,集合住宅,鋼筋混凝土造,114年3月18日,七層,二層 見其他登記事項,全筆移轉
RPPNMLMLNHLGFCQ56DA,1,15.97,本共有部分之項目有管委會使用空間（資源回收室、會議室）、電信室、消防機房兼緊急發電機室、汙水機房、水箱、（無障礙）安全梯、（無障礙）昇降機間、停車空間、戶外梯、機械室及梯廳等１１項。,鋼筋混凝土造,114年3月18日,七層,,持分移轉
RPQNMLPLNHLGFCQ96DA,31,181.18,住商用,鋼筋混凝土造,84年8月17日,四層,一層 二層 三層 四層 騎樓,全筆移轉
RPQNMLQLNHLGFBQ96DA,21,21.28,住家用,鋼筋混凝土造,94年1月3日,五層,四層 陽台,全筆移轉
RPQNMLQLNHLGFBQ96DA,21,2.15,梯廳、樓電梯室、消防泵浦、電信室、梯間,鋼筋混凝土造,94年1月3日,五層,,持分移轉
RPQNMLQLNHLGFBQ96DA,21,3.27,走廊,鋼筋混凝土造,94年1月3日,五層,,持分移轉
RPPNMLMLNHLGFDQ66DA,1,238.33,住宅,鋼筋混凝土造,114年4月17日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPQNMLRLNHLGFDQ27DA,48,63.77,住宅,木石磚造,67年9月1日,一層,一層,全筆移轉
RPTNMLMLNHLGFBQ86DA,45,121.43,住家用,鋼筋混凝土加強磚造,70年6月16日,二層,一層 二層 騎樓 廚房,全筆移轉
RPRNMLLKNHLGFCQ56DA,50,132.54,人行道、住宅、梯間,鋼筋混凝土加強磚造,65年3月20日,二層,一層 二層 見其他登記事項,全筆移轉
RPSNMLRJNHLGFBQ07DA,45,180.18,住家用,鋼筋混凝土加強磚造,70年2月28日,二層,一層 二層 騎樓,全筆移轉
RPXNMLSLNHLGFDQ08DA,21,7.17,集合住宅、停車空間,鋼筋混凝土造,94年2月4日,五層,,持分移轉
RPXNMLSLNHLGFDQ08DA,21,17.13,集合住宅,鋼筋混凝土造,94年2月4日,五層,三層 陽台,全筆移轉
RPSNMLLKNHLGFBQ56DA,38,159.55,住家用,鋼筋混凝土加強磚造,77年7月23日,二層,一層 二層 陽台 騎樓 電梯樓梯間,全筆移轉
RPQNMLSLNHLGFCQ27DA,2,54.50,集合住宅,鋼筋混凝土造,113年10月15日,八層,八層 見其他登記事項,全筆移轉
RPQNMLSLNHLGFCQ27DA,2,14.61,本共有部分之項目有台電配電室、發電機室、消防機械室、水箱、電信室、安全梯、管委會空間、梯廳、停車空間等９項。,鋼筋混凝土造,113年10月15日,八層,,持分移轉
RPSNMLNJOHLGFCQ86DA,46,79.68,住商用,鋼筋混凝土加強磚造,69年7月31日,二層,一層 二層,全筆移轉
RPPNMLQJNHLGFCQ76DA,5,98.90,集合住宅,鋼筋混凝土造,109年12月3日,六層,五層 見其他登記事項,全筆移轉
RPPNMLQJNHLGFCQ76DA,5,34.00,停車空間、樓電梯、機房、集合住宅、樓梯間,鋼筋混凝土造,109年12月3日,六層,,持分移轉
RPTNMLMJOHLGFDQ96DA,21,7.54,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,持分移轉
RPTNMLMJOHLGFDQ96DA,21,15.37,集合住宅,鋼筋混凝土造,94年8月15日,五層,五層 陽台,全筆移轉
RPWNMLTKNHLGFCQ87DA,54,50.47,住家用,木石磚造（磚石造）,61年1月15日,一層,一層 騎樓,全筆移轉
RPQNMLNJOHLGFEQ86DA,33,33.90,住家用,鋼筋混凝土造,82年4月1日,十八層,五層 陽台,全筆移轉
RPQNMLNJOHLGFEQ86DA,33,6.62,梯間,鋼筋混凝土造,82年4月1日,十八層,,持分移轉
RPQNMLNJOHLGFEQ86DA,33,1.75,守衛室．健身房．游泳池．防空避難室兼停車場,鋼筋混凝土造,82年4月1日,,,持分移轉
RPPNMLOJOHLGFBQ56DA,35,124.09,住商用,鋼筋混凝土造,80年4月18日,三層,一層 二層 三層 騎樓,全筆移轉
RPVNMLMJOHLGFDQ17DA,21,7.92,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,持分移轉
RPVNMLMJOHLGFDQ17DA,21,16.15,集合住宅,鋼筋混凝土造,94年8月15日,五層,五層 陽台,全筆移轉
RPSNMLLJOHLGFBQ56DA,42,154.19,住商用,鋼筋混凝土加強磚造,73年3月20日,三層,一層 二層 三層 騎樓 電梯樓梯間,全筆移轉
RPPNMLRJOHLGFBQ86DA,24,19.51,住家用,鋼筋混凝土造,91年4月23日,四層,四層 陽台,全筆移轉
RPPNMLRJOHLGFBQ86DA,24,1.85,共有部分,鋼筋混凝土造,91年4月23日,四層,,持分移轉
RPPNMLRJOHLGFBQ86DA,24,4.90,共有部分,鋼筋混凝土造,91年4月23日,四層,,持分移轉
RPSNMLSLNHLGFBQ37DA,44,329.62,住家用,ＲＣ磚造、鐵架造,71年7月1日,二層,一層 二層 陽台 騎樓,全筆移轉
