鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉106-2鄉道,182.49,,一般農業區,丙種建築用地,1150215,土地2建物1車位1,全,3,透天厝,見使用執照,鋼筋混凝土造,,160.41,4,2,4,有,無,12850000,80107,其他,0.0,0,,RPPNMLOLKHLGFCQ09CB,星視界3,A棟1號,
六腳鄉,房地(土地+建物)+車位,嘉義縣六腳鄉南宮路,31.04,住,,,1150213,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,91.66,2,2,2,有,無,8680000,93684,其他,10.75,1100000,,RPPNMLMJLHLGFBQ68CB,富御嘉,2F棟5號,
新港鄉,房地(土地+建物),嘉義縣新港鄉中洋村,89.33,,鄉村區,乙種建築用地,1150213,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,138.0,4,2,3,有,無,9300000,67391,,0.0,0,,RPQNMLMJLHLGFCQ88CB,采瑞馥寓,B棟10號,
鹿草鄉,房地(土地+建物)+車位,嘉義縣鹿草鄉鹿南段248-11地號,90.27,住,,,1150219,土地2建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,180.24,4,2,5,有,無,15800000,87661,一樓平面,0.0,0,內部設備變更車位規格：長5.5公尺，寬2.5公尺親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOJLHLGFDQ09CB,吾吉,A棟1號,
鹿草鄉,房地(土地+建物),嘉義縣鹿草鄉鹿南段248-15地號,103.68,住,,,1150218,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,271.95,7,2,6,有,無,21000000,77220,,0.0,0,內部設備變更親友、員工、共有人或其他特殊關係間之交易；,RPQNMLOJLHLGFDQ56CB,吾吉,A棟6號,
朴子市,房地(土地+建物),嘉義縣朴子市應菜埔36之6巷,31.99,住,,,1150303,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,78.17,2,2,2,有,無,7600000,97224,,0.0,0,,RPQNMLRJLHLGFBQ66CB,達爾文二期華廈,C棟4號,
民雄鄉,房地(土地+建物),嘉義縣民雄鄉106-2鄉道,129.36,,一般農業區,丙種建築用地,1150304,土地2建物1車位0,全,3,透天厝,見使用執照,鋼筋混凝土造,,162.15,4,2,5,有,無,11580000,71415,,0.0,0,,RPQNMLKKLHLGFCQ78CB,星視界3,B棟9號,
民雄鄉,房地(土地+建物),嘉義縣民雄鄉106-2鄉道,129.14,,一般農業區,丙種建築用地,1150310,土地2建物1車位0,全,3,透天厝,見使用執照,鋼筋混凝土造,,161.96,5,2,5,有,無,11660000,71993,,0.0,0,,RPRNMLKKLHLGFCQ88CB,星視界3,B棟6號,
朴子市,房地(土地+建物),嘉義縣朴子市應菜埔36之6巷,34.5,住,,,1150306,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.27,2,2,2,有,無,7900000,93746,,0.0,0,,RPPNMLLKLHLGFBQ68CB,達爾文二期華廈,B棟2號,
