鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
太保市,租賃房屋,嘉義縣太保市安仁里祥和二路東段７７號,0.0,,,,1150212,土地0建物0車位0,全,4,透天厝,店舖、住宅、停車空間、樓梯間,鋼筋混凝土造,0960208,25.59,10,0,11,有,無,有,8000,313,,0.0,0,租金總額含水費；網路費；租賃建物部分範圍，且未計入共有部分面積；,RPQNMLMKKHLGFDQ09CC,分租套房,無,1150215~1160214,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
新港鄉,租賃房屋,嘉義縣新港鄉月潭村月眉潭５３２號,0.0,,,,1150212,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0730324,127.18,2,2,2,有,無,有,9000,71,,0.0,0,續租案件；,RPQNMLNKKHLGFCQ09CC,整棟(戶)出租,無,1150220~1160219,無,冷氣、熱水器、冰箱,社會住宅代管
太保市,租賃房屋,嘉義縣太保市中山路一段２２８巷１９弄３０號五樓３,0.0,,,,1150212,土地0建物1車位0,五層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0821006,48.449999999999996,1,0,1,有,有,有,7000,144,,0.0,0,管理費500元由出租人負擔,RPRNMLNKKHLGFDQ66CC,獨立套房,有,1150213~1160212,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
太保市,租賃房屋+車位,嘉義縣太保市太保里保鐵十二路１６２號７樓之５,0.0,,,,1150211,土地0建物1車位1,七層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1130821,119.19999999999999,3,1,2,有,有,無,28000,235,坡道平面,16.82,0,,RPPNMLSKKHLGFDQ96CC,整棟(戶)出租,有,1150225~1170224,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,
民雄鄉,租賃房屋,嘉義縣民雄鄉鎮北村圳溝墘１８號三樓之九,0.0,,,,1150211,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840815,24.839999999999996,1,0,1,有,無,有,4700,189,,0.0,0,,RPPNMLNLKHLGFCQ09CC,獨立套房,無,1150301~1160228,有,冷氣、熱水器、電視機、冰箱,社會住宅包租轉租
民雄鄉,租賃房屋,嘉義縣民雄鄉鎮北村圳溝墘２１號五樓之十,0.0,,,,1150211,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840815,22.33,1,0,1,有,無,有,4300,193,,0.0,0,,RPRNMLNLKHLGFCQ66CC,獨立套房,無,1150301~1160228,有,冷氣、熱水器、電視機、冰箱,社會住宅包租轉租
民雄鄉,租賃房屋,嘉義縣民雄鄉鎮北村圳溝墘２０號五樓之七,0.0,,,,1150212,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840815,22.29,1,0,1,有,無,有,4300,193,,0.0,0,,RPSNMLNLKHLGFCQ76CC,獨立套房,無,1150301~1160228,有,冷氣、熱水器、電視機、冰箱,社會住宅包租轉租
民雄鄉,租賃房屋,嘉義縣民雄鄉豐收村大學路二段３５１２號五樓之六,0.0,,,,1150211,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0851203,32.48,1,0,1,有,無,有,4500,139,,0.0,0,續租案件；,RPTNMLNLKHLGFCQ86CC,獨立套房,無,1150226~1160225,有,冷氣、熱水器、電視機,社會住宅代管
大林鎮,租賃房屋+車位,嘉義縣大林鎮大智三街５９號４四樓之７,0.0,,,,1150221,土地0建物1車位1,四層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1120802,108.19,2,1,2,有,有,有,19000,176,一樓平面,18.46,0,多人共同承租2；,RPPNMLOLKHLGFCQ56CC,整棟(戶)出租,有,1150221~1160220,有,冷氣、洗衣機、電視機、冰箱,一般轉租
大林鎮,租賃房屋,嘉義縣大林鎮大埔美園區二路６號,991.74,,工業區,丁種建築用地,1150211,土地1建物1車位0,一層,4,工廠,作業廠房、辦公室、員工福利空間、機械房、樓梯間、自來水箱,鋼筋混凝土〈ＲＣ〉、鋼骨構造,1080502,991.74,0,0,0,無,無,無,126000,,,0.0,0,租金總額含稅；,RPQNMLOLKHLGFCQ66CC,,無,1150212~1150811,無,,
中埔鄉,租賃房屋,嘉義縣中埔鄉和美村永樂新村２６５之１號,0.0,,,,1150226,土地0建物1車位0,全,3,透天厝,店舖、住房、梯間,鋼筋混凝土造,0760906,137.82,4,3,3,有,無,無,20000,145,,0.0,0,1樓店面使用，2樓以上住家使用租金總額含稅；,RPPNMLRLKHLGFDQ96CC,,無,1150301~1170228,無,,
民雄鄉,租賃房屋,嘉義縣民雄鄉西安村民溪路５巷２２弄８號,0.0,,,,1150223,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0810215,220.11,5,3,3,有,無,有,28000,127,,0.0,0,,RPPNMLMJLHLGFCQ88CC,整棟(戶)出租,無,1150223~1160222,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
