編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLMKKHLGFDQ09CC,19,25.59,店舖、住宅、停車空間、樓梯間,鋼筋混凝土造,96年2月8日,四層,,
RPRNMLNKKHLGFDQ66CC,32,32.58,集合住宅,鋼筋混凝土造,82年10月6日,九層,,
RPRNMLNKKHLGFDQ66CC,32,1.95,梯間,鋼筋混凝土造,82年10月6日,九層,,
RPRNMLNKKHLGFDQ66CC,32,8.94,梯間,鋼筋混凝土造,82年10月6日,九層,,
RPRNMLNKKHLGFDQ66CC,32,4.98,避難室、停車場,鋼筋混凝土造,82年10月6日,9,,
RPTNMLNJLHLGFCQ76CC,31,19.15,住家用,鋼筋混凝土造,84年8月15日,五層,,
RPTNMLNJLHLGFCQ76CC,31,3.18,共有部分,鋼筋混凝土造,84年8月15日,五層,,
RPPNMLRLKHLGFDQ96CC,38,137.82,店舖、住房、梯間,鋼筋混凝土造,76年9月6日,三層,,
RPQNMLNKKHLGFCQ09CC,42,127.18,住家用,鋼筋混凝土加強磚造,73年3月24日,二層,,
RPPNMLNJLHLGFDQ09CC,43,117.87,住商用,鋼筋混凝土加強磚造,72年5月6日,二層,,
RPRNMLNLKHLGFCQ66CC,30,19.15,住家用,鋼筋混凝土造,84年8月15日,五層,,
RPQNMLNJLHLGFCQ09CC,31,22.87,住家用,鋼筋混凝土造,84年8月15日,五層,,
RPRNMLNLKHLGFCQ66CC,30,3.18,共有部分,鋼筋混凝土造,84年8月15日,五層,,
RPQNMLNJLHLGFCQ09CC,31,3.98,共有部分,鋼筋混凝土造,84年8月15日,五層,,
RPQNMLMJLHLGFCQ98CC,29,155.00,住商用,鋼筋混凝土造,86年1月18日,五層,,
RPPNMLSKKHLGFDQ96CC,1,64.35,集合住宅,鋼筋混凝土造,113年8月21日,十一層,,
RPPNMLSKKHLGFDQ96CC,1,54.85,本共有部分之項目有停車空間、停車空間兼防空避難室、管理委員會使用空間、車道、梯廳、安全梯間、一般昇降機機道、緊急昇降機機道、緊急昇降機排煙室、機電管道、公共陽台、消防設備間、樓梯間、水錶室、電信室、電錶室、台電配電場所、發電機室、電梯機房及水箱等２０項,鋼筋混凝土造,113年8月21日,十一層,,
RPSNMLMJLHLGFCQ56CC,33,104.10,國民住宅,鋼筋混凝土造,82年2月17日,五層,,
RPRNMLNJLHLGFCQ56CC,31,19.15,住家用,鋼筋混凝土造,84年8月15日,五層,,
RPSNMLMJLHLGFCQ56CC,33,9.65,共有部分,鋼筋混凝土造,82年2月17日,五層,,
RPRNMLNJLHLGFCQ56CC,31,3.18,共有部分,鋼筋混凝土造,84年8月15日,五層,,
RPSNMLNLKHLGFCQ76CC,30,19.11,住家用,鋼筋混凝土造,84年8月15日,五層,,
RPSNMLNLKHLGFCQ76CC,30,3.18,共有部分,鋼筋混凝土造,84年8月15日,五層,,
RPQNMLOLKHLGFCQ66CC,7,991.74,作業廠房、辦公室、員工福利空間、機械房、樓梯間、自來水箱,鋼筋混凝土〈ＲＣ〉、鋼骨構造,108年5月2日,四層,,
