編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUNMLNJOHLGFAT17DA,52,23.20,住家用,磚造,63年5月21日,二層,一層 二層,持分移轉
RPQNMLNKNHLGFCT96DA,49,92.80,住商用,加強磚造,66年3月17日,二層,一層 二層 騎樓,全筆移轉
RPTNMLOKNHLGFAT17DA,10,91.12,住家用,鋼筋混凝土造,105年10月18日,三層,一層 二層 三層 陽台,持分移轉
RPRNMLPKNHLGFAT07DA,1,69.34,集合住宅,鋼筋混凝土造,114年6月4日,五層,三層 陽台,全筆移轉
RPRNMLPKNHLGFAT07DA,1,46.26,共有部分包括停車空間、梯廳樓梯間等２項。,鋼筋混凝土造,114年6月4日,五層,,持分移轉
RPXNMLPJNHLGFAT57DA,44,104.88,住家用,加強磚造,70年12月30日,二層,一層 二層,全筆移轉
RPSNMLPKNHLGFAT17DA,1,67.46,集合住宅,鋼筋混凝土造,114年6月4日,五層,三層 陽台,全筆移轉
RPSNMLPKNHLGFAT17DA,1,22.48,共有部分包括停車空間、梯廳樓梯間等２項。,鋼筋混凝土造,114年6月4日,五層,,持分移轉
RPTNMLNKNHLGFCT27DA,22,5.27,見使用執照,鋼筋混凝土造,93年7月12日,六層,,持分移轉
RPTNMLNKNHLGFCT27DA,22,1.12,停車空間、機械室,鋼筋混凝土造,93年7月12日,六層,,持分移轉
RPTNMLNKNHLGFCT27DA,22,1.11,見使用執照,鋼筋混凝土造,93年7月12日,六層,,持分移轉
RPTNMLNKNHLGFCT27DA,22,11.95,辦公室,鋼筋混凝土構造,93年7月12日,六層,六層 陽台,全筆移轉
RPPNMLKLNHLGFET86DA,30,25.12,住家用,鋼筋混凝土造,84年11月16日,十二層,二層 陽台,全筆移轉
RPPNMLKLNHLGFET86DA,30,11.87,共同部份,鋼筋混凝土造,84年11月16日,十二層,,持分移轉
RPWNMLKLNHLGFAT17DA,35,90.34,住家用,鋼筋混凝土造,80年7月24日,六層,五層 陽台,全筆移轉
RPWNMLKLNHLGFAT17DA,35,45.02,防空避難室，門廳，電梯間，樓梯間,鋼筋混凝土造,80年7月24日,六層,,持分移轉
RPPNMLLLNHLGFET96DA,45,103.32,住商用,鋼筋混凝土加強磚造,70年4月30日,二層,一層 二層 騎樓,全筆移轉
RPQNMLTKNHLGFDT67DA,41,190.00,店舖　住宅,鋼筋混凝土造,73年12月23日,三層,一層 二層 三層 騎樓,全筆移轉
RPQNMLLKNHLGFAT56DA,30,81.69,住家用,鋼筋混凝土造,85年6月7日,十一層,五層 陽台 花台,全筆移轉
RPQNMLLKNHLGFAT56DA,30,38.24,停車空間，住宅，避難室，梯間，頂蓋型沿步道通路開放空間,鋼筋混凝土造,85年6月7日,十一層,,持分移轉
RPQNMLMLNHLGFFT37EA,31,126.40,住家用,鋼筋混凝土造,84年4月1日,三層,一層 二層 三層 陽台 平台,全筆移轉
RPTNMLPLNHLGFET77DA,31,23.73,住家用,鋼筋混凝土造,84年1月10日,十二層,八層 陽台,全筆移轉
RPTNMLPLNHLGFET77DA,31,8.64,公共設施．防空避難室梯間．水箱．機械室．停車場,鋼筋混凝土造,84年1月10日,十二層,,持分移轉
RPQOMLKLNHLGFAT66DA,31,73.79,住家用,鋼筋混凝土造,84年3月3日,七層,四層 陽台,全筆移轉
RPQOMLKLNHLGFAT66DA,31,15.16,防空避難室，梯間，公共設施,鋼筋混凝土造,84年3月3日,七層,,持分移轉
RPVNMLSLNHLGFAT87DA,26,14.40,走廊、辦公室、管理員室梯間、俱樂部梯間、公共空間、停車空間、防空避難室、屋頂突出物、陽台,鋼筋混凝土造,88年12月4日,十四層,,持分移轉
RPVNMLSLNHLGFAT87DA,26,46.99,集合住宅,鋼筋混凝土造,88年12月4日,十四層,二層 陽台,全筆移轉
RPPNMLSLNHLGFAT27DA,32,164.39,住家用,鋼筋混凝土造,83年5月30日,四層,一層 二層 三層 四層,全筆移轉
RPQNMLSKNHLGFCT47DA,11,44.89,本共有部分之項目有停車空間、樓梯間、水箱間及電梯機械室等四項。,鋼筋混凝土構造,103年12月17日,七層,,持分移轉
RPQNMLSKNHLGFCT47DA,11,56.79,集合住宅,鋼筋混凝土構造,103年12月17日,七層,一層 陽台,全筆移轉
RPUNMLKLNHLGFAT96DA,48,81.34,住商用,加強磚造,67年7月10日,二層,一層 二層,全筆移轉
RPWNMLLLNHLGFAT27DA,,75.10,集合住宅,鋼筋混凝土造,114年12月26日,五層,四層 陽台,全筆移轉
RPWNMLLLNHLGFAT27DA,,34.96,停車空間、公共梯間、電信室、樓梯間、電梯機械房,鋼筋混凝土造,114年12月26日,五層,,持分移轉
RPPNMLTLNHLGFFT87DA,44,47.33,,加強磚造,71年7月21日,一層,一層 屋頂突出物,持分移轉
RPTNMLPLNHLGFAT37DA,32,98.71,集合住宅、店舖,鋼筋混凝土造,83年5月26日,十四層,一層 二層 陽台 平台,全筆移轉
RPTNMLPLNHLGFAT37DA,32,28.04,梯間，防空避難室,鋼筋混凝土造,83年5月26日,十四層,,持分移轉
RPPNMLPKNHLGFAT86DA,45,104.10,住家用,加強磚造,69年12月8日,二層,一層 二層,全筆移轉
RPQNMLLJOHLGFAT56DA,32,176.61,住商用,鋼筋混凝土造,83年3月26日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLRLNHLGFCT37DA,48,86.00,住商用,加強磚造,67年7月29日,二層,一層 二層 騎樓,全筆移轉
RPQNMLTLNHLGFET87DA,75,37.91,營業用,木石磚造（磚石造）,,一層,一層,全筆移轉
RPTNMLRLNHLGFCT77DA,43,96.00,住家用,加強磚造,72年1月7日,一層,一層 騎樓,全筆移轉
RPRNMLRLNHLGFCT57DA,46,162.54,住商用,鋼筋混凝土造,69年8月14日,三層,一層 二層 三層 騎樓,全筆移轉
RPPNMLRKNHLGFAT07DA,19,8.51,辦公室,鋼筋混凝土造,96年5月30日,八層,五層 陽台 雨遮,全筆移轉
RPPNMLRKNHLGFAT07DA,19,7.62,梯廳、防空避難室、停車空間、水箱、機械室,鋼筋混凝土造,96年5月30日,八層,,持分移轉
RPPNMLNJOHLGFFT27EA,,187.82,住家用,鋼筋混凝土造,114年12月15日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPUNMLTLNHLGFAT87DA,50,92.04,住商用,加強磚造,65年8月27日,二層,一層 二層 騎樓,全筆移轉
RPRNMLTLNHLGFAT57DA,32,35.60,集合住宅,鋼筋混凝土造,83年5月7日,六層,二層 陽台,全筆移轉
RPRNMLTLNHLGFAT57DA,32,14.82,冰箱，受電室，停車場,鋼筋混凝土造,83年5月7日,六層,,持分移轉
RPPNMLNJOHLGFAT66DA,4,49.88,集合住宅,鋼筋混凝土造,111年1月4日,五層,二層 陽台,全筆移轉
RPPNMLNJOHLGFAT66DA,4,18.23,停車空間、樓梯間、機械室,鋼筋混凝土造,111年1月4日,五層,,持分移轉
RPPNMLOJOHLGFAT76DA,26,63.19,集合住宅,鋼筋混凝土造,88年12月4日,十四層,一層 陽台,全筆移轉
RPPNMLOJOHLGFAT76DA,26,43.21,走廊、辦公室、管理員室梯間、俱樂部梯間、公共空間、停車空間、防空避難室、屋頂突出物、陽台,鋼筋混凝土造,88年12月4日,十四層,,持分移轉
RPXNMLTKNHLGFAT08DA,28,6.98,防空避難室，停車場，梯間,鋼筋混凝土造,87年2月19日,八層,,持分移轉
