編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLRJNHLGFFT57EA,新龍段,3.22,都市：其他:住宅區,1,1,全筆移轉,10020000
RPPNMLPJOHLGFAT96EA,舊街段二小段,.32,都市：其他:商業區,1,1,全筆移轉,00040073
RPQNMLSJOHLGFBT37DA,新高段,2277.87,非都市：一般農業區 ; 非都市編定：農牧用地,4000,3186,持分移轉,00370000
RPPNMLOKNHLGFFT37EA,卡舒卡段,2361.58,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05770000
RPUNMLNJOHLGFAT17DA,檳榔腳段一小段,23.67,都市：其他:住宅區,3,1,持分移轉,09140000
RPTNMLSJNHLGFCT67DA,上龍泉段,47.81,都市：其他:道路用地,8,1,持分移轉,03300000
RPVNMLSJNHLGFCT87DA,崙東段,3190.21,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00400001
RPUOMLMKNHLGFCT37DA,佳義段,11390.00,非都市：山坡地保育區 ; 非都市編定：林業用地,2,1,持分移轉,01610000
RPQNMLNKNHLGFCT96DA,五福段,67.52,都市：其他:住宅區,1,1,全筆移轉,05780000
RPPNMLQJNHLGFBT96DA,中和段,55.78,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01520003
RPPNMLPKNHLGFCT17EA,涼山段,2246.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,01800032
RPPNMLMKNHLGFBT66DA,里平段,124.00,都市：其他:商業區,1,1,全筆移轉,04520000
RPRNMLSJNHLGFBT37DA,長興段,1066.03,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03720000
RPRNMLSJNHLGFBT37DA,長興段,1361.02,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03730000
RPRNMLSJNHLGFBT37DA,長興段,1361.07,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03740000
RPVOMLPJNHLGFDT77DA,永樂段,102.20,都市：其他:道路用地,1,1,全筆移轉,01020000
RPVOMLPJNHLGFDT77DA,永樂段,146.92,都市：其他:住宅區,1,1,全筆移轉,01030000
RPVNMLPKNHLGFDT77DA,鹽洲段,.52,都市：其他:住宅區,1,1,全筆移轉,09880010
RPQNMLSKNHLGFFT77DA,丹路段,9715.00,非都市：山坡地保育區 ; 非都市編定：林業用地,4,1,持分移轉,06660000
RPPNMLLJNHLGFFT86DA,丹路段,5210.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,01330000
RPPNMLTKNHLGFFT87EA,北玄段,1807.86,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08520000
RPTNMLOKNHLGFAT17DA,萬興段,53.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,06230008
RPTNMLOKNHLGFAT17DA,萬興段,5.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,128,1,持分移轉,06230026
RPTNMLOKNHLGFAT17DA,萬興段,4.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,128,1,持分移轉,06490000
RPQOMLOKNHLGFCT17DA,鳳新段,.18,非都市：鄉村區 ; 非都市編定：乙種建築用地,180,6,持分移轉,00950000
RPQOMLOKNHLGFCT17DA,鳳新段,2.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,180,6,持分移轉,01160000
RPQOMLOKNHLGFCT17DA,鳳新段,2.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,180,6,持分移轉,01160001
RPQOMLOKNHLGFCT17DA,鳳新段,178.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01160010
RPQOMLOKNHLGFCT17DA,鳳新段,5.37,非都市：鄉村區 ; 非都市編定：乙種建築用地,180,6,持分移轉,01160013
RPQOMLOKNHLGFCT17DA,鳳新段,16.19,非都市：鄉村區 ; 非都市編定：乙種建築用地,180,6,持分移轉,01180000
RPPNMLPKNHLGFFT37DA,古華段,15000.00,非都市：山坡地保育區 ; 非都市編定：林業用地,64680,15000,持分移轉,00190001
RPTNMLPKNHLGFFT77DA,石光段,46.17,都市：其他:道路用地,72,10,持分移轉,12660000
RPRNMLPKNHLGFAT07DA,水源段二小段,35.86,都市：其他:住宅區,10000,1267,持分移轉,02640000
RPXNMLPJNHLGFAT57DA,溝美段,88.00,都市：其他:住宅區,1,1,全筆移轉,08280007
RPUNMLPKNHLGFDT67DA,鹽洲段,1.69,都市：其他:住宅區,1,1,全筆移轉,09880012
RPPNMLPKNHLGFET27DA,四林段,1550.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05460000
RPQNMLPKNHLGFCT17DA,新隘寮段,2045.51,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05200001
RPRNMLKLNHLGFET07DA,新海口段,3.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07420001
RPPNMLTKNHLGFFT77DA,丹路段,10600.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,04260000
RPSNMLPKNHLGFAT17DA,水源段二小段,34.89,都市：其他:住宅區,10000,1233,持分移轉,02640000
RPTNMLNKNHLGFCT27DA,壽比段,5.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,36,持分移轉,07640000
RPPNMLTKNHLGFBT37DA,塩中段,15.17,都市：其他:商業區,10000,3850,持分移轉,09380000
RPPNMLTKNHLGFBT37DA,塩中段,21.62,都市：其他:商業區,4,2,持分移轉,09390000
RPPNMLTKNHLGFBT37DA,塩中段,4.61,都市：其他:道路用地,1310,204,持分移轉,09440000
RPPNMLTKNHLGFBT37DA,塩中段,85.23,都市：其他:住宅區,90,34,持分移轉,09530000
RPPNMLKLNHLGFET86DA,公順段,4.49,都市：其他:住宅區,10000,21,持分移轉,13220000
RPWNMLKLNHLGFAT17DA,檳榔腳段二小段,23.50,都市：其他:住宅區,10000,604,持分移轉,06610000
RPSNMLTKNHLGFDT87DA,銀放索段,31.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03380000
RPPNMLLLNHLGFET96DA,恆南段,78.04,都市：其他:住宅區,1,1,全筆移轉,02230000
RPRNMLKLNHLGFDT96DA,中洲段,4.39,都市：其他:住宅區,1,1,全筆移轉,04680002
RPPNMLMLNHLGFFT27EA,內寮村段,544.06,非都市：一般農業區 ; 非都市編定：農牧用地,8,2,持分移轉,03740000
