編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLPKNHLGFAT07DA,一樓平面,1500000,23.14,一樓
RPSNMLPKNHLGFAT17DA,一樓平面,1300000,,一樓
RPQNMLLKNHLGFAT56DA,坡道機械,0,,地下一樓
RPWNMLLLNHLGFAT27DA,一樓平面,0,,一樓
RPPNMLOJOHLGFAT76DA,坡道平面,800000,24.01,地下一樓
RPXNMLTKNHLGFAT08DA,坡道機械,1000000,,地下一樓
RPSNMLRKMHLGFCT47DA,坡道機械,0,,地下一樓
RPSNMLRKMHLGFCT47DA,坡道機械,0,,地下一樓
RPSNMLRKMHLGFCT47DA,坡道機械,0,,地下一樓
RPSNMLRKMHLGFCT47DA,坡道機械,0,,地下一樓
RPSNMLRKMHLGFCT47DA,坡道機械,0,,地下一樓
RPSNMLRKMHLGFCT47DA,坡道機械,0,,地下一樓
RPSNMLRKMHLGFCT47DA,坡道機械,0,,地下一樓
RPSNMLRKMHLGFCT47DA,坡道機械,0,,地下一樓
RPSNMLRKMHLGFCT47DA,坡道機械,0,,地下一樓
RPSNMLRKMHLGFCT47DA,坡道機械,0,,地下一樓
RPSNMLRKMHLGFCT47DA,坡道機械,0,,地下一樓
RPSNMLRKMHLGFCT47DA,坡道機械,0,,地下一樓
RPSNMLRKMHLGFCT47DA,坡道機械,0,,地下一樓
RPQNMLTJMHLGFAT17DA,一樓平面,1300000,,一樓
RPSOMLOJNHLGFAT07DA,坡道平面,0,24.01,地下二樓
RPSNMLTLMHLGFDT87DA,坡道平面,0,,地下一樓
RPWNMLPJNHLGFAT47DA,一樓平面,0,,一樓
RPQNMLQJNHLGFAT96DA,一樓平面,0,,一樓
RPWNMLLLMHLGFAT17DA,坡道機械,0,,地下三樓
RPVNMLNKNHLGFAT27DA,一樓平面,1600000,13.72,一樓
RPWNMLOKNHLGFCT67DA,一樓平面,0,,一樓
RPXNMLOJNHLGFAT47DA,坡道平面,2000000,16.56,地下一樓
RPXNMLOJNHLGFAT47DA,坡道平面,2000000,16.56,地下一樓
RPRNMLSJNHLGFDT57DA,一樓平面,0,,一樓
RPPNMLSJNHLGFAT07DA,坡道機械,0,,地下一樓
RPQNMLPKNHLGFDT37EA,坡道平面,0,,地下一樓
RPRNMLKKMHLGFCT66DA,一樓平面,0,,
RPPNMLTKNHLGFCT47DA,坡道平面,1500000,22.06,地下一樓
RPRNMLSJMHLGFAT17DA,坡道平面,0,,地下一樓
RPPNMLKLNHLGFAT56EA,一樓平面,0,,一樓
RPTNMLQJNHLGFDT57DA,一樓平面,0,,一樓
RPSNMLLKNHLGFAT76DA,一樓平面,0,,一樓
RPSNMLOKMHLGFAT96DA,升降機械,0,,地下一樓
RPXNMLLLNHLGFAT37DA,一樓平面,1100000,,一樓
RPSNMLQJNHLGFDT47DA,一樓平面,0,,一樓
RPPNMLPJNHLGFAT76DA,一樓平面,0,13.78,一樓
RPTOMLKLNHLGFAT96DA,一樓平面,0,,一樓
RPUNMLSLNHLGFAT77DA,一樓平面,1500000,,一樓
RPTNMLMLNHLGFCT27DA,坡道平面,0,,地下一樓
RPUOMLPJNHLGFAT37DA,一樓平面,0,13.78,一樓
RPPOMLPLNHLGFAT07DA,一樓平面,0,,一樓
RPPNMLLJOHLGFAT09DA,坡道平面,0,,地下一樓
RPVNMLNLNHLGFCT57DA,一樓平面,1000000,,一樓
RPPNMLMJOHLGFDT86DA,一樓平面,0,,一樓
RPRNMLPJNHLGFAT96DA,一樓平面,0,,一樓
RPOOMLPLNHLGFAT96DA,一樓平面,0,,一樓
RPROMLLJOHLGFAT76DA,坡道機械,0,,地下一樓
RPQNMLOJOHLGFAT86DA,坡道平面,0,,地下一樓
RPPOMLLJOHLGFAT56DA,一樓平面,0,,一樓
RPRNMLOJOHLGFAT96DA,坡道平面,0,,地下一樓
RPWNMLQLLHLGFAT57DA,一樓平面,0,,一樓
RPQNMLLJMHLGFCT56DA,坡道機械,800000,8.48,一樓
