鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
屏東市,房地(土地+建物),屏東縣屏東市洛陽段937地號,21.17,住,,,1150214,土地1建物1車位0,五層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,87.76,2,2,2,有,無,9710000,110643,,0.0,0,,RPPNMLNLKHLGFAT09CB,萬吉沐山,G-5號,
內埔鄉,房地(土地+建物)+車位,屏東縣內埔鄉學興路,27.37,住,,,1150215,土地3建物1車位1,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.09,3,2,2,有,無,7830000,69500,升降機械,5.5,700000,,RPPNMLNLKHLGFCT66CB,皇家欣天地5,G棟2號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市明正段1277地號,25.09,住,,,1150212,土地1建物1車位1,十六層,18,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,153.42,3,1,2,有,無,15260000,107664,坡道平面,29.33,1900000,,RPQNMLOLKHLGFAT66CB,旺千禧-哈佛皇家NO.2,A2棟16F號,
潮州鎮,房地(土地+建物),屏東縣潮州鎮蓬榮街,32.12,住,,,1150214,土地2建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,81.62,2,1,2,有,無,6700000,82088,,0.0,0,,RPPNMLPLKHLGFCT96DB,榮田品都,A3棟1號,
佳冬鄉,房地(土地+建物)+車位,屏東縣佳冬鄉萬建段235地號,35.97,住,,,1150227,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,100.18,3,2,2,有,無,7070000,70222,一樓平面,13.74,1000000,,RPPNMLOJLHLGFFT96CB,耀佳冬,B棟2號,
內埔鄉,房地(土地+建物),屏東縣內埔鄉學興路,77.8,住,,,1150301,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,159.61,4,2,3,有,無,13600000,85208,,0.0,0,,RPPNMLPJLHLGFCT76CB,皇家欣天地5,B棟7號,1150519全部解約
東港鎮,房地(土地+建物),屏東縣東港鎮富漁三路,18.14,住,,,1150301,土地1建物1車位0,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,73.35,2,2,2,有,無,5760000,78528,,0.0,0,,RPPNMLPJLHLGFDT86CB,東津灣,B7棟7F號,
東港鎮,房地(土地+建物),屏東縣東港鎮富漁三路,19.39,住,,,1150223,土地1建物1車位0,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,78.37,2,2,2,有,無,6280000,80133,,0.0,0,,RPQNMLPJLHLGFDT96CB,東津灣,B5棟8F號,
潮州鎮,房地(土地+建物),屏東縣潮州鎮萬大街,67.5,住,,,1150305,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,130.65,4,2,4,有,無,11980000,91695,,0.0,0,,RPPNMLQJLHLGFCT86CB,天景潮院,A棟3號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市洛陽段937地號,20.8,住,,,1150225,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,108.83,2,2,2,有,無,10850000,106739,一樓平面,22.17,1600000,,RPPNMLSJLHLGFAT86CB,萬吉沐山,E-6號,
