編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLTJLHLGFAT17CB,麟孝段,36.75,都市：住,10000,541,持分移轉,03790000
RPRNMLTJLHLGFAT17CB,麟孝段,4.55,都市：其他:道路用地,100,1,持分移轉,03780000
RPRNMLTJLHLGFAT17CB,麟孝段,.89,都市：其他:道路用地,100,1,持分移轉,03800000
RPPNMLSJLHLGFAT86CB,洛陽段,20.80,都市：住,10000,115,持分移轉,09370000
RPRNMLTJLHLGFAT17CB,麟孝段,1.93,都市：其他:道路用地,100,1,持分移轉,03410000
RPTNMLTJLHLGFAT37CB,麟孝段,31.04,都市：住,10000,457,持分移轉,03790000
RPTNMLTJLHLGFAT37CB,麟孝段,4.55,都市：其他:道路用地,100,1,持分移轉,03780000
RPTNMLTJLHLGFAT37CB,麟孝段,.89,都市：其他:道路用地,100,1,持分移轉,03800000
RPTNMLTJLHLGFAT37CB,麟孝段,1.93,都市：其他:道路用地,100,1,持分移轉,03410000
RPQNMLSJLHLGFAT96CB,洛陽段,24.96,都市：住,10000,138,持分移轉,09370000
RPSNMLTJLHLGFAT27CB,麟孝段,31.04,都市：住,10000,457,持分移轉,03790000
RPSNMLTJLHLGFAT27CB,麟孝段,4.55,都市：其他:道路用地,100,1,持分移轉,03780000
RPSNMLTJLHLGFAT27CB,麟孝段,.89,都市：其他:道路用地,100,1,持分移轉,03800000
RPSNMLTJLHLGFAT27CB,麟孝段,1.93,都市：其他:道路用地,100,1,持分移轉,03410000
RPPNMLMKLHLGFAT98CB,洛陽段,14.65,都市：住,10000,81,持分移轉,09370000
RPPNMLRKLHLGFAT86CB,麟孝段,28.59,都市：住,10000,116,持分移轉,09700000
RPQNMLMKLHLGFAT09CB,潭頭段,20.72,都市：住,1000000,22938,持分移轉,12800000
RPQNMLMKLHLGFAT09CB,潭頭段,24.83,都市：住,1000000,22938,持分移轉,12810000
RPQNMLOLKHLGFAT66CB,明正段,25.09,都市：住,10000,110,持分移轉,12770000
RPRNMLMKLHLGFAT56CB,潭頭段,20.72,都市：住,1000000,22938,持分移轉,12800000
RPRNMLMKLHLGFAT56CB,潭頭段,24.83,都市：住,1000000,22938,持分移轉,12810000
RPPNMLOKLHLGFAT56CB,瑞光段,32.26,都市：住,100000,1948,持分移轉,10820000
RPQNMLRKLHLGFAT96CB,麟孝段,22.92,都市：住,10000,93,持分移轉,09700000
RPPNMLNLKHLGFAT09CB,洛陽段,21.17,都市：住,10000,117,持分移轉,09370000
RPPNMLQLLHLGFAT86CB,明正段,15.74,都市：住,10000,69,持分移轉,12770000
RPPNMLTKLHLGFFT57CB,萬建段,35.97,都市：住,10000,428,持分移轉,02350000
RPPNMLQJMHLGFAT76CB,洛陽段,25.69,都市：住,10000,142,持分移轉,09370000
RPQNMLQLLHLGFAT96CB,明正段,24.86,都市：住,10000,109,持分移轉,12770000
RPQNMLQJMHLGFAT86CB,洛陽段,23.70,都市：住,10000,131,持分移轉,09370000
RPPNMLSKLHLGFAT96CB,麟孝段,31.18,都市：住,10000,459,持分移轉,03790000
RPPNMLSKLHLGFAT96CB,麟孝段,4.55,都市：其他:道路用地,100,1,持分移轉,03780000
RPPNMLSKLHLGFAT96CB,麟孝段,.89,都市：其他:道路用地,100,1,持分移轉,03800000
RPPNMLLJMHLGFAT88CB,麟孝段,31.18,都市：住,10000,459,持分移轉,03790000
RPPNMLSKLHLGFAT96CB,麟孝段,1.93,都市：其他:道路用地,100,1,持分移轉,03410000
RPPNMLLJMHLGFAT88CB,麟孝段,4.55,都市：其他:道路用地,100,1,持分移轉,03780000
RPPNMLLJMHLGFAT88CB,麟孝段,.89,都市：其他:道路用地,100,1,持分移轉,03800000
RPPNMLLJMHLGFAT88CB,麟孝段,1.93,都市：其他:道路用地,100,1,持分移轉,03410000
RPPNMLSJMHLGFAT96CB,長治段,33.65,都市：住,10000,548,持分移轉,00930000
RPRNMLSJMHLGFAT17CB,長治段,42.92,都市：住,10000,699,持分移轉,00930000
RPPNMLTJMHLGFAT07CB,復興段,26.93,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,590,持分移轉,05250000
RPPNMLOJLHLGFFT96CB,萬建段,35.97,都市：住,10000,428,持分移轉,02350000
RPPNMLPLKHLGFCT96DB,榮田段,2.89,都市：住,100000,9778,持分移轉,11460003
RPPNMLPLKHLGFCT96DB,榮田段,29.23,都市：住,100000,9778,持分移轉,11800000
RPPNMLPKMHLGFAT76CB,新社皮段,65.70,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02770014
RPPNMLPKMHLGFAT76CB,新社皮段,15.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,24,1,持分移轉,02770000
RPPNMLPKMHLGFAT76CB,新社皮段,.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,02770033
RPPNMLLKMHLGFAT98CB,橋福段,40.07,都市：住,100000,4353,持分移轉,04090000
RPPNMLLLMHLGFAT09CB,潭頭段,20.38,都市：住,1000000,22563,持分移轉,12800000
RPPNMLLLMHLGFAT09CB,潭頭段,24.43,都市：住,1000000,22563,持分移轉,12810000
RPPNMLMLMHLGFAT56CB,橋福段,41.86,都市：住,100000,4547,持分移轉,04090000
RPSNMLKLMHLGFFT17CB,萬建段,39.92,都市：住,10000,475,持分移轉,02350000
RPRNMLKLMHLGFFT07CB,萬建段,39.92,都市：住,10000,475,持分移轉,02350000
RPQNMLMLMHLGFAT66CB,洛陽段,20.80,都市：住,10000,115,持分移轉,09370000
RPPNMLOLMHLGFAT76CB,長治段,34.02,都市：住,10000,554,持分移轉,00930000
RPPNMLSLMHLGFET57CB,恆西段,43.90,都市：住,10000,725,持分移轉,03900000
RPQNMLKLMHLGFET86CB,恆西段,42.99,都市：住,10000,710,持分移轉,03900000
RPPNMLKLMHLGFET76CB,恆西段,28.40,都市：住,10000,469,持分移轉,03900000
RPPNMLNKMHLGFET96CB,恆西段,42.99,都市：住,10000,710,持分移轉,03900000
RPQNMLKMMHLGFAT56CB,長治段,42.92,都市：住,10000,699,持分移轉,00930000
RPRNMLKMMHLGFAT66CB,長治段,33.65,都市：住,10000,548,持分移轉,00930000
