編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLNKKHLGFCT96CC,32,74.37,住家用,鋼筋混凝土造,83年8月12日,八層,,
RPSNMLNKKHLGFCT96CC,32,53.65,水箱．會客室．守衛室．停車空間．梯間．機械室,鋼筋混凝土造,83年8月12日,八層,,
RPRNMLOLKHLGFAT86CC,2,61.85,集合住宅,鋼筋混凝土造,112年11月21日,六層,,
RPRNMLOLKHLGFAT86CC,2,34.83,本共有部分之項目有停車空間、電信室、台電配電室、發電機室、消防機房、樓梯間、機械室等項,鋼筋混凝土造,112年11月21日,六層,,
RPTNMLOLKHLGFAT07CC,4,49.99,集合住宅,鋼筋混凝土造,111年1月4日,五層,,
RPUNMLNKKHLGFAT96CC,,122.34,住家用,鋼筋混凝土加強磚造,,二層,,
RPTNMLOLKHLGFAT07CC,4,27.24,停車空間、樓梯間、機械室,鋼筋混凝土造,111年1月4日,五層,,
RPUNMLLKKHLGFAT76CC,21,180.25,住商用,鋼筋混凝土造,94年7月5日,四層,,
RPSNMLMKKHLGFCT86CC,31,37.50,騎樓、停車空間、樓梯間、門廳及車道、集合住宅,鋼筋混凝土構造,84年1月19日,五層,,
RPPNMLMKKHLGFAT98CC,19,13.24,辦公室,鋼筋混凝土造,96年5月30日,八層,,
RPPNMLMKKHLGFAT98CC,19,10.43,梯廳、防空避難室、停車空間、水箱、機械室,鋼筋混凝土造,96年5月30日,八層,,
RPUNMLNKKHLGFCT17CC,31,70.46,住家用,鋼筋混凝土造,84年7月19日,五層,,
RPSNMLNKKHLGFAT76CC,32,26.53,住家用,鋼筋混凝土造,82年12月4日,十五層,,
RPUNMLNKKHLGFCT17CC,31,13.92,停車空間、水箱、梯間,鋼筋混凝土造,84年7月19日,五層,,
RPWNMLNKKHLGFAT17CC,43,91.23,住家用,鋼筋混凝土造,72年5月27日,五層,,
RPSNMLNKKHLGFAT76CC,32,13.22,走道，梯間，開放空間，地下室等公共設施,鋼筋混凝土造,82年12月4日,十五層,,
RPWNMLNKKHLGFAT17CC,43,9.14,防空避難,鋼筋混凝土造,72年5月27日,五層,,
RPPNMLOLKHLGFAT66CC,18,9.19,辦公室,鋼筋混凝土造,97年3月5日,四層,,
RPPNMLOLKHLGFAT66CC,18,4.54,辦公室、機電空間、梯廳,鋼筋混凝土造,97年3月5日,四層,,
RPPNMLNLKHLGFAT56CC,32,141.77,住家用,鋼筋混凝土造,83年6月29日,四層,,
RPQNMLMKKHLGFAT09CC,2,185.81,工場﹝廠﹞,鋼骨造,113年5月3日,一層,,
RPRNMLMKKHLGFCT76CC,31,52.30,騎樓、停車空間、樓梯間、門廳及車道、集合住宅,鋼筋混凝土構造,84年1月19日,五層,,
RPOOMLOLKHLGFAT66CC,44,219.30,住商用,鋼筋混凝土造,71年6月13日,三層,,
RPRNMLQLKHLGFAT07CC,2,86.81,集合住宅,鋼筋混凝土造,113年1月31日,十三層,,
RPRNMLQLKHLGFAT07CC,2,74.03,本共有部分之項目：陽台、停車空間兼防空避難室、台電配電室、機電空間、蓄水池、樓梯間、排煙室、水錶室、機房、水箱、機械室等１１項。,鋼筋混凝土造,113年1月31日,十三層,,
RPQNMLQLKHLGFAT96CC,42,98.60,住家用,加強磚造,73年4月21日,二層,,
RPPNMLQLKHLGFCT07CC,23,14.93,見使用執照,鋼筋混凝土造,92年5月1日,五層,,
RPQNMLQLKHLGFCT17CC,23,14.93,住家用,鋼筋混凝土造,92年5月1日,五層,,
RPPNMLQLKHLGFCT07CC,23,4.95,共同部份,鋼筋混凝土造,92年5月1日,五層,,
RPQNMLQLKHLGFCT17CC,23,4.95,共同部份,鋼筋混凝土造,92年5月1日,五層,,
