編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLNLKHLGFAT56CC,新鐘段,19.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,06010044
RPPNMLNLKHLGFAT56CC,新鐘段,62.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,06010038
RPOOMLOLKHLGFAT66CC,溝美段一小段,133.00,都市：住,,,,00750000
RPRNMLKKLHLGFAT09CC,香社段,141.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,06590002
RPPNMLSKLHLGFCT27CC,中洲段,63.88,都市：住,,,,08220000
RPRNMLKLLHLGFAT56CC,社安段,261.00,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,07690027
RPSNMLOLLHLGFAT07CC,永興段,83.74,都市：住,,,,01010000
RPQNMLOKMHLGFCT07CC,五福段,23.12,都市：住,,,,08640004
RPPNMLMLMHLGFAT66CC,洛陽段,83.00,都市：住,,,,01270014
RPPNMLRLMHLGFDT47CC,頂愛段,105.94,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07100000
RPPNMLSLMHLGFCT47CC,華興段,59.18,都市：住,,,,09420000
RPPNMLSLMHLGFCT47CC,華興段,49.21,都市：住,,,,09420001
RPQNMLSLMHLGFCT57CC,五福段,25.87,都市：住,,,,08640004
RPQNMLMKNHLGFAT76CC,斯文段,99.00,都市：住,,,,03560000
RPSNMLOKNHLGFAT17CC,瑞光段,73.00,都市：住,,,,11170000
