編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLNKKHLGFCT96CC,坡道平面,0,,一樓
RPTNMLOLKHLGFAT07CC,一樓平面,0,,一樓
RPRNMLQLKHLGFAT07CC,坡道平面,0,29.77,地下二樓
RPXNMLMJLHLGFAT17CC,一樓平面,0,,一樓
RPPNMLOJLHLGFAT56CC,坡道平面,0,24.13,地下二樓
RPSNMLKKLHLGFAT56CC,一樓平面,0,,一樓
RPPNMLQKLHLGFAT86CC,坡道平面,0,27.12,地下一樓
RPPNMLNKLHLGFDT86CC,坡道平面,0,,地下一樓
RPPNMLRKLHLGFAT96CC,一樓平面,0,,一樓
RPUNMLRKLHLGFAT47CC,坡道平面,0,,地下一樓
RPPNMLRKLHLGFCT17CC,一樓平面,0,,一樓
RPPNMLRLLHLGFCT27CC,一樓平面,0,,一樓
RPPNMLKMLHLGFCT66CC,一樓平面,0,8.76,一樓
RPPNMLMJMHLGFAT09CC,坡道平面,0,27.12,地下一樓
RPQNMLRJMHLGFAT07CC,坡道機械,0,,地下一樓
RPRNMLOKMHLGFAT96CC,坡道平面,0,,地下一樓
RPPNMLSKMHLGFAT17CC,一樓平面,0,,一樓
RPPNMLSKMHLGFAT17CC,一樓平面,0,,一樓
RPSNMLLLMHLGFAT86CC,坡道平面,1000,28.36,地下一樓
RPRNMLMLMHLGFAT86CC,一樓平面,0,,一樓
RPWNMLNLMHLGFAT47CC,一樓平面,0,12.67,一樓
RPQNMLOLMHLGFBT07CC,一樓平面,0,14.72,一樓
RPQNMLRLMHLGFAT27CC,一樓平面,0,,一樓
RPORMLTLMHLGFCT87CC,一樓平面,0,,一樓
RPSNMLPJNHLGFAT17CC,一樓平面,1000,,一樓
RPTNMLPJNHLGFAT27CC,一樓平面,1000,24.13,一樓
RPTNMLPJNHLGFCT47CC,一樓平面,2000,,一樓
RPQNMLOJNHLGFCT07CC,一樓平面,1800,,一樓
RPSNMLPJNHLGFCT37CC,一樓平面,1500,,一樓
RPQNMLRJNHLGFAT17CC,一樓平面,0,,一樓
RPSNMLSJNHLGFAT47CC,升降機械,1000,15.91,地下一樓
RPPNMLLKNHLGFCT76CC,一樓平面,0,8.76,一樓
RPPNMLLKNHLGFDT86CC,一樓平面,1000,,一樓
RPSNMLMKNHLGFAT96CC,坡道平面,0,5.08,地下一樓
RPUNMLPKNHLGFAT47CC,一樓平面,0,15.61,一樓
RPXNMLSKNHLGFAT08CC,一樓平面,0,,一樓
RPPNMLQLNHLGFAT17CC,一樓平面,0,,一樓
RPUNMLTLNHLGFAT97CC,一樓平面,0,,一樓
