編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLOJNHLGFAU17DA,主商段,5.15,都市：商,1000,23,持分移轉,08940000
RPTNMLOJNHLGFAU17DA,主商段,.51,都市：其他:道路用地,1000,23,持分移轉,08940011
RPROMLTLMHLGFAU67DA,克來寶段,100.03,都市：住,1,1,全筆移轉,01210000
RPPNMLTJNHLGFCU47DA,吳江段,6216.67,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,03150000
RPVNMLSKNHLGFAU87DA,碧雲段,13.78,都市：住,10000,629,持分移轉,03580000
RPPNMLMKNHLGFBU86EA,砂荖段,1467.74,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07660000
RPRNMLPKNHLGFAU17DA,民勤段,5.22,都市：其他:住宅區,10000,129,持分移轉,00490000
RPRNMLPKNHLGFAU17DA,民勤段,4.14,都市：其他:住宅區,10000,129,持分移轉,00500000
RPOOMLSJNHLGFAU17DA,莊敬段,94.00,都市：住,1,1,全筆移轉,04240002
RPPNMLTKNHLGFCU57DA,滿自然段,86.67,非都市：山坡地保育區 ; 非都市編定：農牧用地,3,1,持分移轉,10720001
RPPNMLTKNHLGFCU57DA,滿自然段,73.92,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,3,1,持分移轉,10900000
RPXNMLOJOHLGFAU67DA,順安段,2.05,都市：住,1,1,全筆移轉,03480001
RPTNMLLKNHLGFAU96DA,慈安段,68.00,都市：住,1,1,全筆移轉,12470000
RPTNMLLKNHLGFAU96DA,慈安段,46.00,都市：其他:住宅區,1,1,全筆移轉,12970000
RPRNMLPJOHLGFAU17DA,興海段,41.99,都市：住,2,1,持分移轉,02570000
RPPNMLOKNHLGFAU86DA,慈安段,21.50,都市：住,8,1,持分移轉,15720010
RPQNMLKLNHLGFCU86DA,法老段,2966.09,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,02010000
RPQNMLKLNHLGFCU86DA,法老段,190.25,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02510000
RPRNMLOKNHLGFAU17EA,須美基段,241.78,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02330000
RPQNMLOKNHLGFCU17DA,竹田段,85.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01450000
RPPNMLSKNHLGFAU27DA,平和段,712.86,都市：農,4,1,持分移轉,06740000
RPUNMLSJOHLGFAU77DA,豐裡段,2621.26,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01130000
RPPNMLMLNHLGFCU96DA,舞鶴東段,384.71,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,11640000
RPPNMLMLNHLGFBU86DA,鳳仁段,12.00,都市：其他:住宅區,1,1,全筆移轉,07080001
RPRNMLPLNHLGFCU47DA,禹西段,1789.97,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00370000
RPTNMLMLNHLGFAU17DA,民享段,4.09,都市：其他:商業區,10000,58,持分移轉,14990000
