編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTNMLLLNHLGFAU07DA,升降平面,860000,28.04,地下一樓
RPQNMLQLNHLGFAU27DA,坡道平面,800000,14.18,地下一樓
RPWNMLSLMHLGFAU97DA,一樓平面,0,13.40,一樓
RPTNMLPKNHLGFAU37DA,坡道平面,0,14.69,地下一樓
RPQNMLKLNHLGFAU66DA,一樓平面,0,14.94,一樓
RPXNMLLLNHLGFAU47DA,一樓平面,0,,一樓
RPUNMLTLNHLGFAU97DA,一樓平面,1800000,28.64,一樓
RPPOMLNJOHLGFAU86DA,一樓平面,1700000,13.75,一樓
RPWNMLNKLHLGFAU27DA,一樓平面,950000,13.40,一樓
RPRNMLRLLHLGFAU27DA,一樓平面,950000,13.40,一樓
RPOOMLRJMHLGFAU96DA,一樓平面,950000,13.40,一樓
RPQOMLOKMHLGFAU96DA,一樓平面,0,27.70,一樓
RPUNMLOKMHLGFCU47DA,一樓平面,600000,15.05,一樓
RPTNMLRKMHLGFAU47DA,一樓平面,0,13.51,一樓
RPVNMLLLMHLGFAU17DA,一樓平面,950000,13.40,一樓
RPQNMLKLMHLGFAU56DA,坡道平面,0,,地下一樓
RPUNMLKLNHLGFAU07DA,坡道平面,0,28.04,地下一樓
RPRNMLTJLHLGFAU27DA,其他,700000,13.97,地下一樓
RPUNMLNKLHLGFAU07DA,一樓平面,950000,13.40,一樓
RPUNMLNKLHLGFAU07DA,一樓平面,950000,13.40,一樓
RPTNMLNKLHLGFAU96DA,坡道平面,1000000,34.02,地下一樓
RPOOMLOLLHLGFAU76DA,坡道平面,0,14.00,地下一樓
RPVOMLKLLHLGFAU07DA,一樓平面,1300000,13.84,一樓
RPRNMLTJMHLGFAU37DA,一樓平面,950000,13.40,一樓
RPRNMLNJLHLGFAU66DA,一樓平面,900000,13.40,一樓
RPWNMLOLKHLGFAU37DA,一樓平面,950000,13.40,一樓
RPPNMLKKLHLGFAU88DA,一樓平面,1000000,34.02,一樓
RPSNMLNJLHLGFAU76DA,一樓平面,950000,13.40,一樓
RPWNMLQJLHLGFAU47DA,一樓平面,950000,13.40,一樓
RPOOMLPJLHLGFAU66DA,一樓平面,950000,13.40,一樓
RPROMLOJLHLGFAU86DA,一樓平面,950000,13.40,一樓
RPQNMLTKLHLGFAU27DA,一樓平面,950000,13.40,一樓
RPVNMLRLLHLGFAU67DA,一樓平面,950000,13.40,一樓
RPTNMLMKNHLGFAU07DA,坡道平面,0,14.85,一樓
RPPNMLOLLHLGFCU96DA,一樓平面,500000,13.79,一樓
RPTNMLMKLHLGFAU86DA,一樓平面,1150000,11.74,一樓
RPWOMLPKMHLGFAU67DA,一樓平面,1700000,13.75,一樓
RPTOMLKLLHLGFAU86DA,一樓平面,1000000,13.84,一樓
RPPOMLKLLHLGFAU09DA,一樓平面,1000000,12.73,一樓
RPXNMLTJLHLGFAU87DA,坡道平面,1550000,34.05,地下一樓
RPOOMLKLLHLGFAU98DA,一樓平面,1000000,13.84,一樓
RPSPMLPKMHLGFAU37DA,一樓平面,1600000,13.75,一樓
RPVQMLPKMHLGFAU77DA,一樓平面,1600000,13.75,一樓
RPXNMLMLMHLGFAU47DA,一樓平面,1700000,21.07,一樓
RPRPMLPKMHLGFAU27DA,一樓平面,1600000,13.75,一樓
RPVNMLOJLHLGFAU17DA,一樓平面,1000000,13.84,一樓
RPVPMLPKMHLGFAU67DA,一樓平面,1700000,13.75,一樓
RPORMLPKMHLGFAU17DA,一樓平面,1500000,9.23,一樓
RPWQMLPKMHLGFAU87DA,一樓平面,1500000,8.69,一樓
RPQNMLLKLHLGFAU09DA,一樓平面,1300000,13.84,一樓
RPRQMLPKMHLGFAU37DA,一樓平面,1600000,13.75,一樓
RPUNMLLLMHLGFAU07DA,一樓平面,1300000,13.75,一樓
RPVNMLMLMHLGFAU27DA,一樓平面,1300000,13.84,一樓
RPWNMLOJLHLGFAU27DA,一樓平面,1300000,13.84,一樓
RPSQMLPKMHLGFAU47DA,一樓平面,1600000,13.75,一樓
RPRNMLMKLHLGFAU66DA,一樓平面,1250000,9.39,一樓
RPXNMLRLNHLGFAU08DA,坡道平面,1200000,23.88,地下二樓
RPUNMLPLLHLGFAU37DA,一樓平面,1700000,13.74,一樓
RPTOMLTLMHLGFAU87DA,一樓平面,1700000,34.05,一樓
RPQNMLOJNHLGFAU86DA,一樓平面,1200000,13.75,一樓
RPVNMLTJLHLGFAU67DA,一樓平面,1550000,31.38,一樓
RPVNMLKLLHLGFAU96DA,坡道平面,1680000,34.05,地下一樓
RPQNMLMKLHLGFAU56DA,一樓平面,1050000,20.31,一樓
RPSNMLTLNHLGFAU77DA,坡道平面,1050000,23.88,地下二樓
RPRNMLLKLHLGFAU56DA,坡道平面,1300000,14.69,地下一樓
RPQNMLOLLHLGFCU07DA,一樓平面,500000,13.79,一樓
RPVNMLQKLHLGFAU47DA,一樓平面,1600000,31.38,一樓
RPVNMLQKLHLGFAU47DA,坡道平面,1300000,14.69,地下一樓
RPOPMLRLNHLGFAU37DA,坡道平面,1050000,23.88,地下二樓
RPOOMLSLNHLGFAU37DA,坡道平面,1150000,23.88,地下一樓
RPPOMLRLNHLGFAU37DA,坡道平面,1150000,23.88,地下一樓
RPRPMLRLNHLGFAU67DA,坡道平面,1400000,28.69,地下二樓
RPWPMLRLNHLGFAU18DA,坡道平面,1150000,23.88,地下一樓
RPQPMLRLNHLGFAU57DA,坡道平面,1150000,23.88,地下一樓
RPWOMLRLNHLGFAU08DA,坡道平面,1150000,23.88,地下一樓
RPRNMLSLNHLGFAU57DA,坡道平面,1150000,23.88,地下二樓
RPVOMLTLNHLGFAU18DA,坡道平面,1050000,23.88,地下一樓
RPROMLRLNHLGFAU57DA,坡道平面,1050000,23.88,地下二樓
RPSPMLRLNHLGFAU77DA,坡道平面,1150000,23.88,地下一樓
RPQPMLSLNHLGFAU67DA,坡道平面,1050000,23.88,地下二樓
RPPPMLRLNHLGFAU47DA,坡道平面,1050000,23.88,地下二樓
RPXOMLSLNHLGFAU28DA,坡道平面,1150000,23.88,地下一樓
RPQNMLSLNHLGFAU47DA,坡道平面,1050000,23.88,地下二樓
RPPNMLSLNHLGFAU37DA,坡道平面,1150000,23.88,地下一樓
RPTOMLTLNHLGFAU97DA,坡道平面,1400000,27.72,地下二樓
