編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMJLHLGFAU98CB,新興段,21.91,都市：住,568,18,持分移轉,00300000
RPPNMLOJLHLGFAU56CB,明義段,7.76,都市：商,100000,748,持分移轉,10950000
RPRNMLOLMHLGFAU07CB,富國段,4.17,都市：商,100000,1420,持分移轉,02140000
RPRNMLOLMHLGFAU07CB,富國段,9.41,都市：商,100000,1420,持分移轉,02150000
RPPNMLOJLHLGFAU56CB,明義段,.55,都市：商,100000,748,持分移轉,10950002
RPQNMLQKMHLGFAU07CB,仁恥段,3.21,都市：住,10000,191,持分移轉,06000000
RPPNMLPKMHLGFAU96DB,莊敬段,4.24,都市：住,692000,15874,持分移轉,05370001
RPQNMLQKMHLGFAU07CB,仁恥段,25.88,都市：住,10000,191,持分移轉,06010000
RPPNMLPKMHLGFAU96DB,莊敬段,3.97,都市：住,692000,15874,持分移轉,05370003
RPPNMLPKMHLGFAU96DB,莊敬段,3.85,都市：住,692000,15874,持分移轉,05370004
RPPNMLPKMHLGFAU96DB,莊敬段,3.81,都市：住,692000,15874,持分移轉,05370005
RPPNMLRKMHLGFAU07CB,莊敬段,4.07,都市：住,692000,15210,持分移轉,05370001
RPPNMLRKMHLGFAU07CB,莊敬段,3.80,都市：住,692000,15210,持分移轉,05370003
RPPNMLRKMHLGFAU07CB,莊敬段,3.69,都市：住,692000,15210,持分移轉,05370004
RPPNMLRKMHLGFAU07CB,莊敬段,3.65,都市：住,692000,15210,持分移轉,05370005
RPRNMLOKNHLGFAU07CB,莊敬段,4.23,都市：住,692000,15826,持分移轉,05370001
RPRNMLOKNHLGFAU07CB,莊敬段,3.96,都市：住,692000,15826,持分移轉,05370003
RPRNMLOKNHLGFAU07CB,莊敬段,3.84,都市：住,692000,15826,持分移轉,05370004
RPRNMLOKNHLGFAU07CB,莊敬段,3.80,都市：住,692000,15826,持分移轉,05370005
RPQNMLOLMHLGFAU96CB,富國段,4.17,都市：商,100000,1420,持分移轉,02140000
RPQNMLOLMHLGFAU96CB,富國段,9.41,都市：商,100000,1420,持分移轉,02150000
RPPNMLSLMHLGFAU27CB,仁廉段,20.76,都市：住,100000,1315,持分移轉,09710000
RPPNMLLJMHLGFAU98CB,慶豐段,6.58,都市：商,100000,2623,持分移轉,20440000
RPPNMLKKMHLGFAU98CB,富國段,15.72,都市：商,10000,53,持分移轉,01220000
RPQNMLRKMHLGFAU17CB,莊敬段,3.92,都市：住,692000,14670,持分移轉,05370001
RPQNMLRKMHLGFAU17CB,莊敬段,3.67,都市：住,692000,14670,持分移轉,05370003
RPQNMLRKMHLGFAU17CB,莊敬段,3.56,都市：住,692000,14670,持分移轉,05370004
RPQNMLRKMHLGFAU17CB,莊敬段,3.52,都市：住,692000,14670,持分移轉,05370005
RPQNMLOLMHLGFAU07DB,稻香段,69.18,都市：住,100000,6620,持分移轉,01280000
RPQNMLNLLHLGFAU76CB,宜安段,21.49,都市：住,100000,4642,持分移轉,04600000
RPQNMLNLLHLGFAU76CB,宜安段,10.68,都市：住,100000,4642,持分移轉,04620000
RPPNMLLLMHLGFAU56CB,宜安段,19.98,都市：住,100000,4315,持分移轉,04600000
RPPNMLLLMHLGFAU56CB,宜安段,9.92,都市：住,100000,4315,持分移轉,04620000
RPPNMLNLLHLGFAU66CB,仁和段,23.70,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,6272,持分移轉,07360000
RPPNMLTKNHLGFAU37CB,自強段,3.51,都市：住,10000,662,持分移轉,02830001
RPPNMLTKNHLGFAU37CB,自強段,10.00,都市：住,10000,662,持分移轉,03020000
RPPNMLTKNHLGFAU37CB,自強段,11.25,都市：住,10000,662,持分移轉,03090000
RPPNMLQJNHLGFAU96CB,永安段,38.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,4709,持分移轉,01650000
RPPNMLLKNHLGFAU56CB,嘉南段,37.78,都市：住,100000,2217,持分移轉,03650000
RPSNMLOKNHLGFAU17CB,莊敬段,3.92,都市：住,692000,14670,持分移轉,05370001
RPSNMLOKNHLGFAU17CB,莊敬段,3.67,都市：住,692000,14670,持分移轉,05370003
RPSNMLOKNHLGFAU17CB,莊敬段,3.56,都市：住,692000,14670,持分移轉,05370004
RPSNMLOKNHLGFAU17CB,莊敬段,3.52,都市：住,692000,14670,持分移轉,05370005
RPQNMLOKMHLGFAU86CB,自強段,1.96,都市：住,10000,370,持分移轉,02830001
RPQNMLOKMHLGFAU86CB,自強段,5.59,都市：住,10000,370,持分移轉,03020000
RPQNMLOKMHLGFAU86CB,自強段,6.29,都市：住,10000,370,持分移轉,03090000
RPQNMLOKNHLGFAU96CB,樹人段,19.08,都市：住,100000,3670,持分移轉,00030000
RPQNMLOKNHLGFAU96CB,樹人段,1.21,都市：住,100000,3670,持分移轉,00040015
RPQNMLOKNHLGFAU96CB,樹人段,10.02,都市：住,100000,3670,持分移轉,00050000
RPQNMLOKNHLGFAU96CB,樹人段,6.61,都市：住,100000,3670,持分移轉,00060000
