編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLOLKHLGFAU86DC,42,89.40,住家用,鋼筋混凝土造,72年9月10日,四層,,
RPPNMLOLKHLGFAU86DC,42,8.32,共有部份,鋼筋混凝土造,72年9月10日,四層,,
RPSNMLNLKHLGFAU96CC,30,29.00,住家用,鋼筋混凝土造,84年10月17日,五層,,
RPUNMLNLKHLGFAU17CC,5,100.21,集合住宅,鋼筋混凝土造,109年8月28日,九層,,
RPUNMLNLKHLGFAU17CC,5,36.76,本共有部分之項目有停車空間、機電設備空間、騎樓、樓梯間、梯廳、昇降設備機械房、台電配電場所、消防設備室、屋頂突出物１、２層等,鋼筋混凝土造,109年8月28日,九層,,
RPUNMLNLKHLGFAU17CC,5,6.07,停車空間,鋼筋混凝土造,109年8月28日,九層,,
RPRNMLOLKHLGFAU96CC,,12.56,住家用,鋼筋混凝土加強磚造,,二層,,
RPPNMLMJLHLGFAU09CC,11,33.11,住家用,鋼筋混凝土造,103年10月7日,四層,,
RPRNMLNLKHLGFAU86CC,30,61.22,住家用,鋼筋混凝土造,84年11月4日,十層,,
RPQNMLOLKHLGFAU86CC,40,131.98,住家用,鋼筋混凝土造,75年3月7日,二層,,
RPRNMLNLKHLGFAU86CC,30,9.20,共有部份,鋼筋混凝土造,84年11月4日,十層,,
RPRNMLNLKHLGFAU86CC,30,14.29,共有部份,鋼筋混凝土造,84年11月4日,十層,,
RPQNMLMJLHLGFAU56CC,5,36.17,住家用,鋼筋混凝土造,110年1月18日,四層,,
RPSNMLMJLHLGFAU76CC,32,33.05,住商用,鋼筋混凝土造,82年12月18日,四層,,
RPQNMLQLKHLGFAU07CC,23,219.94,住家用,鋼筋混凝土造,91年10月23日,三層,,
RPPNMLPLKHLGFAU86CC,47,36.00,住商用,鋼筋混凝土造,68年6月11日,四層,,
RPPNMLQLKHLGFAU96CC,31,23.21,住家用,鋼筋混凝土造,83年11月15日,十二層,,
RPPNMLQLKHLGFAU96CC,31,6.89,共有部份,鋼筋混凝土造,83年11月15日,十二層,,
RPPNMLQLKHLGFAU96CC,31,3.78,共有部份,鋼筋混凝土造,83年11月15日,十二層,,
RPRNMLMJLHLGFAU66CC,19,278.34,住家用,鋼筋混凝土造,95年8月31日,四層,,
RPRNMLQLKHLGFAU17CC,1,56.09,集合住宅,鋼筋混凝土造,114年7月3日,八層,,
RPRNMLQLKHLGFAU17CC,1,28.11,共有部份,鋼筋混凝土造,114年7月3日,八層,,
RPPNMLNJLHLGFAU56CC,38,10.54,住商用,鋼筋混凝土造,77年2月11日,三層,,
RPQNMLNJLHLGFAU66CC,49,14.20,住家用,鋼筋水泥鐵架,66年3月1日,二層,,
RPWNMLNJLHLGFAU27CC,33,20.32,住家用,鋼筋混凝土造,82年6月22日,七層,,
RPXNMLNJLHLGFAU37CC,10,20.00,農舍,鋼筋混凝土造,105年3月8日,三層,,
RPWNMLNJLHLGFAU27CC,33,8.13,共有部份,鋼筋混凝土造,82年6月22日,七層,,
RPQNMLMJLHLGFAU66DC,39,41.16,住商用,鋼筋混凝土造,75年12月9日,二層,,
RPQNMLOJLHLGFAU76CC,10,20.00,農舍,鋼筋混凝土造,105年3月8日,三層,,
RPVNMLNJLHLGFAU17CC,10,20.00,農舍,鋼筋混凝土造,105年3月8日,三層,,
RPQOMLNJLHLGFAU76CC,10,20.00,農舍,鋼筋混凝土造,105年3月8日,三層,,
RPPNMLOJLHLGFAU66CC,10,20.00,農舍,鋼筋混凝土造,105年3月8日,三層,,
RPROMLNJLHLGFAU86CC,10,20.00,農舍,鋼筋混凝土造,105年3月8日,三層,,
RPRNMLNJLHLGFAU76CC,51,95.35,住家用,鋼筋混凝土造,64年5月12日,二層,,
RPSNMLOJLHLGFAU96CC,51,98.25,住家用,鋼筋混凝土加強磚造,63年10月2日,二層,,
RPSNMLPJLHLGFAU07CC,20,19.84,住商用,鋼鐵﹝鋼骨﹞造有牆,95年1月2日,三層,,
RPPOMLNJLHLGFAU66CC,10,20.00,農舍,鋼筋混凝土造,105年3月8日,三層,,
RPUNMLOJLHLGFAU17CC,31,30.11,住家用,鋼筋混凝土造,83年11月15日,十二層,,
RPRNMLPJLHLGFAU96CC,20,26.45,住商用,鋼鐵﹝鋼骨﹞造有牆,95年1月2日,三層,,
RPUNMLOJLHLGFAU17CC,31,9.34,共有部份,鋼筋混凝土造,83年11月15日,十二層,,
RPRNMLOJLHLGFAU86CC,6,48.62,集合住宅,鋼筋混凝土造,108年9月25日,十二層,,
RPUNMLOJLHLGFAU17CC,31,4.97,共有部份,鋼筋混凝土造,83年11月15日,十二層,,
RPRNMLOJLHLGFAU86CC,6,59.91,本共有部分之項目有（防空避難室兼停車空間（編號１至３５號）、機電設備、騎樓、門廳、管委會使用空間、屋頂突出物〉,鋼筋混凝土造,108年9月25日,十二層,,
RPTNMLNJLHLGFAU96CC,10,30.00,農舍,鋼筋混凝土造,105年3月8日,三層,,
RPUNMLPJLHLGFAU27CC,38,29.75,住家用,鋼筋混凝土造,76年11月17日,七層,,
RPRNMLQJLHLGFAU07CC,5,21.65,旅館,鋼筋混凝土造,110年2月24日,五層,,
RPSNMLQJLHLGFAU17CC,20,169.00,住家用,鋼筋混凝土造,95年8月11日,三層,,
RPSNMLQJLHLGFAU17CC,20,23.73,住家用,鋼筋混凝土造,95年8月11日,三層,,
RPTNMLPJLHLGFAU17CC,20,19.84,住商用,鋼鐵﹝鋼骨﹞造有牆,95年1月2日,三層,,
RPPNMLPJLHLGFAU76CC,20,19.84,住家用,鋼鐵﹝鋼骨﹞造有牆,95年1月2日,三層,,
RPTNMLQJLHLGFAU27CC,56,74.94,住家用,鋼筋混凝土加強磚造,58年9月9日,二層,,
RPQNMLQJLHLGFAU96CC,29,34.67,住家用,鋼筋混凝土、木造,85年11月1日,五層,,
RPQNMLQJLHLGFAU96CC,29,16.81,共有部份,鋼筋混凝土造,85年11月1日,五層,,
RPQNMLTJLHLGFAU27CC,31,23.21,住家用,鋼筋混凝土造,83年11月15日,十二層,,
RPQNMLTJLHLGFAU27CC,31,6.89,共有部份,鋼筋混凝土造,83年11月15日,十二層,,
RPQNMLTJLHLGFAU27CC,31,3.78,共有部份,鋼筋混凝土造,83年11月15日,十二層,,
RPSNMLTJLHLGFAU47CC,5,19.83,旅館,鋼筋混凝土造,110年2月24日,五層,,
RPQNMLMKLHLGFAU66CC,32,31.11,住商用,鋼架有牆造,82年12月10日,三層,,
RPPNMLTJLHLGFAU17CC,31,98.04,住家用,鋼筋混凝土造,84年3月13日,九層,,
RPUNMLQJLHLGFAU37CC,5,21.65,旅館,鋼筋混凝土造,110年2月24日,五層,,
RPPNMLTJLHLGFAU17CC,31,31.71,共有部份,鋼筋混凝土造,84年3月13日,九層,,
RPRNMLTJLHLGFAU37CC,37,23.80,住商用,鋼筋混凝土造,78年1月12日,四層,,
