編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLOJNHLGFCV07DA,45,103.39,住宅,加強磚造,70年3月18日,二層,一層 二層 騎樓,全筆移轉
RPPNMLSJOHLGFAV47EA,6,88.40,Ｈ２集合住宅,ＲＣ造,109年3月3日,五層,五層 見其他登記事項,全筆移轉
RPPNMLSJOHLGFAV47EA,6,.34,Ｇ３店舖、機房,ＲＣ造,109年3月3日,五層,,持分移轉
RPPNMLSJOHLGFAV47EA,6,15.22,樓梯間、昇降機間,ＲＣ造,109年3月3日,五層,,持分移轉
RPRNMLLLNHLGFAV96DA,13,207.27,住家用,ＲＣ造,102年9月5日,三層,一層 二層 三層 陽台,全筆移轉
RPTNMLSKNHLGFAV77DA,,108.34,集合住宅,鋼筋混凝土造,115年1月21日,五層,一層 二層 見其他登記事項,全筆移轉
RPTNMLSKNHLGFAV77DA,,35.95,共有部分,鋼筋混凝土造,115年1月21日,五層,,持分移轉
RPQNMLOKNHLGFDV37DA,31,6.94,樓梯．電梯．機械房．水箱．清水池．走道．陽台．屋頂突出物,鋼筋混凝土造,84年7月14日,八層,,持分移轉
RPQNMLOKNHLGFDV37DA,31,30.87,套房,鋼筋混凝土造,84年7月14日,八層,八層 見其他登記事項,全筆移轉
RPPNMLKLNHLGFCV96EA,37,94.32,農舍,加強磚造,78年1月16日,一層,一層,全筆移轉
RPPNMLRJNHLGFAV17DA,50,158.40,住家用,加強磚造,,三層,一層 二層 三層,全筆移轉
RPUNMLLKNHLGFAV17DA,30,56.46,集合住宅,鋼筋混凝土造,85年6月28日,九層,五層 陽台,全筆移轉
RPUNMLLKNHLGFAV17DA,30,11.22,電梯，樓梯共同使用,鋼筋混凝土造,85年6月28日,九層,,持分移轉
RPUNMLLKNHLGFAV17DA,30,6.84,配電室．樓梯．電梯．機械房．通道．水箱．人行共同使用,鋼筋混凝土造,85年6月28日,九層,,持分移轉
RPSNMLLKNHLGFAV96DA,44,17.91,住家用,加強磚造,71年2月4日,一層,一層,持分移轉
RPSNMLLKNHLGFAV96DA,44,1.33,樓梯,加強磚造,71年2月4日,四層,,持分移轉
RPSNMLLKNHLGFAV96DA,44,1.66,避難室,加強磚造,71年2月4日,四層,,持分移轉
RPTNMLLKNHLGFAV07DA,44,17.91,住家用,加強磚造,71年2月4日,一層,一層,持分移轉
RPTNMLLKNHLGFAV07DA,44,1.33,樓梯,加強磚造,71年2月4日,四層,,持分移轉
RPTNMLLKNHLGFAV07DA,44,1.66,避難室,加強磚造,71年2月4日,四層,,持分移轉
RPPNMLOKNHLGFAV96DA,,14.92,汽車昇降機間．避難室停車場,鋼筋混凝土造,,一層,,持分移轉
RPPNMLOKNHLGFAV96DA,45,16.28,公共通道．水塔,鋼筋混凝土造,70年10月21日,七層,,持分移轉
RPPNMLOKNHLGFAV96DA,45,91.53,住家用,鋼筋混凝土造,70年10月21日,七層,三層 陽台,全筆移轉
RPPNMLMLNHLGFBV96DA,32,134.74,住家用,加強磚造,83年10月4日,二層,一層 二層 陽台 屋頂突出物,全筆移轉
RPPNMLKLNHLGFBV76DA,39,26.84,農舍,加強磚造,75年12月12日,二層,一層 二層,持分移轉
RPPNMLLKNHLGFDV96DA,28,35.30,商業用,鋼筋混凝土造,87年3月6日,十層,九層 陽台,全筆移轉
RPPNMLLKNHLGFDV96DA,28,1.12,機房、樓梯,鋼筋混凝土造,87年3月6日,十五層,,持分移轉
RPPNMLLKNHLGFDV96DA,28,7.21,梯間、通道,鋼筋混凝土造,87年3月6日,十五層,,持分移轉
RPPNMLLKNHLGFDV96DA,28,5.57,通道、活動室、樓梯間、門廳、車道、辦公室,鋼筋混凝土造,87年3月6日,十層,,持分移轉
RPVNMLSKNHLGFBV08DA,41,94.03,農舍,加強磚造,74年6月6日,二層,一層 二層 電梯樓梯間,全筆移轉
RPPOMLNJOHLGFAV96DA,2,50.24,Ｈ２集合住宅,鋼筋混凝土造,113年6月18日,五層,二層 見其他登記事項,全筆移轉
RPPOMLNJOHLGFAV96DA,2,23.48,樓梯間、機械室、水箱、停車空間,鋼筋混凝土造,113年6月18日,五層,,持分移轉
RPTNMLSKNHLGFBV87DA,36,154.49,住家用,加強磚造,78年11月30日,二層,一層 二層 屋頂突出物 夾層,全筆移轉
RPQNMLPKNHLGFAV17DA,50,47.60,住家用,水泥磚木蓋瓦,65年3月1日,一層,一層,全筆移轉
RPQNMLQKMHLGFAV17DA,44,185.02,住家用,鋼筋混凝土造,71年6月26日,三層,一層 二層 三層 騎樓 地下層,全筆移轉
RPRNMLQKMHLGFAV27DA,45,94.06,住家用,加強磚造,70年4月11日,二層,一層 二層,全筆移轉
RPPNMLMLNHLGFAV86DA,31,137.60,人行．店舖．辦公廳,鋼筋混凝土造,84年7月21日,五層,一層 二層 三層 四層 五層 騎樓 見其他登記事項,持分移轉
RPPNMLMLNHLGFAV86DA,31,14.64,走廊,鋼筋混凝土造,84年7月21日,二層,,持分移轉
RPTNMLNLMHLGFAV27DA,49,38.86,住家用,加強磚造,66年6月1日,一層,一層,全筆移轉
RPRNMLKMMHLGFAV86DA,47,91.60,住家用,加強磚造,68年3月2日,二層,一層 二層,全筆移轉
RPPNMLKLMHLGFDV86DA,28,36.32,商業用,鋼筋混凝土造,87年3月6日,十五層,三層 陽台,全筆移轉
RPPNMLKLMHLGFDV86DA,28,1.17,機房、樓梯,鋼筋混凝土造,87年3月6日,十五層,,持分移轉
RPPNMLKLMHLGFDV86DA,28,7.50,梯間、通道,鋼筋混凝土造,87年3月6日,十五層,,持分移轉
RPPNMLKLMHLGFDV86DA,28,5.77,通道、活動室、樓梯間、門廳、車道、辦公室,鋼筋混凝土造,87年3月6日,十層,,持分移轉
RPSNMLTLMHLGFCV97DA,30,60.14,停車空間、車道、騎樓、水箱、機械室、電梯間、樓梯間,鋼筋混凝土造,84年11月14日,五層,,持分移轉
