編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLPKNHLGFCV47EA,新崁頂段,2526.02,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05660000
RPPNMLRJOHLGFAV27DA,南王段,102.89,都市：其他:住宅區,1,1,全筆移轉,03070002
RPPNMLOJNHLGFCV07DA,中福段,77.59,都市：其他:商業區,1,1,全筆移轉,03120000
RPUNMLQJNHLGFAV57DA,台東段,101.00,都市：其他:住宅區,2,1,持分移轉,00120031
RPTNMLQJNHLGFAV47DA,台東段,101.00,都市：其他:住宅區,2,1,持分移轉,00120031
RPPNMLSJOHLGFAV47EA,豐田段,62.82,都市：其他:住宅區,224704,884,持分移轉,30020046
RPQNMLMLNHLGFCV17DA,豐泉段,7.72,都市：住,1,1,全筆移轉,08810001
RPPNMLLLNHLGFBV86DA,三民段,144.34,都市：其他:住宅區,1,1,全筆移轉,03330003
RPPNMLLLNHLGFBV86DA,三民段,3.30,都市：其他:住宅區,1,1,全筆移轉,03550000
RPRNMLLLNHLGFAV96DA,東海段,123.41,都市：其他:住宅區,1,1,全筆移轉,06350012
RPTNMLSKNHLGFAV77DA,清榮段,60.33,都市：其他:住宅區,100000,33069,持分移轉,01280000
RPQNMLOKNHLGFDV37DA,秀山段,10.39,都市：其他:出租旅館區,10000,9,持分移轉,07230000
RPQNMLOKNHLGFDV37DA,秀山段,.00,都市：其他:出租旅館區,10000,9,持分移轉,07230001
RPRNMLNKNHLGFAV07DA,南清段,.75,都市：其他:住宅區,1,1,全筆移轉,02210005
RPQNMLNKNHLGFAV96DA,班鳩段,3161.71,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03890000
RPQNMLSKNHLGFBV67EA,藍寶段,600.88,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,00480001
RPQNMLSKNHLGFBV67EA,藍寶段,28.99,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,00480002
RPPNMLKLNHLGFCV96EA,水井段,824.99,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09300000
RPPNMLRJNHLGFAV17DA,永豐段,85.24,都市：其他:商業區,1,1,全筆移轉,05050000
RPUNMLLKNHLGFAV17DA,豐年段,11.50,都市：其他:住宅區,10000,23,持分移轉,00270000
RPPNMLRJNHLGFAV17DA,永豐段,60.93,都市：其他:商業區,1,1,全筆移轉,05070000
RPSNMLLKNHLGFAV96DA,台東段,10.39,都市：其他:住宅區,80,1,持分移轉,03410001
RPSNMLLKNHLGFAV96DA,台東段,1.54,都市：其他:道路用地,80,1,持分移轉,03410018
RPTNMLLKNHLGFAV07DA,台東段,10.39,都市：其他:住宅區,80,1,持分移轉,03410001
RPTNMLLKNHLGFAV07DA,台東段,1.54,都市：其他:道路用地,80,1,持分移轉,03410018
RPPNMLOKNHLGFAV96DA,台東段,21.55,都市：其他:住宅區,100000,1058,持分移轉,05610004
RPPNMLPLNHLGFCV37DA,海端段,540.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,5,3,持分移轉,11340000
RPPNMLPLNHLGFCV37DA,海端段,1620.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,5,3,持分移轉,11350000
RPPNMLPLNHLGFCV37DA,海端段,648.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,5,3,持分移轉,11360000
RPPNMLPLNHLGFCV37DA,海端段,5118.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,5,3,持分移轉,11370000
