鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
台東市,租賃房屋,臺東縣臺東市中興路二段４０８號,0.0,,,,1150223,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0850113,278.04,5,2,3,有,無,無,30000,108,,0.0,0,,RPPNMLOLKHLGFAV86CC,整棟(戶)出租,無,1150225~1170224,無,冷氣,
台東市,租賃房屋,臺東縣臺東市仁五街１號三樓,0.0,,,,1150303,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),集合住宅,鋼筋水泥造,0721004,96.24000000000001,3,2,1,有,無,有,12000,125,,0.0,0,,RPQNMLNJLHLGFAV76CC,整棟(戶)出租,無,1150306~1160305,無,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
台東市,租賃房屋,臺東縣臺東市康樂路１３１巷２６號２樓,0.0,,,,1150224,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0840601,79.7,2,1,1,有,無,無,6000,75,,0.0,0,,RPPNMLPJLHLGFAV86CC,整棟(戶)出租,無,1150225~1160224,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
台東市,租賃房屋,臺東縣臺東市長沙街１７０巷７弄６號二樓,0.0,,,,1150303,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0821203,110.77000000000001,3,2,2,有,有,有,17000,153,,0.0,0,,RPQNMLPJLHLGFAV96CC,整棟(戶)出租,無,1150303~1160302,無,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
台東市,租賃房屋,臺東縣臺東市博物館路９號二樓之三,0.0,,,,1150227,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),Ｈ２集合住宅,ＲＣ造,1090303,103.96000000000001,3,2,2,有,無,無,13000,125,,0.0,0,,RPPNMLQJLHLGFAV96CC,整棟(戶)出租,無,1150301~1170228,無,冷氣、熱水器、瓦斯或天然氣,
台東市,租賃房屋,臺東縣臺東市勝利街３７１號三樓,0.0,,,,1150307,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0721012,93.71000000000001,3,2,2,有,無,有,18500,197,,0.0,0,多人共同承租3；,RPSNMLTJLHLGFAV57CC,整棟(戶)出租,無,1150401~1160331,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,一般轉租
台東市,租賃房屋,臺東縣臺東市中興路一段６１４號,0.0,,,,1150211,土地0建物0車位0,全,3,透天厝,住家用,鐵筋水泥磚,0650607,29.8,4,0,2,有,無,有,7000,235,,0.0,0,,RPTNMLTJLHLGFAV67CC,分租雅房,無,1150215~1160714,無,冷氣、冰箱,一般轉租
台東市,租賃房屋,臺東縣臺東市康樂路１３１巷５弄１０號３樓,0.0,,,,1150306,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0840601,98.19,3,2,2,有,無,有,12000,122,,0.0,0,,RPRNMLKKLHLGFAV66CC,整棟(戶)出租,無,1150310~1160309,無,冷氣、熱水器,社會住宅代管
台東市,租賃房屋,臺東縣臺東市傳廣路５２８號３樓之２,0.0,,,,1150304,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0830126,35.510000000000005,1,0,1,有,有,有,6500,183,,0.0,0,,RPSNMLKKLHLGFAV76CC,獨立套房,無,1150313~1160312,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
