鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
金沙鎮,土地,鵲山段401地號,1201.9,都市：其他:保護區,,,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,998,,0.0,0,,RPQNMLQJNHLGFAW27DA,0.0,0.0,0.0,無,
金沙鎮,土地,沙田劃段44地號,860.0,都市：其他:保護區,,,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2600000,3023,,0.0,0,,RPPNMLOKNHLGFAW07DA,0.0,0.0,0.0,無,
金城鎮,土地,古井段111地號,546.0,農,,,1150505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5100000,9341,,0.0,0,,RPQNMLPJNHLGFAW17DA,0.0,0.0,0.0,無,
烈嶼鄉,土地,西方劃測段883地號,845.0,農,,,1150512,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3500000,4142,,0.0,0,,RPSNMLOKNHLGFAW37DA,0.0,0.0,0.0,無,
金湖鎮,土地,北五劃段295地號,2313.22,農,,,1150505,土地6建物0車位0,,,其他,,,,0.0,0,0,0,無,無,15845000,6850,,0.0,0,,RPPNMLRJNHLGFAW27DA,0.0,0.0,0.0,無,
烈嶼鄉,土地,東林段64地號,389.45,都市：其他:自然村專用區,,,1150518,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,7703,,0.0,0,46地號價金為400000元整，64地號價金為2600000元整,RPSNMLSKNHLGFAW77DA,0.0,0.0,0.0,無,
金沙鎮,土地,鵲山段498地號,2424.24,都市：其他:風景區,,,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3500000,1444,,0.0,0,,RPPNMLPJNHLGFAW07DA,0.0,0.0,0.0,無,
金湖鎮,土地,湖前段380-9地號,1.69,都市：其他:自然村專用區,,,1150506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,37687,22300,,0.0,0,國有財產法第49條第3項規定以市場查估現值計價政府機關標讓售；,RPRNMLQJNHLGFAW37DA,0.0,0.0,0.0,無,
金沙鎮,土地,北九十劃段452地號,992.13,農,,,1150522,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5650000,5695,,0.0,0,,RPQNMLPLNHLGFAW37DA,0.0,0.0,0.0,無,
金城鎮,土地,金門城測段197地號,464.1,都市：其他:自然村專用區,,,1150514,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,13200000,28442,,0.0,0,,RPPNMLQLNHLGFAW37DA,0.0,0.0,0.0,無,
金沙鎮,土地,北九十劃段268地號,976.97,農,,,1150506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,2047,,0.0,0,,RPTNMLQLNHLGFAW77DA,0.0,0.0,0.0,無,
