編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLLLNHLGFAW07DA,庵邊測段,520.96,都市：其他:自然村專用區,4,2,持分移轉,06710000
RPQNMLMLNHLGFAW07DA,東園劃段,424.99,都市：其他:農業區,1,1,全筆移轉,01720000
RPQNMLMLNHLGFAW07DA,大山頂測段,232.40,都市：其他:公園用地,1,1,全筆移轉,11910000
RPPNMLTKNHLGFAW57DA,陽宅段,45.00,都市：其他:農業區,3,1,持分移轉,01280000
RPPNMLTKNHLGFAW57DA,陽宅段,.08,都市：其他:道路用地,3,1,持分移轉,01280001
RPTNMLQLNHLGFAW77DA,北九十劃段,976.97,都市：其他:農業區,1,1,全筆移轉,02680000
RPTNMLRLNHLGFAW87DA,燕南山段,439.19,都市：其他:農業區,1,1,全筆移轉,13770000
RPPNMLSLNHLGFAW57DA,寧湖二劃測段,164.56,都市：其他:保護區,1,1,全筆移轉,13210000
RPQNMLQJNHLGFAW27DA,鵲山段,1201.90,都市：其他:保護區,1,1,全筆移轉,04010000
RPPNMLTLNHLGFAW67DA,市港段,12.59,都市：其他:第五種住宅區,10000,105,持分移轉,00970000
RPQNMLPJNHLGFAW17DA,古井段,546.00,都市：其他:農業區,1,1,全筆移轉,01110000
RPSNMLSKNHLGFAW77DA,東林段,81.00,都市：其他:自然村專用區,1,1,全筆移轉,00460000
RPUNMLTLNHLGFAW18DA,古崗村測段,40.26,都市：其他:自然村專用區,1,1,全筆移轉,05230000
RPSNMLSKNHLGFAW77DA,東林段,308.45,都市：其他:自然村專用區,1,1,全筆移轉,00640000
RPQNMLSKNHLGFAW57DA,洋山段,114.00,都市：其他:自然村專用區,1,1,全筆移轉,07590000
RPPNMLQLNHLGFAW47EA,斗門劃測段,55.02,都市：其他:自然村專用區,1,1,全筆移轉,07310000
RPPNMLPJNHLGFAW07DA,鵲山段,2424.24,都市：其他:風景區,1,1,全筆移轉,04980000
RPPNMLOKNHLGFAW07DA,沙田劃段,860.00,都市：其他:保護區,1,1,全筆移轉,00440000
RPTNMLKLNHLGFAW17DA,長寮段,287.53,都市：其他:農業區,1,1,全筆移轉,14530000
RPTNMLKLNHLGFAW17DA,長寮段,253.55,都市：其他:道路用地,1,1,全筆移轉,14530001
RPQNMLPLNHLGFAW37DA,北九十劃段,992.13,都市：其他:農業區,1,1,全筆移轉,04520000
RPPNMLRJNHLGFAW27DA,北五劃段,840.34,都市：其他:農業區,1,1,全筆移轉,02950000
RPPNMLRJNHLGFAW27DA,北五劃段,84.93,都市：其他:道路用地,1,1,全筆移轉,02950001
RPPNMLRJNHLGFAW27DA,北五劃段,839.08,都市：其他:農業區,1,1,全筆移轉,02960000
RPPNMLRJNHLGFAW27DA,北五劃段,86.23,都市：其他:道路用地,1,1,全筆移轉,02960001
RPPNMLRJNHLGFAW27DA,北五劃段,418.88,都市：其他:農業區,2,1,持分移轉,02970000
RPPNMLRJNHLGFAW27DA,北五劃段,43.76,都市：其他:道路用地,2,1,持分移轉,02970001
RPPNMLQLNHLGFAW37DA,金門城測段,368.05,都市：其他:自然村專用區,1,1,全筆移轉,01970000
RPPNMLQLNHLGFAW37DA,金門城測段,96.05,都市：其他:自然村專用區,1,1,全筆移轉,01970001
RPPNMLMJOHLGFAW96EA,沙宅劃段,500.00,都市：其他:農業區,1,1,全筆移轉,00690001
RPPNMLMJOHLGFAW96EA,后宅測段,568.32,都市：其他:農業區,1,1,全筆移轉,02120001
RPPNMLMJOHLGFAW96EA,洋山測段,721.79,都市：其他:農業區,1,1,全筆移轉,03940002
RPRNMLQJNHLGFAW37DA,湖前段,1.69,都市：其他:自然村專用區,1,1,全筆移轉,03800009
