鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
馬公市,土地,井垵西段584地號,8.84,,鄉村區,乙種建築用地,1150506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,30000,3394,,0.0,0,,RPRNMLQJNHLGFAX57EA,0.0,0.0,0.0,無,
馬公市,土地,烏崁新段187-1地號,7.78,,一般農業區,農牧用地,1150511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,28244,3630,,0.0,0,協議價購；,RPUNMLKLNHLGFAX37DA,0.0,0.0,0.0,無,001
馬公市,土地,烏崁新段192-1地號,154.16,,一般農業區,農牧用地,1150511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,559601,3630,,0.0,0,協議價購；,RPTNMLKLNHLGFAX27DA,0.0,0.0,0.0,無,
馬公市,土地,烏崁新段187-1地號,7.78,,一般農業區,農牧用地,1150511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,28244,3630,,0.0,0,協議價購；,RPVNMLKLNHLGFAX47DA,0.0,0.0,0.0,無,001
馬公市,土地,烏崁新段187-1地號,5.19,,一般農業區,農牧用地,1150511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,18830,3628,,0.0,0,協議價購；,RPOOMLKLNHLGFAX86DA,0.0,0.0,0.0,無,001
馬公市,房地(土地+建物),澎湖縣馬公市石泉１之１８５號,61.1,,鄉村區,乙種建築用地,1150506,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0730621,132.01,3,3,3,有,無,4330000,32801,,0.0,0,其他增建；,RPTOMLKLNHLGFAX37DA,132.01,0.0,0.0,無,
馬公市,土地,烏崁新段187-1地號,5.19,,一般農業區,農牧用地,1150511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,18830,3628,,0.0,0,協議價購；,RPWNMLKLNHLGFAX57DA,0.0,0.0,0.0,無,001
馬公市,土地,烏崁新段187-1地號,5.19,,一般農業區,農牧用地,1150511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,18830,3628,,0.0,0,協議價購；,RPXNMLKLNHLGFAX67DA,0.0,0.0,0.0,無,001
湖西鄉,土地,潭邊新段127地號,1198.91,,一般農業區,農牧用地,1150508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8800000,7340,,0.0,0,,RPPNMLPLNHLGFAX37DA,0.0,0.0,0.0,無,
馬公市,土地,鐵線段462地號,1860.78,,一般農業區,農牧用地,1150511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11300000,6073,,0.0,0,,RPTNMLTKNHLGFAX08DA,0.0,0.0,0.0,無,006
馬公市,土地,海堤段1020地號,13.93,工,,,1150525,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,21536,,0.0,0,,RPPNMLRLNHLGFAX57DA,0.0,0.0,0.0,無,
馬公市,土地,北澳段709-13地號,90.17,農,,,1150511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1104583,12250,,0.0,0,政府機關標讓售；,RPRNMLSLNHLGFAX97EA,0.0,0.0,0.0,無,
湖西鄉,土地,北寮新段745地號,923.26,,一般農業區,農牧用地,1150525,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,325,,0.0,0,,RPRNMLMJOHLGFAX17DA,0.0,0.0,0.0,無,
白沙鄉,土地,城前新段256地號,47.68,,一般農業區,農牧用地,1150515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,65000,1363,,0.0,0,地清或未辦繼承標售；,RPPNMLLMNHLGFAX07DA,0.0,0.0,0.0,無,
馬公市,土地,中山段273-1地號,10.02,,,,1150507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,578655,57750,,0.0,0,政府機關標讓售；,RPPNMLLJOHLGFAX86DA,0.0,0.0,0.0,無,
馬公市,土地,中山段273-2地號,45.65,,,,1150507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2636288,57750,,0.0,0,政府機關標讓售；,SPPNMLLJOHLGFAX96DA,0.0,0.0,0.0,無,
馬公市,土地,安宅段703地號,121.0,,一般農業區,甲種建築用地,1150526,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,762300,6300,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTLNHLGFAX87EA,0.0,0.0,0.0,無,
