編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTOMLKLNHLGFAX37DA,42,132.01,住家用,鋼筋混凝土造,73年6月21日,三層,一層 二層 三層,全筆移轉
RPPNMLPJOHLGFAX37EA,48,81.80,住家用,鋼筋混凝土加強磚造,67年5月10日,二層,一層 二層 電梯樓梯間,全筆移轉
RPOOMLOKMHLGFAX07DA,31,86.50,住家用,鋼筋混凝土造,84年5月30日,四層,三層 見其他登記事項,全筆移轉
RPOOMLOKMHLGFAX07DA,31,14.53,電樓梯間、停車場,鋼筋混凝土造,84年5月30日,四層,,持分移轉
RPQNMLRJNHLGFAX47DA,,19.01,住家用,造,,一層,一層,持分移轉
RPQNMLSLMHLGFAX67DA,,48.92,集合住宅,鋼筋混凝土造,114年10月20日,六層,二層 見其他登記事項,全筆移轉
RPQNMLSLMHLGFAX67DA,,20.79,共用部份,鋼筋混凝土造,114年10月20日,六層,,持分移轉
RPQNMLLKNHLGFAX96DA,7,51.99,集合住宅,鋼筋混凝土造,108年4月18日,六層,三層 見其他登記事項,全筆移轉
RPQNMLLKNHLGFAX96DA,7,49.59,共用部份,鋼筋混凝土造,108年4月18日,六層,,持分移轉
RPPNMLRJNHLGFAX37DA,43,98.04,住家用,鋼筋混凝土加強磚造,72年9月20日,二層,一層 二層 電梯樓梯間,全筆移轉
RPQNMLNKMHLGFAX07DA,20,53.84,集合住宅,鋼筋混凝土造,95年7月10日,十四層,十層 陽台,持分移轉
RPQNMLNKMHLGFAX07DA,20,34.07,共用部份,鋼筋混凝土造,95年7月10日,十四層,,持分移轉
RPQNMLQJNHLGFAX37DA,44,201.07,住家用,鋼筋混凝土造,70年11月17日,四層,一層 二層 三層 四層 地下層,全筆移轉
RPPNMLKLNHLGFAX96EA,42,110.25,住家用,鋼筋混凝土加強磚造,73年9月25日,三層,一層 二層 三層,全筆移轉
RPQNMLMLNHLGFAX17DA,25,214.21,住家用,加強磚造,90年7月19日,二層,一層 二層 電梯樓梯間 見其他登記事項,全筆移轉
RPPNMLLLMHLGFAX86DA,29,87.15,住家用,鋼筋混凝土造,86年6月28日,八層,三層 陽台,全筆移轉
RPPNMLLLMHLGFAX86DA,29,26.16,住家用,鋼筋混凝土造,86年6月28日,八層,,持分移轉
RPTNMLOLMHLGFAX57DA,48,120.06,住家用,加強磚造,66年11月1日,二層,一層 二層,全筆移轉
RPPNMLSLNHLGFAX77EA,11,233.80,住家用,鋼筋混凝土造,104年2月25日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPSNMLPJNHLGFAX47DA,42,108.75,住商用,鋼筋混凝土加強磚造,73年5月14日,二層,一層 二層 電梯樓梯間 夾層,全筆移轉
RPRNMLNKNHLGFAX27DA,1,234.10,住家用,鋼筋混凝土造,114年3月20日,三層,一層 二層 三層 見其他登記事項 見其他登記事項,全筆移轉
RPPNMLTKNHLGFAX67DA,29,187.00,住家用,鋼筋混凝土造,86年3月13日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPQNMLPKNHLGFAX37DA,25,13.54,電樓梯、室外梯,鋼筋混凝土造,90年1月29日,五層,,持分移轉
RPQNMLPKNHLGFAX37DA,25,110.32,住家用,鋼筋混凝土造,90年1月29日,五層,四層 見其他登記事項,全筆移轉
RPPNMLOKNHLGFAX17DA,47,83.28,住家用,鋼筋混凝土加強磚造,68年9月22日,二層,一層 二層 電梯樓梯間,全筆移轉
RPPNMLPKNHLGFAX27DA,27,206.81,住家用,鋼筋混凝土造,88年6月28日,四層,一層 二層 三層 四層 見其他登記事項,全筆移轉
RPQNMLSKNHLGFAX67DA,5,107.59,住家用,加強磚造,110年7月28日,二層,一層 二層 見其他登記事項,全筆移轉
RPPNMLKKMHLGFAX66DA,53,91.39,住商用,鋼筋混凝土加強磚造,61年10月30日,四層,一層 二層 三層 四層,全筆移轉
