編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLRKNHLGFAX57CC,15,30.50,住家用,鋼筋混凝土造,99年11月5日,三層,,
RPQNMLRKNHLGFAX67CC,16,30.50,住家用,鋼筋混凝土造,99年11月5日,三層,,
RPRNMLRKNHLGFAX77CC,18,20.18,住商用,鋼筋混凝土造,97年2月5日,四層,,
RPSNMLRKNHLGFAX87CC,18,29.00,住商用,鋼筋混凝土造,97年2月5日,四層,,
RPPNMLSJNHLGFAX57CC,5,15.00,住家用,鋼筋混凝土造,110年3月2日,五層,,
RPPNMLMKKHLGFAX86DC,49,45.08,住家用,空心磚造,65年11月19日,一層,,
RPQNMLQLLHLGFAX47CC,15,15.00,住家用,鋼筋混凝土造,100年6月1日,三層,,
RPPNMLQLLHLGFAX37CC,5,15.00,住家用,鋼筋混凝土造,110年3月2日,五層,,
RPPNMLPLKHLGFAX17CC,10,18.00,住家用,鋼筋混凝土造,104年11月5日,四層,,
RPPNMLKLMHLGFAX86CC,5,18.00,住家用,鋼筋混凝土造,110年3月2日,五層,,
RPPNMLLLMHLGFAX96CC,18,21.13,住商用,鋼筋混凝土造,97年2月5日,四層,,
RPQNMLNKMHLGFAX17CC,5,18.00,住家用,鋼筋混凝土造,110年3月2日,五層,,
RPPNMLLJMHLGFAX76CC,5,15.00,住家用,鋼筋混凝土造,110年3月2日,五層,,
RPPNMLNKMHLGFAX07CC,5,18.00,住家用,鋼筋混凝土造,110年3月2日,五層,,
RPRNMLNKMHLGFAX27CC,10,23.00,住家用,鋼筋混凝土造,104年11月5日,四層,,
RPPNMLQKMHLGFAX37CC,25,185.72,住宅、停車場,鋼筋混凝土造,90年7月24日,五層,,
RPPNMLQKMHLGFAX47DC,32,178.53,住家用,鋼筋混凝土加強磚造,82年11月18日,二層,,
