鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
北竿鄉,土地,白沙段124地號,100.76,住,,,1150514,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,9925,,0.0,0,,RPQNMLTKNHLGFAZ97DA,0.0,0.0,0.0,無,01
南竿鄉,土地,清水段1346地號,74.62,都市：其他:保護區,,,1150506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,2680,,0.0,0,,RPPNMLMLNHLGFAZ27DA,0.0,0.0,0.0,無,02
南竿鄉,土地,福沃段253-1地號,54.9,都市：其他:保護區,,,1150402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,28548,520,,0.0,0,,RPPNMLTJMHLGFAZ67DA,0.0,0.0,0.0,無,03
北竿鄉,土地,橋仔段171地號,133.0,住,,,1150410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,9023,,0.0,0,,RPPNMLKKMHLGFAZ86DA,0.0,0.0,0.0,無,04
莒光鄉,土地,福正段951地號,1598.8,都市：其他:保護區,,,1150409,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,519200,325,,0.0,0,,RPPNMLTKNHLGFAZ87DA,0.0,0.0,0.0,無,
北竿鄉,土地,橋仔段234地號,109.88,住,,,1150316,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,550000,5005,,0.0,0,,RPPNMLQKLHLGFAZ37DA,0.0,0.0,0.0,無,05
南竿鄉,土地,四維段878-3地號,125.4,都市：其他:保護區,,,1150318,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,100000,797,,0.0,0,,RPPNMLLJMHLGFAZ86DA,0.0,0.0,0.0,無,06
南竿鄉,土地,四維段878-3地號,125.4,都市：其他:保護區,,,1150318,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,100000,797,,0.0,0,,RPQNMLLJMHLGFAZ96DA,0.0,0.0,0.0,無,06
南竿鄉,土地,仁愛段512-1地號,10.0,,,,1150312,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,146000,14600,,0.0,0,政府機關標讓售；,RPPNMLSKLHLGFAZ57DA,0.0,0.0,0.0,無,
莒光鄉,土地,田沃段527地號,14.73,都市：其他:保護區,,,1150312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6500,441,,0.0,0,地清或未辦繼承標售；,RPQNMLKMMHLGFAZ17DA,0.0,0.0,0.0,無,
北竿鄉,土地,塘岐段901地號,10.39,住,,,1150313,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,53598,5159,,0.0,0,政府機關標讓售；,RPPNMLTLMHLGFAZ87DA,0.0,0.0,0.0,無,
莒光鄉,土地,田沃段343地號,53.34,住,,,1150319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,156666,2937,,0.0,0,,RPPNMLPJNHLGFAZ37DA,0.0,0.0,0.0,無,
莒光鄉,土地,田沃段533地號,26.8,都市：其他:保護區,,,1150313,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8935,333,,0.0,0,地清或未辦繼承標售；,RPPNMLKMMHLGFAZ07DA,0.0,0.0,0.0,無,
北竿鄉,土地,橋仔段3地號,338.95,都市：其他:保護區,,,1150312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,205800,607,,0.0,0,地清或未辦繼承標售；,RPPNMLOJNHLGFAZ27DA,0.0,0.0,0.0,無,
南竿鄉,土地,介壽段1578-1地號,93.53,,,,1150223,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,337000,3603,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNLKHLGFAZ07DA,0.0,0.0,0.0,無,
北竿鄉,土地,塘岐段339-3地號,37.17,,,,1150210,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,561267,15100,,0.0,0,政府機關標讓售；,RPPNMLNJLHLGFAZ96DA,0.0,0.0,0.0,無,
北竿鄉,土地,橋仔段14地號,89.83,住,,,1150201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3100000,34510,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPKMHLGFAZ37DA,0.0,0.0,0.0,無,
