鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
文山區,土地,博嘉段四小段202地號,1.51,都市：其他:道路用地(公共設施用地)。64/12/24,,,1150605,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,282878,187336,,0.0,0,協議價購；,RPSNMLTJOHLGFAA38EA,0.0,0.0,0.0,無,001
文山區,土地,博嘉段四小段202地號,1.73,都市：其他:道路用地(公共設施用地)。64/12/24,,,1150605,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,323719,187121,,0.0,0,協議價購；,RPTNMLTJOHLGFAA48EA,0.0,0.0,0.0,無,001
士林區,車位,臺北市士林區中山北路六段７５４巷１２號地下二層,2.08,住,,,1150601,土地1建物1車位1,地下二層,十二層,其他,停車空間,鋼筋混凝土造,0891108,36.97,0,0,0,無,有,3000000,,坡道平面,36.97,3000000,僅車位交易；,RPRNMLNJOHLGFEA97DA,0.0,0.0,0.0,有,003
中山區,車位,臺北市中山區中山北路二段１１８號等共有部分,0.07,商,,,1150601,土地2建物1車位1,,,其他,,,,17.62,0,0,0,無,有,1600000,,升降機械,17.62,1600000,僅車位交易；,RPQNMLKKOHLGFCA57EA,0.0,0.0,0.0,有,004
萬華區,房地(土地+建物),臺北市萬華區峨眉街２８號二樓之３２,2.84,商,,,1150601,土地1建物2車位0,二層,六層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0650726,14.350000000000001,0,0,0,無,有,1500000,104530,,0.0,0,,RPOOMLTJOHLGFBA08DA,8.13,0.0,0.0,有,
內湖區,土地,康寧段三小段349地號,22.41,,,,1150601,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,100000,4462,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPSNMLKKOHLGFCA67DA,0.0,0.0,0.0,無,005
信義區,土地,和段二小段423地號,34.0,都市：其他:道路用地(公共設施用地)。51/9/1,,,1150608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2050000,60294,,0.0,0,包含公共設施保留地用地；,RPPNMLLKOHLGFDA67EA,0.0,0.0,0.0,無,006
北投區,土地,新民段二小段192-6地號,5.08,,,,1150603,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,141171,27790,,0.0,0,未登記建物；包含公共設施保留地用地；,RPQNMLMKOHLGFEA97EA,0.0,0.0,0.0,無,
內湖區,土地,碧湖段二小段498-2地號,1213.91,,,,1150609,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,17131254,14112,,0.0,0,115年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；協議價購；,RPUOMLSKNHLGFCA68DA,0.0,0.0,0.0,無,007
內湖區,車位,臺北市內湖區成功路四段５０號地下二層,3.19,商,,,1150606,土地1建物1車位1,地下二層,十六層,其他,見使用執照,鋼筋混凝土造,0781107,29.76,0,0,0,無,有,2800000,,坡道平面,29.76,2800000,僅車位交易；,RPRNMLTJOHLGFCA38DA,0.0,0.0,0.0,有,008
中山區,房地(土地+建物),臺北市中山區新生北路三段４３號五樓之２６,6.57,住,,,1150603,土地2建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0670301,51.730000000000004,1,1,1,有,有,9000000,173980,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLPKOHLGFCA58DA,35.62,0.0,3.09,有,009
士林區,土地,溪洲段三小段104地號,365.61,商,,,1150603,土地14建物0車位0,,,其他,,,,0.0,0,0,0,無,無,30968000,84702,,0.0,0,,RPQNMLMKOHLGFEA87DA,0.0,0.0,0.0,無,010
士林區,土地,三玉段五小段462地號,0.02,都市：其他:道路用地(公共設施用地)。66/1/12,,,1150605,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1518,0,,0.0,0,包含公共設施保留地用地；,RPTNMLMKOHLGFEA28EA,0.0,0.0,0.0,無,
萬華區,房地(土地+建物)+車位,臺北市萬華區西昌街４９號六樓之１,12.59,都市：其他:第四種住宅區。,,,1150601,土地6建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850312,64.48,2,1,1,有,無,10000000,155087,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLPKOHLGFBA18DA,32.94,11.5,7.15,有,
中山區,車位,臺北市中山區南京東路三段８９巷２０號二樓等共有部分,0.0,,,,1150607,土地0建物1車位1,,,其他,,,,32.75,0,0,0,無,有,3700000,,坡道平面,32.75,3700000,建物坐落地號：長春段二小段775地號；僅車位交易；,RPPNMLSJOHLGFCA08DA,0.0,0.0,0.0,有,011
南港區,土地,南港段二小段650地號,0.25,,,,1150601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,416071,0,,0.0,0,包含公共設施保留地用地；協議價購；,RPTRMLSJOHLGFDA98DA,0.0,0.0,0.0,無,012
北投區,車位,臺北市北投區致遠二路１０３號地下一層,0.64,住,,,1150602,土地1建物1車位1,地下一層,十一層,其他,停車空間　管理員室,鋼筋混凝土造,0900220,37.86,0,0,0,無,有,2500000,,坡道平面,37.86,2500000,僅車位交易；,RPQNMLNKOHLGFEA97DA,0.0,0.0,0.0,有,013
中正區,土地,福和段二小段222地號,111.78,都市：其他:保存區。,,,1150601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,45685343,408708,,0.0,0,協議價購；,RPRNMLQKOHLGFAA08EA,0.0,0.0,0.0,無,
中山區,房地(土地+建物),臺北市中山區雙城街１３巷１６號,23.0,商,,,1150610,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0550118,68.17,2,1,1,有,無,18000000,264046,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLPKOHLGFCA18EA,68.17,0.0,0.0,無,
松山區,車位,臺北市松山區民權東路三段１７８號地下六層,0.19,住,,,1150608,土地2建物1車位1,地下六層,十五層,其他,停車空間,見使用執照,0911001,49.04,0,0,0,無,有,3500000,,坡道平面,49.04,3500000,僅車位交易；,RPQNMLMKOHLGFDA87EA,0.0,0.0,0.0,有,014
文山區,車位,臺北市文山區和平東路四段６６巷１號門牌房屋地下二層,3.81,住,,,1150604,土地2建物1車位1,地下二層,十六層,其他,見使用執照,鋼筋混凝土造,0860529,46.64,0,0,0,無,有,1500000,,坡道平面,0.0,1500000,僅車位交易；,RPTNMLMKOHLGFAA77DA,0.0,0.0,0.0,有,015
萬華區,土地,福星段二小段94地號,13.05,都市：其他:道路用地(公共設施用地)。47/2/7,,,1150604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1372598,105180,,0.0,0,115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPOOMLKKOHLGFBA27DA,0.0,0.0,0.0,無,016
中山區,土地,中山段四小段278地號,1.12,都市：其他:道路用地(公共設施用地)。60/9/20,,,1150609,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,151538,135302,,0.0,0,115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPWNMLLKOHLGFCA18DA,0.0,0.0,0.0,無,017
中山區,房地(土地+建物)+車位,臺北市中山區八德路二段３１７號六樓,18.31,商,,,1150601,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071129,132.95,2,2,1,有,有,44880000,449441,坡道平面,40.88,3500000,,RPSNMLQKOHLGFCA28DA,54.85,3.47,4.28,有,018
信義區,土地,福德段一小段579地號,0.22,都市：其他:道路用地(公共設施用地)。51/9/1,,,1150604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,24467,0,,0.0,0,115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPXNMLLKOHLGFDA38DA,0.0,0.0,0.0,無,
士林區,房地(土地+建物),臺北市士林區忠誠路一段５５號二樓,20.6,住,,,1150601,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0740118,111.02,3,2,2,有,有,26500000,238696,,0.0,0,,RPQNMLNJOHLGFEA87DA,77.38,0.0,10.25,有,
北投區,房地(土地+建物),臺北市北投區奇岩路３７巷５號五樓,21.12,都市：其他:第二種住宅區。,,,1150609,土地2建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0740913,72.79,1,2,2,有,有,10280000,141228,,0.0,0,陽台外推；頂樓加蓋；,RPSNMLPKOHLGFEA38DA,58.23,0.0,4.26,有,019
士林區,車位,臺北市士林區德行東路３３１巷２８號地下一層之１,7.95,住,,,1150606,土地1建物1車位1,地下一層,十四層,其他,一般事務所,鋼筋混凝土造,0920331,41.57,0,0,0,無,有,2760000,,坡道平面,41.57,2760000,僅車位交易；,RPTNMLPKOHLGFEA48DA,0.0,0.0,0.0,有,020
大安區,房地(土地+建物),臺北市大安區大安路一段６號二樓,9.68,住,,,1150601,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0680925,47.58,2,1,1,有,有,16280000,342161,,0.0,0,陽台外推；其他增建；,RPQNMLNJOHLGFFA97DA,34.75,0.0,5.17,有,021
大安區,土地,懷生段一小段71-1地號,8.5,都市：其他:道路用地(公共設施用地)。59/3/18,,,1150608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,981750,115500,,0.0,0,115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPWNMLKKOHLGFFA38DA,0.0,0.0,0.0,無,
大安區,土地,龍泉段二小段344地號,4.5,都市：其他:道路用地(公共設施用地)。44/7/5,,,1150609,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,714713,158825,,0.0,0,115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPTNMLLKOHLGFFA18DA,0.0,0.0,0.0,無,022
內湖區,土地,碧湖段三小段296-1地號,20.88,住,,,1150608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4830000,231322,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLQKOHLGFCA18EA,0.0,0.0,0.0,無,
信義區,房地(土地+建物),臺北市信義區松山路２８７巷３８號,17.64,住,,,1150601,土地2建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640425,47.97,3,2,2,有,無,6180000,128831,,0.0,0,二等親買賣，母子親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPPOMLPKNHLGFDA08EA,47.97,0.0,0.0,無,
文山區,土地,景美段四小段74-1地號,13.0,都市：其他:道路用地(公共設施用地)。,,,1150527,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,723320,55640,,0.0,0,115年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；協議價購；,RPUNMLKLNHLGFAA67DA,0.0,0.0,0.0,無,
文山區,房地(土地+建物)+車位,臺北市文山區辛亥路四段２０９巷３６號六樓,12.91,住,,,1150515,土地1建物1車位1,六層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090430,122.50999999999999,2,2,1,有,有,32000000,326476,坡道平面,33.07,2800000,,RPQNMLSJOHLGFAA97DA,51.56,3.74,6.13,有,
