編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLMKOHLGFDA87EA,24,37.41,停車空間,見使用執照,91年10月1日,十五層,地下六層,持分移轉
RPQNMLMKOHLGFDA87EA,24,.41,共有部分,見使用執照,91年10月1日,十五層,,持分移轉
RPQNMLMKOHLGFDA87EA,24,8.04,共有部分,見使用執照,91年10月1日,十五層,,持分移轉
RPQNMLMKOHLGFDA87EA,24,3.18,共有部分,見使用執照,91年10月1日,十五層,,持分移轉
RPRNMLPKOHLGFCA18EA,60,68.17,住家用,加強磚造,55年1月18日,四層,一層,全筆移轉
RPQNMLKKOHLGFCA57EA,7,17.62,本共有部分之項目有梯廳、管委會使用空間、甲梯、乙梯、丙梯、戶外安全梯、昇降機〈供行動不便者使用〉、緊急昇降機、汽車升降機、客貨梯升降機、陽台、排煙室、走道、機房、水箱、安全梯間、梯廳兼排煙室、排風管道、發電機進風管道、發電機排風管道、發電機室、垃圾暫存區、進風管道、防空避難室兼停車空間、電信室、電錶區、台電配電場所、雨水回收機房、消防機房、雨水滯留池、雨水回收池、梯間、汙水坑、消防水池等３４項。,鋼筋混凝土造,108年2月27日,十四層,,持分移轉
RPRNMLNJOHLGFEA97DA,26,36.24,停車空間,鋼筋混凝土造,89年11月8日,十二層,地下二層,持分移轉
RPRNMLNJOHLGFEA97DA,26,.73,共有部分,鋼筋混凝土造,89年11月8日,十二層,,持分移轉
RPQNMLNJOHLGFEA87DA,41,23.39,共有部分,鋼筋混凝土造,74年1月18日,七層,,持分移轉
RPQNMLNJOHLGFEA87DA,41,87.63,住家用,鋼筋混凝土造,74年1月18日,七層,二層 陽臺,全筆移轉
RPTNMLPKOHLGFEA48DA,23,.53,一般事務所,鋼筋混凝土造,92年3月31日,十四層,地下一層,持分移轉
RPTNMLPKOHLGFEA48DA,23,.04,共有部分,鋼筋混凝土造,92年3月31日,十四層,,持分移轉
RPTNMLPKOHLGFEA48DA,23,.13,共有部分,鋼筋混凝土造,92年3月31日,十四層,,持分移轉
RPTNMLPKOHLGFEA48DA,23,.02,共有部分,鋼筋混凝土造,92年3月31日,十四層,,持分移轉
RPTNMLPKOHLGFEA48DA,23,.15,共有部分,鋼筋混凝土造,92年3月31日,十四層,,持分移轉
RPTNMLPKOHLGFEA48DA,23,40.69,共有部分,鋼筋混凝土造,92年3月31日,十四層,,持分移轉
RPRNMLTJOHLGFCA38DA,37,29.76,見使用執照,鋼筋混凝土造,78年11月7日,十六層,地下二層,持分移轉
RPSNMLQKOHLGFCA28DA,8,62.60,住家用,鋼筋混凝土造,107年11月29日,十三層,六層 陽臺 雨遮,全筆移轉
RPSNMLQKOHLGFCA28DA,8,26.31,本共有部分之項目有梯廳、無障礙昇降機、緊急昇降機、騎樓、走廊、管理委員會使用空間、排煙室、雨遮、進風管道、排煙管道、消防水箱、樓梯間、（電錶間）機電設備空間、水箱、電錶間、台電配電場所、垃設儲存空間、（發電機室）機電設備空間、機電設備空間、（消防泵浦室）機電設備空間、機電設備空間（供本棟電信使用）、（雨水回收室）機電設備空間、蓄水池、發電機排氣管道等２４項。,鋼筋混凝土造,107年11月29日,十三層,,持分移轉
RPSNMLQKOHLGFCA28DA,8,44.04,本共有部分之項目有防空避難室兼停車空間、停車空間等２項。,鋼筋混凝土造,107年11月29日,十三層,,持分移轉
RPPNMLSJOHLGFCA08DA,1,32.75,本共有部分之項目有管委會使用空間、車道、梯廳、弱電、緊急昇降機、一般昇降機兼行動不便者使用、排煙室、消防＋撒水、排風、進風、發電機進氣管道、發電機排氣管道、電力、戶外安全梯（甲）、污水、地下室進風口、給水、撒水、排煙室兼梯廳、安全梯（乙）、雨遮、機房、給水管排、消防、水箱、消防水箱、機械室、停車場排風管道、防空避難室兼停車空間、消防管道、弱電管道、進風管道、排煙管道、車道、電信室、垃圾回收室、停車場進風管道、電表區、台電配電場所、停車空間、發電機房、消防水池、消防機房等四十三項。,鋼骨鋼筋混凝土造,114年8月19日,十四層,,持分移轉
RPPOMLPKNHLGFDA08EA,51,47.97,住家用,鋼筋混凝土造,64年4月25日,四層,一層 平台,持分移轉
RPSNMLPKOHLGFEA38DA,41,62.49,住家用,鋼筋混凝土造,74年9月13日,五層,五層 陽臺,全筆移轉
RPSNMLPKOHLGFEA38DA,41,10.30,共有部分,鋼筋混凝土造,74年9月13日,五層,,持分移轉
RPQNMLNKOHLGFEA97DA,25,18.13,停車空間　管理員室,鋼筋混凝土造,90年2月20日,十一層,地下一層,持分移轉
RPQNMLNKOHLGFEA97DA,25,.03,共有部分,鋼筋混凝土造,90年2月20日,十一層,,持分移轉
RPQNMLNKOHLGFEA97DA,25,19.70,共有部分,鋼筋混凝土造,90年2月20日,十一層,,持分移轉
RPOOMLTLNHLGFCA28DA,20,11.20,停車空間,鋼筋混凝土造,95年11月10日,十一層,地下二層,持分移轉
RPOOMLTLNHLGFCA28DA,20,22.91,共有部分,鋼筋混凝土造,95年11月10日,十一層,,持分移轉
