編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLMKOHLGFDA87EA,敦化段四小段,.06,都市：其他:第三種住宅區。,10000,1,持分移轉,04160007
RPQNMLMKOHLGFDA87EA,敦化段四小段,.13,都市：其他:第三之二種住宅區。,10000,1,持分移轉,04170000
RPPNMLLKOHLGFDA67EA,犂和段二小段,34.00,都市：其他:道路用地(公共設施用地)。51/9/1,10,5,持分移轉,04230000
RPTNMLMKOHLGFEA28EA,三玉段五小段,.01,都市：其他:道路用地(公共設施用地)。66/1/12,4800,1,持分移轉,04620000
RPTNMLMKOHLGFEA28EA,三玉段五小段,.01,都市：其他:道路用地(公共設施用地)。66/1/12,25920,1,持分移轉,04640000
RPQNMLMKOHLGFEA97EA,新民段二小段,5.00,,1,1,全筆移轉,01920006
RPQNMLMKOHLGFEA97EA,芝山段一小段,.08,都市：其他:第三種住宅區。,1,1,全筆移轉,02680002
RPRNMLPKOHLGFCA18EA,中山段一小段,23.00,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,4,1,持分移轉,04610000
RPTNMLTJOHLGFAA48EA,博嘉段四小段,1.56,都市：其他:道路用地(公共設施用地)。64/12/24,10000,206,持分移轉,02020000
RPUOMLSKNHLGFCA68DA,碧湖段二小段,1213.91,都市：其他:公園用地(公共設施用地)。63/1/5,10000,4538,持分移轉,04980002
RPTNMLTJOHLGFAA48EA,博嘉段四小段,.17,都市：其他:道路用地(公共設施用地)。64/12/24,10000,206,持分移轉,02030000
RPQNMLKKOHLGFCA57EA,中山段二小段,.01,都市：其他:第三種商業區。,100000,3,持分移轉,04650000
RPQNMLKKOHLGFCA57EA,中山段二小段,.06,都市：其他:第三種商業區。,100000,13,持分移轉,04670000
RPSNMLTJOHLGFAA38EA,博嘉段四小段,1.36,都市：其他:道路用地(公共設施用地)。64/12/24,10000,180,持分移轉,02020000
RPSNMLTJOHLGFAA38EA,博嘉段四小段,.15,都市：其他:道路用地(公共設施用地)。64/12/24,10000,180,持分移轉,02030000
RPRNMLQKOHLGFAA08EA,福和段二小段,111.78,都市：其他:保存區。,1,1,全筆移轉,02220000
RPRNMLNJOHLGFEA97DA,三玉段三小段,2.08,都市：其他:第三種住宅區。,10000,14,持分移轉,02030000
RPQNMLNJOHLGFEA87DA,芝山段二小段,20.60,都市：其他:第三種住宅區。,10000,32,持分移轉,02770000
RPTNMLPKOHLGFEA48DA,芝蘭段一小段,7.95,都市：其他:第三種住宅區。,20000,79,持分移轉,02440000
RPWNMLLKOHLGFCA18DA,中山段四小段,1.12,都市：其他:道路用地(公共設施用地)。60/9/20,40,9,持分移轉,02780000
RPRNMLTJOHLGFCA38DA,康寧段三小段,3.19,都市：其他:第三種商業區。,10000,6,持分移轉,07680000
