鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
大同區,房地(土地+建物)+車位,臺北市大同區寧夏路144、146、148號,5.87,商,,,1150511,土地6建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.77,2,2,1,有,無,24600000,329315,升降機械,20.75,2200000,,RPPNMLMKNHLGFBA37CB,丰實VISION ONE,A棟7F號,
大同區,房地(土地+建物),臺北市大同區寧夏路144、146、148號,3.25,商,,,1150511,土地6建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,37.51,1,1,1,有,無,12900000,343908,,0.0,0,,RPQNMLMKNHLGFBA47CB,丰實VISION ONE,C棟9F號,
中山區,房地(土地+建物),臺北市中山區新生北路二段68巷,3.33,商,,,1150512,土地40建物1車位0,七層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,58.36,1,2,1,有,無,25380000,434887,,0.0,0,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPPNMLMKNHLGFCA47CB,中山麗池,F棟F-07F號,
北投區,房地(土地+建物)+車位,臺北市北投區洲美里福善路,33.08,住,,,1150512,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.77,3,2,2,有,無,42160000,306591,坡道平面,29.0,3600000,,RPPNMLPKNHLGFEA97CB,達麗河?,A棟A6-3F號,
大同區,房地(土地+建物)+車位,臺北市大同區永樂里西寧北路,9.08,其他,,,1150511,土地20建物1車位1,十二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.4,3,1,2,有,無,40580000,349615,其他,24.05,2000000,,RPPNMLRKNHLGFBA87CB,天光之埕,E號,
大同區,房地(土地+建物),臺北市大同區寧夏路144、146、148號,3.25,商,,,1150516,土地6建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,37.51,1,1,1,有,無,13600000,362570,,0.0,0,,RPQNMLRKNHLGFBA97CB,丰實VISION ONE,B棟13F號,
文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段,27.55,住,,,1150516,土地2建物1車位1,八層,34,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,194.73,3,2,2,有,無,54260000,300459,坡道平面,24.79,3200000,,RPRNMLSKNHLGFAA08CB,元利四季莊園,C棟08F-C01號,
文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段,26.96,住,,,1150516,土地2建物1車位1,十四層,34,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,190.84,3,2,2,有,無,54220000,306655,坡道平面,24.79,3300000,,RPSNMLSKNHLGFAA18CB,元利四季莊園,C棟14F-C01號,
文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段,23.13,住,,,1150515,土地2建物1車位1,十六層,33,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,167.29,3,2,2,有,無,48150000,313333,坡道平面,24.79,3500000,,RPTNMLSKNHLGFAA28CB,元利四季莊園,C棟16F-C05號,
文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段,13.18,住,,,1150513,土地2建物1車位1,二十三層,34,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,104.19,2,2,2,有,無,30910000,343043,坡道平面,22.83,3000000,原113/10/4D06-23F於115/5/13加購車位,RPUNMLSKNHLGFAA38CB,元利四季莊園,D棟23F-D06號,
文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段,27.43,住,,,1150517,土地2建物1車位2,二十四層,34,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,218.69,3,2,2,有,無,62790000,336408,坡道平面,49.58,5900000,原114/4/14D08-24F於115/5/17加購車位,RPVNMLSKNHLGFAA48CB,元利四季莊園,D棟24F-D08號,
文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段,29.98,住,,,1150512,土地2建物1車位1,三層,34,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,209.57,3,2,3,有,無,60820000,310748,坡道平面,24.79,3400000,,RPWNMLSKNHLGFAA58CB,元利四季莊園,E棟03F-E03號,
文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段,23.13,住,,,1150516,土地2建物1車位1,四層,34,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,167.38,3,2,2,有,無,47510000,310751,坡道平面,24.79,3200000,,RPXNMLSKNHLGFAA68CB,元利四季莊園,E棟04F-E05號,
