編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLPKNHLGFEA97CB,坡道平面,3600000,29.00,地下一樓
RPROMLSKNHLGFAA18CB,坡道平面,3600000,24.79,地下二樓
RPUNMLSKNHLGFBA48CB,坡道平面,3400000,47.99,地下四樓
RPTNMLSKNHLGFAA28CB,坡道平面,3500000,24.79,地下三樓
RPXNMLSKNHLGFAA68CB,坡道平面,3200000,24.79,地下四樓
RPRNMLSKNHLGFBA18CB,坡道平面,4250000,50.78,地下三樓
RPRNMLSKNHLGFAA08CB,坡道平面,3200000,24.79,地下四樓
RPPNMLRKNHLGFBA87CB,其他,2000000,24.05,地下五樓含以下
RPQOMLSKNHLGFAA08CB,坡道平面,3500000,22.83,地下二樓
RPSNMLSKNHLGFAA18CB,坡道平面,3300000,24.79,地下三樓
RPSOMLSKNHLGFAA28CB,坡道平面,3000000,22.83,地下四樓
RPUNMLSKNHLGFAA38CB,坡道平面,3000000,22.83,地下四樓
RPWNMLSKNHLGFAA58CB,坡道平面,3400000,24.79,地下三樓
RPVNMLSKNHLGFAA48CB,坡道平面,2800000,24.79,地下四樓
RPVNMLSKNHLGFAA48CB,坡道平面,3100000,24.79,地下四樓
RPPNMLSKNHLGFFA38CB,坡道平面,4600000,34.94,地下一樓
RPPNMLMKNHLGFBA37CB,升降機械,2200000,20.75,無固定樓層
RPVNMLSKNHLGFFA98CB,坡道平面,4100000,34.94,地下三樓
RPVNMLSKNHLGFFA98CB,坡道平面,4400000,38.08,地下三樓
RPVNMLSKNHLGFFA98CB,坡道平面,4000000,34.94,地下三樓
RPXNMLSKNHLGFFA56CB,坡道平面,4300000,38.08,地下三樓
RPXNMLSKNHLGFFA56CB,坡道平面,4000000,34.94,地下三樓
RPXNMLSKNHLGFFA56CB,坡道平面,4400000,38.08,地下三樓
RPRNMLTKNHLGFFA68CB,坡道平面,4500000,45.73,地下三樓
RPRNMLTKNHLGFFA68CB,坡道平面,4500000,45.73,地下三樓
RPPNMLTKNHLGFFA48CB,坡道平面,3500000,35.79,地下四樓
RPPNMLTKNHLGFBA08CB,其他,2000000,24.05,地下五樓含以下
RPQNMLTKNHLGFFA58CB,坡道平面,4000000,35.79,地下五樓含以下
RPQNMLTKNHLGFFA58CB,坡道平面,3000000,35.79,地下五樓含以下
RPUNMLTKNHLGFEA88CB,坡道平面,2800000,38.30,地下四樓
RPSNMLTKNHLGFEA68CB,坡道平面,2950000,38.30,地下四樓
RPPNMLKLNHLGFEA57CB,坡道平面,3050000,39.03,地下三樓
RPPNMLKLNHLGFEA57CB,坡道平面,2750000,39.03,地下四樓
RPQNMLTKNHLGFBA18CB,其他,2000000,24.05,地下五樓含以下
RPROMLLLNHLGFEA97CB,坡道平面,2950000,35.69,地下五樓含以下
RPQOMLLLNHLGFEA87CB,坡道平面,3050000,35.69,地下五樓含以下
RPRNMLPLNHLGFBA97CB,升降機械,1900000,8.61,地下四樓
RPQNMLOLNHLGFBA77CB,坡道平面,3400000,48.09,地下二樓
RPQNMLPLNHLGFBA87CB,升降機械,2100000,8.61,地下四樓
RPQNMLPLNHLGFEA18CB,其他,2000000,24.39,地下五樓含以下
RPTNMLPLNHLGFBA18CB,坡道平面,3750000,23.13,地下二樓
