鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
松山區,租賃房屋,臺北市松山區寶清街１０１巷４１號,0.0,,,,1150513,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640527,114.0,3,2,2,有,無,無,42000,368,,0.0,0,多人共同承租3；,RPRNMLSJNHLGFDA38CC,整棟(戶)出租,無,1150410~1170409,無,冷氣、熱水器、冰箱、瓦斯或天然氣,
信義區,租賃房屋,臺北市信義區松仁路２５３巷１弄４號四樓,0.0,,,,1150511,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0571224,101.35,3,1,1,有,無,無,20000,197,,0.0,0,續租案件；,RPOOMLLKNHLGFDA57CC,整棟(戶)出租,無,1150628~1160627,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
信義區,租賃房屋,臺北市信義區虎林街１３２巷２７號２樓,0.0,,,,1150511,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0590922,87.15,3,2,1,有,無,無,36000,413,,0.0,0,,RPVPMLLKNHLGFDA38CC,分層出租,無,1150601~1170531,無,冷氣、熱水器、瓦斯或天然氣,
大同區,租賃房屋,臺北市大同區延平北路三段１７巷５號二樓,0.0,,,,1150512,土地0建物0車位0,三層,3,公寓(5樓含以下無電梯),,加強磚造,,18.5,8,0,8,有,無,無,18300,989,,0.0,0,3B多人共同承租2；租金總額含水費；網路費；,RPTOMLMKNHLGFBA97CC,分租套房,無,1150525~1160524,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視,一般轉租
大同區,租賃房屋,臺北市大同區蘭州街１２４巷１０弄１號五樓,0.0,,,,1150511,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740205,95.86999999999999,2,2,1,有,無,無,24000,250,,0.0,0,多人共同承租2；,RPVOMLMKNHLGFBA18CC,整棟(戶)出租,無,1150601~1160531,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
中山區,租賃房屋,臺北市中山區林森北路１０７巷３號４樓之１,0.0,,,,1150512,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030910,66.9,2,1,1,有,有,有,40000,598,,0.0,0,租金總額含管理費；其他租金內含所得稅、健保補充保費；,RPVNMLMKNHLGFCA18CC,整棟(戶)出租,有,1150516~1170515,有,冷氣、熱水器、洗衣機、電視機、冰箱,
中山區,租賃房屋,臺北市中山區林森北路５７５號７樓之１９,0.0,,,,1150512,土地0建物1車位0,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0660322,55.46,2,1,1,有,有,有,25000,451,,0.0,0,,RPWOMLMKNHLGFCA38CC,整棟(戶)出租,有,1150515~1160514,有,冷氣、熱水器、洗衣機、冰箱,
中山區,租賃房屋,臺北市中山區新生北路三段４３號２樓之３０,0.0,,,,1150512,土地0建物1車位0,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0670301,58.27,2,1,1,有,有,有,31000,532,,0.0,0,,RPXOMLMKNHLGFCA48CC,整棟(戶)出租,有,1150610~1160609,有,冷氣、熱水器、洗衣機、電視機、冰箱,一般代管
內湖區,租賃房屋,臺北市內湖區瑞光路２２５號１樓,0.0,,,,1150512,土地0建物1車位0,一層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831108,179.26999999999998,1,3,2,有,有,無,34000,190,,0.0,0,未租賃車位，建物登記含有車位面積；,RPQPMLMKNHLGFCA87CC,,有,1150701~1170630,有,冷氣、瓦斯或天然氣,
信義區,租賃房屋,臺北市信義區基隆路一段２７之１號３樓之１,0.0,,,,1150511,土地0建物0車位0,三層,,公寓(5樓含以下無電梯),,,,20.0,4,1,1,有,無,有,14800,740,,0.0,0,B室租金總額含管理費；網路費；租賃建物部分範圍，且未計入共有部分面積；,RPOPMLMKNHLGFDA77CC,分租雅房,無,1150515~1160514,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路,一般轉租
信義區,租賃房屋,臺北市信義區基隆路一段２７之１號３樓之１,0.0,,,,1150511,土地0建物0車位0,三層,,公寓(5樓含以下無電梯),,,,15.0,4,1,1,有,無,有,12800,853,,0.0,0,C室租金總額含管理費；網路費；租賃建物部分範圍，且未計入共有部分面積；,RPPPMLMKNHLGFDA87CC,分租雅房,無,1150515~1160514,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路,一般轉租
信義區,租賃房屋,臺北市信義區基隆路一段２７之１號３樓之１,0.0,,,,1150511,土地0建物0車位0,三層,,公寓(5樓含以下無電梯),,,,18.0,4,1,1,有,無,有,13800,767,,0.0,0,D室租金總額含管理費；網路費；租賃建物部分範圍，且未計入共有部分面積；,RPQPMLMKNHLGFDA97CC,分租雅房,無,1150515~1160514,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路,一般轉租
士林區,租賃房屋,臺北市士林區社中街１５６巷６０號４樓,0.0,,,,1150511,土地0建物0車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0621207,19.8,7,1,6,有,無,有,16000,808,,0.0,0,租金總額含瓦斯費；其他有線電視；,RPTNMLMKNHLGFEA18CC,分租套房,無,1150610~1160609,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
北投區,租賃房屋,臺北市北投區大度路三段２７０巷６９號８樓之６,0.0,,,,1150511,土地0建物1車位0,八層,19,住宅大樓(11層含以上有電梯),一般事務所,鋼筋混凝土造,1010217,157.4,3,1,1,有,有,無,36000,229,,0.0,0,未租賃車位，建物登記含有車位面積；,RPVNMLMKNHLGFEA38CC,整棟(戶)出租,有,1150601~1160531,有,冷氣、熱水器、瓦斯或天然氣,一般轉租
北投區,租賃房屋,臺北市北投區尊賢街２５０號,0.0,,,,1150512,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650830,150.54,0,0,0,無,無,無,60000,399,,0.0,0,,RPOOMLMKNHLGFEA77CC,,無,1150701~1170630,無,瓦斯或天然氣,
大安區,租賃房屋,臺北市大安區敦化南路一段１６１巷７０號６樓,0.0,,,,1150511,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090817,182.48000000000002,4,2,2,有,有,無,78000,427,,0.0,0,租金總額含管理費；,RPSNMLMKNHLGFFA18CC,整棟(戶)出租,有,1150520~1160519,有,冷氣、熱水器、瓦斯或天然氣,
文山區,租賃房屋,臺北市文山區秀明路一段１０３巷９弄１號五樓,0.0,,,,1150512,土地0建物1車位0,見其他登記事項,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830906,91.87,3,2,2,有,有,有,24000,261,,0.0,0,管理費每個月500元不包含在租金內。,RPRNMLNKNHLGFAA67CC,整棟(戶)出租,無,1150515~1180514,有,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
中正區,租賃房屋,臺北市中正區汀州路一段３４０巷４弄２２號４樓,0.0,,,,1150511,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,62.61,2,1,1,有,無,有,22500,359,,0.0,0,,RPUNMLNKNHLGFAA97CC,整棟(戶)出租,無,1150515~1160514,無,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
中山區,租賃房屋,臺北市中山區安東街１９號３樓之２,0.0,,,,1150511,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700905,32.35,1,0,1,有,有,有,17300,535,,0.0,0,管理費：700元，租金不含管理費，由承租人負擔。多人共同承租2；,RPWNMLNKNHLGFCA38CC,獨立套房,無,1150515~1160514,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
中山區,租賃房屋,臺北市中山區錦州街２１號１０樓之五,0.0,,,,1150513,土地0建物1車位0,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0711204,19.25,1,0,1,有,有,有,20000,1039,,0.0,0,,RPXNMLNKNHLGFCA48CC,整棟(戶)出租,有,1150610~1160609,有,冷氣、熱水器、洗衣機、電視機、冰箱,一般代管
