編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQPMLMKNHLGFDA97CC,,18.00,,,,,,
RPOPMLMKNHLGFDA77CC,,20.00,,,,,,
RPQPMLMKNHLGFCA87CC,32,104.78,住家用,鋼筋混凝土造,83年11月8日,八層,,
RPOOMLLKNHLGFDA57CC,57,101.35,住家用,加強磚造,57年12月24日,四層,,
RPQPMLMKNHLGFCA87CC,32,74.49,共有部分,鋼筋混凝土造,83年11月8日,八層,,
RPUNMLNKNHLGFAA97CC,,62.61,住家用,鋼筋混凝土造,,四層,,
RPWNMLNKNHLGFCA38CC,45,24.21,住家用,鋼筋混凝土造,70年9月5日,七層,,
RPWNMLNKNHLGFCA38CC,45,8.14,共有部分,鋼筋混凝土造,70年9月5日,七層,,
RPWOMLMKNHLGFCA38CC,49,44.96,住家用,鋼筋混凝土造,66年3月22日,十一層,,
RPWOMLMKNHLGFCA38CC,49,10.50,共有部分,鋼筋混凝土造,66年3月22日,十一層,,
RPXNMLNKNHLGFCA48CC,43,19.25,住家用,鋼筋混凝土造,71年12月4日,十一層,,
RPPPMLMKNHLGFDA87CC,,15.00,,,,,,
RPRNMLNKNHLGFAA67CC,32,76.86,住家用,鋼筋混凝土造,83年9月6日,六層,,
RPRNMLSJNHLGFDA38CC,51,114.00,住家用,鋼筋混凝土造,64年5月27日,四層,,
RPRNMLNKNHLGFAA67CC,32,15.01,見使用執照,鋼筋混凝土造,83年9月6日,六層,,
RPVNMLMKNHLGFCA18CC,12,38.43,住家用,鋼筋混凝土造,103年9月10日,八層,,
RPVNMLMKNHLGFCA18CC,12,28.47,本共有部分之項目有甲樓梯、乙樓梯、陽台、雨遮、１０人份供行動不便者使用、管理員室、機車昇降機、消防水箱、屋頂水箱、緊急發電機室、消防泵浦室、升降機坑、電信室、台電配電室、消防蓄水池及蓄水池等１６項。,鋼筋混凝土造,103年9月10日,八層,,
RPVPMLLKNHLGFDA38CC,56,87.15,住家用,鋼筋混凝土造,59年9月22日,四層,,
RPTOMLMKNHLGFBA97CC,,18.50,,加強磚造,,三層,,
RPXOMLMKNHLGFCA48CC,48,58.27,住家用,鋼筋混凝土造,67年3月1日,十一層,,
RPVOMLMKNHLGFBA18CC,41,81.27,住家用,鋼筋混凝土造,74年2月5日,五層,,
RPVOMLMKNHLGFBA18CC,41,14.60,共有部分,鋼筋混凝土造,74年2月5日,五層,,
RPTOMLOKNHLGFBA18CC,,19.60,,加強磚造,,四層,,
RPROMLOKNHLGFBA97CC,7,70.89,住家用,鋼筋混凝土造,108年3月4日,十九層,,
RPSOMLOKNHLGFBA08CC,7,40.35,住家用,鋼筋混凝土造,108年3月4日,十九層,,
RPROMLOKNHLGFBA97CC,7,4.39,住家用,鋼筋混凝土造,108年3月4日,十九層,,
RPSOMLOKNHLGFBA08CC,7,3.81,住家用,鋼筋混凝土造,108年3月4日,十九層,,
RPOOMLMKNHLGFEA77CC,50,150.54,住家用,鋼筋混凝土造,65年8月30日,四層,,
RPROMLOKNHLGFBA97CC,7,22.93,本共有部分之項目有：緊急升降機兼用行動不便電梯、升降機、梯廳兼排煙室、緊急升降機進氣管道、排氣管道、梯廳、消防／排水管道、特別安全梯甲、特別安全梯乙、安全梯丙、安全梯戊、管理員室、電力管道、騎樓、防災中心、機車升降機、排煙室、都市通廊、停車場進氣管道、電訊管道、排煙管道、電氣管道、電表室、管委會（１）、管委會（２）、走道、廁所、陽台、中繼消防水箱、連結泵、給水管道、樓梯庚、屋頂給水水箱、屋頂消防水箱、機房、停車空間兼防空避難室、特別安全梯丁、受電箱、台電配電室、電信室、油壓機房、電力、發電機進氣管道、發電機排氣管道、排氣／進氣管道、自設變電室、垃圾車暫停空間、垃圾儲存空間、發電機油箱室、發電機房、電訊／電氣管道、泵浦室、日用水箱機房、泡沫消防設備機房及自來水池等５６項。,鋼筋混凝土造,108年3月4日,十九層,,
RPVNMLMKNHLGFEA38CC,14,75.50,一般事務所,鋼筋混凝土造,101年2月17日,十九層,,
RPROMLOKNHLGFBA97CC,7,12.36,本共有部分之項目有：緊急升降機兼用行動不便電梯、升降機、排煙室、排煙管道、梯廳及走道等６項。,鋼筋混凝土造,108年3月4日,十九層,,
RPSOMLOKNHLGFBA08CC,7,12.77,本共有部分之項目有：緊急升降機兼用行動不便電梯、升降機、梯廳兼排煙室、緊急升降機進氣管道、排氣管道、梯廳、消防／排水管道、特別安全梯甲、特別安全梯乙、安全梯丙、安全梯戊、管理員室、電力管道、騎樓、防災中心、機車升降機、排煙室、都市通廊、停車場進氣管道、電訊管道、排煙管道、電氣管道、電表室、管委會（１）、管委會（２）、走道、廁所、陽台、中繼消防水箱、連結泵、給水管道、樓梯庚、屋頂給水水箱、屋頂消防水箱、機房、停車空間兼防空避難室、特別安全梯丁、受電箱、台電配電室、電信室、油壓機房、電力、發電機進氣管道、發電機排氣管道、排氣／進氣管道、自設變電室、垃圾車暫停空間、垃圾儲存空間、發電機油箱室、發電機房、電訊／電氣管道、泵浦室、日用水箱機房、泡沫消防設備機房及自來水池等５６項。,鋼筋混凝土造,108年3月4日,十九層,,
RPSOMLOKNHLGFBA08CC,7,6.89,本共有部分之項目有：緊急升降機兼用行動不便電梯、升降機、排煙室、排煙管道、梯廳及走道等６項。,鋼筋混凝土造,108年3月4日,十九層,,
