編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQOMLOKNHLGFFA28CC,坡道平面,0,29.51,地下三樓
RPXPMLPKNHLGFCA88CC,坡道平面,0,,地下三樓
RPSNMLPKNHLGFEA38CC,坡道平面,0,,地下一樓
RPOOMLPKNHLGFEA08CC,坡道平面,0,43.74,地下一樓
RPPNMLPKNHLGFFA18CC,坡道平面,0,,地下五樓含以下
RPPNMLPKNHLGFFA18CC,坡道平面,0,,地下五樓含以下
RPPNMLQKNHLGFCA97CC,坡道平面,0,43.86,地下二樓
RPPNMLQKNHLGFCA97CC,坡道平面,0,43.86,地下二樓
RPRNMLSKNHLGFAA18CC,坡道機械,0,26.65,地下三樓
RPVNMLSKNHLGFCA78CC,坡道平面,3500,46.44,地下二樓
RPXOMLTKNHLGFDA66CC,坡道平面,0,63.94,地下二樓
RPUNMLTKNHLGFDA88CC,坡道平面,0,,地下二樓
RPPNMLLLNHLGFFA87CC,坡道平面,0,38.27,地下五樓含以下
RPPNMLLLNHLGFFA87CC,坡道平面,0,38.27,地下五樓含以下
RPRNMLLLNHLGFFA08CC,坡道平面,0,38.27,地下五樓含以下
RPRNMLLLNHLGFFA08CC,坡道平面,0,38.27,地下五樓含以下
RPXNMLMLNHLGFDA58CC,坡道平面,5000,39.16,地下三樓
RPSNMLMLNHLGFDA08CC,坡道平面,0,36.43,地下四樓
RPUOMLPLNHLGFCA58CC,坡道平面,0,,地下二樓
RPUOMLPLNHLGFCA58CC,坡道平面,0,,地下二樓
RPUOMLPLNHLGFCA58CC,坡道平面,0,,地下二樓
RPQQMLPLNHLGFCA38CC,坡道平面,0,38.05,地下三樓
RPOPMLPLNHLGFCA08CC,坡道平面,0,38.05,地下三樓
RPUOMLQLNHLGFBA58CC,塔式車位,3150,7.93,
RPQQMLQLNHLGFCA48CC,坡道平面,2500,28.35,地下一樓
RPQQMLQLNHLGFCA48CC,坡道平面,2500,28.35,地下一樓
RPWPMLQLNHLGFDA09CC,坡道平面,0,38.76,地下一樓
RPXOMLRLNHLGFBA98CC,坡道機械,2300,24.89,地下五樓含以下
RPXQMLRLNHLGFCA66CC,坡道平面,0,38.05,地下三樓
RPSNMLKMNHLGFCA87CC,升降平面,3200,31.12,地下一樓
RPUNMLLJOHLGFFA28CC,坡道平面,0,,地下三樓
RPUNMLLJOHLGFFA28CC,坡道平面,0,,地下三樓
RPPQMLMJOHLGFCA87CC,升降平面,0,,地下一樓
RPPQMLMJOHLGFCA87CC,升降平面,0,,地下一樓
RPOOMLMJOHLGFEA77CC,坡道平面,0,26.78,地下一樓
RPOOMLMJOHLGFEA77CC,坡道平面,0,26.78,地下一樓
RPPPMLMJOHLGFDA87CC,坡道平面,0,,地下二樓
RPPPMLMJOHLGFDA87CC,坡道平面,0,,地下二樓
RPXNMLMJOHLGFFA68CC,一樓平面,0,5.27,一樓
RPQPMLNJOHLGFDA08CC,升降平面,0,,地下二樓
RPVNMLOJOHLGFEA58CC,坡道平面,0,40.02,地下四樓
RPROMLOJOHLGFDA18CC,坡道平面,0,27.57,地下二樓
RPROMLOJOHLGFDA18CC,坡道平面,0,27.57,地下二樓
RPRNMLQJOHLGFAA97CC,坡道平面,0,,地下三樓
RPPNMLQJOHLGFAA77CC,坡道平面,0,,地下三樓
RPSQMLSJOHLGFCA78CC,坡道平面,0,44.02,地下三樓
RPQOMLSJOHLGFCA38CC,坡道平面,0,11.15,地下一樓
RPSQMLSJOHLGFCA78CC,坡道平面,0,44.02,地下三樓
RPRNMLSJOHLGFEA58CC,坡道平面,0,41.59,地下二樓
RPSNMLTJOHLGFAA38CC,坡道平面,0,,地下三樓
RPROMLKKOHLGFEA97CC,坡道平面,0,,地下二樓
RPRNMLLKOHLGFCA77CC,坡道平面,0,,地下一樓
RPQNMLOKOHLGFEA18CC,坡道平面,0,37.52,地下一樓
RPPPMLPKOHLGFEA38CC,升降機械,0,6.24,地下一樓
