編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLNJOHLGFCB97DA,36,21.32,住家用,鋼筋混凝土造,79年7月5日,十二層,十二層,全筆移轉
RPSNMLNJOHLGFCB97DA,36,4.89,共有部份,鋼筋混凝土造,79年7月5日,十二層,,持分移轉
RPSNMLNJOHLGFCB97DA,36,5.42,共有部份,鋼筋混凝土造,79年7月5日,十二層,,持分移轉
RPPPMLSJOHLGFCB38DA,32,13.47,住家用,鋼筋混凝土造,83年9月8日,十三層,十三層 陽台,全筆移轉
RPPPMLSJOHLGFCB38DA,32,7.17,共有部份,鋼筋混凝土造,83年9月8日,十三層,,持分移轉
RPSPMLOJOHLGFDB38DA,29,86.40,自用農舍,鋼架造,86年7月22日,一層,一層,全筆移轉
RPPNMLNKNHLGFCB67DA,30,79.40,住家用,鋼筋混凝土造,85年8月6日,五層,一層 平台,全筆移轉
RPPNMLNKNHLGFCB67DA,30,12.52,共有部份,鋼筋混凝土造,85年8月6日,五層,,持分移轉
RPUOMLOKNHLGFCB38DA,11,62.55,住家用,鋼筋混凝土造,103年11月13日,二十一層,十九層 陽台 雨遮,全筆移轉
RPUOMLOKNHLGFCB38DA,11,72.87,本共有部分係依使用執照之建築物概要表記載項目有：停車空間、污水處理機房、消防機械室、排煙室、水箱、樓梯間、昇降機、緊急昇降機、防空避難室兼停車空間、台電配電室、景觀水池機房、防災中心、緊急發電機室、電信機房、門廳、公共服務空間、外廊、環保資源室、廣場式開放空間﹝有頂蓋﹞、沿街步道式開放空間﹝有頂蓋﹞兼外廊、游泳池、交誼廳、梯廳、中繼機房、機械室、管理室、地下室進排風管道、機車車道、游泳池空間、機房等３０項。,鋼筋混凝土造,103年11月13日,二十一層,,持分移轉
RPQNMLTJNHLGFCB28DA,33,39.40,住家用,鋼筋混凝土造,82年6月28日,八層,六層 花台,全筆移轉
RPQNMLTJNHLGFCB28DA,33,11.49,共有部份,鋼筋混凝土造,82年6月28日,八層,,持分移轉
RPXNMLNJOHLGFCB48DA,43,93.34,住家用,鋼筋混凝土造,72年1月20日,五層,五層 陽台,全筆移轉
RPXNMLNJOHLGFCB48DA,43,7.47,避難室,鋼筋混凝土造,72年1月20日,五層,,持分移轉
RPPPMLRLNHLGFCB38DA,1,30.36,本共有部分係依使用執照之建築概要表記載項目有：停車空間、排煙室、安全梯、水箱、配電室、電信室、昇降機、緊急昇降機、消防機房、消防泵浦室等十項。,鋼筋混凝土造,114年8月31日,十五層,,持分移轉
RPOTMLQLNHLGFCB58DA,11,110.13,集合住宅,鋼筋混凝土造,104年10月7日,二十五層,四層 陽台,全筆移轉
RPOTMLQLNHLGFCB58DA,11,52.74,本共有部分係依使用執照之建築概要表記載項目有：停車空間、消防機械室、中水機房、梯廳、梯間、自來水箱、揚水機房、防空避難室兼停車空間、台電配電室、電信室、防災中心、中繼消防機房、發電機室、機械室、受電箱室、水池機房等１６項,鋼筋混凝土造,104年10月7日,二十五層,,持分移轉
RPOTMLQLNHLGFCB58DA,11,34.19,本共有部分係依使用執照之建築概要表記載項目有：頂蓋型開放空間、門廳、管委會空間、梯間、垃圾處理室、外廊、梯廳、機械室、消防中繼機房、水箱等１０項,鋼筋混凝土造,104年10月7日,二十五層,,持分移轉
RPXOMLTLNHLGFCB66DA,34,30.01,住家用,鋼筋混凝土造,81年1月15日,十一層,七層 陽台,全筆移轉
RPXOMLTLNHLGFCB66DA,34,9.26,共有部份,鋼筋混凝土造,81年1月15日,十一層,,持分移轉
RPPOMLMJOHLGFCB67DA,15,48.77,住家用,鋼筋混凝土造,99年11月19日,二十四層,十層 陽台 雨遮,全筆移轉
RPPOMLMJOHLGFCB67DA,15,35.90,本共有部分之項目有停車空間、消防機房、污水機房、揚水機房、水箱、排煙室、梯廳、樓梯間、昇降機間、防空避難室兼停車空間、防災中心、台電配電室、電信室、緊急發電機房、電錶箱室、門廳、管委會空間、中繼機房、屋頂平台、電梯機房、機房等二十一項,鋼筋混凝土造,99年11月19日,二十四層,,持分移轉
RPQNMLPJOHLGFCB97DA,32,13.93,住家用,鋼筋混凝土造,83年9月8日,十三層,十層 陽台,全筆移轉
RPQNMLPJOHLGFCB97DA,32,7.68,共有部份,鋼筋混凝土造,83年9月8日,十三層,,持分移轉
RPVNMLSKNHLGFDB88DA,33,59.45,住家用,鋼筋混凝土造,82年6月15日,十二層,四層 陽台,全筆移轉
RPVNMLSKNHLGFDB88DA,33,6.84,共有部分,鋼筋混凝土造,82年6月15日,十二層,,持分移轉
RPROMLLLNHLGFAB67DA,32,23.91,住家用,鋼筋混凝土造,83年5月11日,十二層,四層 花台,全筆移轉
RPROMLLLNHLGFAB67DA,32,8.42,共有部分,鋼筋混凝土造,83年5月11日,十二層,,持分移轉
RPPPMLTJOHLGFBB38DA,41,37.42,住家用,鋼筋混凝土造,74年10月24日,七層,七層 陽台,全筆移轉
RPXOMLTJOHLGFBB09DA,41,37.42,住家用,鋼筋混凝土造,74年10月24日,七層,七層 陽台,全筆移轉
RPUOMLTJOHLGFBB78DA,31,20.93,住家用,鋼筋混凝土造,83年12月14日,十六層,十四層,全筆移轉
RPUOMLTJOHLGFBB78DA,31,8.92,共有部份,鋼筋混凝土造,83年12月14日,十七層,,持分移轉
RPSNMLSLNHLGFBB48DA,32,103.70,住家用,鋼筋混凝土造,82年12月14日,十三層,十二層 陽台 花台,全筆移轉
RPSNMLSLNHLGFBB48DA,32,22.95,共有部份,鋼筋混凝土造,82年12月14日,十三層,,持分移轉
RPWNMLPJOHLGFBB48DA,21,163.84,住房，樓梯間,ＲＣ造,94年1月26日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPVPMLOJOHLGFBB48DA,6,66.94,集合住宅,鋼筋混凝土造,109年8月11日,十四層,十一層 陽台 雨遮,全筆移轉
RPPRMLMJOHLGFBB87DA,31,20.52,住家用,鋼筋混凝土造,83年12月14日,十六層,十一層,全筆移轉
RPVPMLOJOHLGFBB48DA,6,23.25,本共有部分係依使用執照之建築概要表記載項目有：人行道、門廳、公共服務空間、頂蓋型開放空間、資源環保室、梯廳、排煙室、緊急昇降機、昇降機、戶外安全梯、梯間、樓梯間、水錶室、水箱、機械室等１５項。,鋼筋混凝土造,109年8月11日,十四層,,持分移轉
RPPRMLMJOHLGFBB87DA,31,8.92,共有部份,鋼筋混凝土造,83年12月14日,十七層,,持分移轉
