編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUOMLOJOHLGFEB58DA,五里牌段,75.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02530017
RPUOMLOJOHLGFEB58DA,五里牌段,5.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02530018
RPUOMLOJOHLGFEB58DA,五里牌段,1.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02530019
RPUOMLOJOHLGFEB58DA,五里牌段,176.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02530021
RPUOMLOJOHLGFEB58DA,五里牌段,14.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,6,3,持分移轉,02530022
RPUOMLOJOHLGFEB58DA,五里牌段,3.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,6,3,持分移轉,02530023
RPSNMLNJOHLGFCB97DA,大進段,3.73,都市：其他:第二種住宅區,10000,31,持分移轉,00090000
RPWNMLSJOHLGFDB98DA,豐陽段,26.74,都市：其他:文高用地,144,1,持分移轉,09310000
RPUQMLMKOHLGFDB58DA,東湳北段,106.28,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07020000
RPWNMLSJOHLGFDB98DA,豐陽段,1.05,都市：其他:文高用地,144,1,持分移轉,09320002
RPWNMLSJOHLGFDB98DA,豐陽段,.82,都市：其他:文高用地,144,1,持分移轉,09320003
RPWNMLSJOHLGFDB98DA,豐陽段,.00,都市：其他:乙種工業區,144,1,持分移轉,09320004
RPWNMLSJOHLGFDB98DA,豐陽段,.05,都市：其他:文高用地,144,1,持分移轉,09320005
RPQNMLSJOHLGFKB09DA,福麗段,7.10,都市：其他:關連工業區,39500,710,持分移轉,01630001
RPPPMLSJOHLGFCB38DA,國安段,3.58,都市：其他:第一之一種住宅區,10000,14,持分移轉,02920002
RPTNMLLKOHLGFKB78DA,大東段,73.79,都市：其他:公園用地,4,1,持分移轉,06200000
RPPNMLPKOHLGFKB78DA,頂街段,171.51,都市：其他:公園兼兒童遊樂場用地,4,1,持分移轉,01060000
RPPNMLPKOHLGFKB78DA,頂街段,8.15,都市：其他:廣場兼停車場用地,4,1,持分移轉,01060001
RPSNMLLJOHLGFIB38DA,樟公段,2.77,都市：其他:住宅區,224212,854,持分移轉,03760000
RPSNMLLJOHLGFIB38DA,樟公段,2.17,都市：其他:住宅區,224212,854,持分移轉,03770000
RPSNMLLJOHLGFIB38DA,樟公段,3.80,都市：其他:住宅區,224212,854,持分移轉,03810000
RPSPMLOJOHLGFDB38DA,新公館段,914.84,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00110000
