鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
東區,房地(土地+建物)+車位,臺中市東區十甲北二街及十甲路281巷旁,148.59,住,,,1150512,土地1建物1車位3,全,4,透天厝,住家用,鋼筋混凝土造,,363.48,5,2,5,有,無,52500000,171261,坡道平面,91.38,5900000,,RPPNMLMKNHLGFAB37CB,坤聯富馥琚,_棟A11號,
清水區,房地(土地+建物)+車位,臺中市清水區南社路,75.79,住,,,1150511,土地8建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,169.58,4,3,3,有,無,14500000,85505,一樓平面,0.0,0,,RPPNMLOKNHLGFFB08CB,雅富五期,A7號,
太平區,房地(土地+建物),臺中市太平區光興路609號隔壁,82.86,,鄉村區,乙種建築用地,1150514,土地2建物1車位0,全,4,透天厝,住商用,鋼骨鋼筋混凝土造,,255.25,8,2,9,有,無,35500000,139079,,0.0,0,,RPPNMLOKNHLGFJB58DB,錢連全?,A棟C號,
南屯區,房地(土地+建物)+車位,臺中市南屯區益豐路二段與龍富五街口,45.43,住,,,1150514,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,162.56,2,2,2,有,無,28930000,214250,坡道平面,42.0,3100000,,RPPNMLPKNHLGFCB87CB,打里摺樂田田,E棟2號,
西屯區,房地(土地+建物)+車位,臺中市西屯區惠民段7、9、9-1、9-2號地號等4筆,9.03,其他,,,1150512,土地4建物1車位1,十九層,35,辦公商業大樓,商業用,見其他登記事項,,168.46,0,0,1,有,無,41050000,249918,坡道平面,15.81,2900000,,RPUOMLPKNHLGFCB48CB,市政壹號廣場,B01-19號,
北屯區,房地(土地+建物)+車位,臺中市北屯區山西路二段、崇德二路二段、仁平街、水連街,45.67,住,,,1150515,土地1建物1車位1,三層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,198.58,4,2,2,有,無,39730000,224462,坡道平面,31.38,2200000,,RPQNMLQKNHLGFBB97CB,惠宇仁平MY PARK,3F-D號,
潭子區,房地(土地+建物)+車位,臺中市潭子區頭張路二段近和平路,26.47,住,,,1150511,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.34,3,2,2,有,無,17280000,123249,坡道平面,24.85,2060000,,RPPNMLQKNHLGFHB48CB,聚佳豐美,B3棟8F號,
潭子區,房地(土地+建物)+車位,臺中市潭子區頭張路二段近和平路,26.47,住,,,1150511,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.81,3,2,2,有,無,17320000,124105,坡道平面,24.85,2060000,,RPQNMLQKNHLGFHB58CB,聚佳豐美,C7棟8F號,
太平區,房地(土地+建物),臺中市太平區光興路609號隔壁,72.11,,鄉村區,乙種建築用地,1150515,土地2建物1車位0,全,4,透天厝,住商用,鋼骨鋼筋混凝土造,,225.55,8,2,9,有,無,30600000,135668,,0.0,0,,RPPNMLQKNHLGFJB78DB,錢連全?,B棟I號,
