編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLTKNHLGFAB68CB,大慶段,30.12,都市：住,10000,117,持分移轉,02230000
RPQNMLSKNHLGFDB38CB,十五庄段,4.77,都市：住,100000,7981,持分移轉,13760000
RPQNMLSKNHLGFDB38CB,十五庄段,4.74,都市：住,100000,7981,持分移轉,13760001
RPQNMLSKNHLGFDB38CB,十五庄段,4.91,都市：住,100000,7981,持分移轉,13760002
RPQNMLSKNHLGFDB38CB,十五庄段,5.07,都市：住,100000,7981,持分移轉,13760003
RPQNMLSKNHLGFDB38CB,十五庄段,5.24,都市：住,100000,7981,持分移轉,13760004
RPQNMLSKNHLGFDB38CB,十五庄段,5.40,都市：住,100000,7981,持分移轉,13760005
RPQNMLSKNHLGFDB38CB,十五庄段,7.71,都市：住,100000,7981,持分移轉,13760006
RPUOMLPKNHLGFCB48CB,惠民段,4.80,都市：其他:第六種新市政中心,100000,160,持分移轉,00070000
RPUOMLPKNHLGFCB48CB,惠民段,2.12,都市：其他:第六種新市政中心,100000,160,持分移轉,00090000
RPUOMLPKNHLGFCB48CB,惠民段,.00,都市：其他:第六種新市政中心,100000,160,持分移轉,00090001
RPUOMLPKNHLGFCB48CB,惠民段,2.12,都市：其他:第六種新市政中心,100000,160,持分移轉,00090002
RPPNMLTKNHLGFCB28CB,昌明段,36.19,都市：住,1000000,3638,持分移轉,04380000
RPTNMLSKNHLGFDB68CB,后樟段,19.53,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,4718,持分移轉,02810000
RPQNMLTKNHLGFFB68CB,三鹿段,35.32,都市：住,10000,163,持分移轉,10510000
RPPNMLTKNHLGFFB58CB,三鹿段,24.05,都市：住,10000,111,持分移轉,10510000
RPPNMLMKNHLGFAB37CB,旱溪段,148.59,都市：住,100000,8287,持分移轉,00270000
RPUNMLTKNHLGFAB58CB,後壠子段,18.92,都市：商,100000,376,持分移轉,02350224
RPUNMLTKNHLGFAB58CB,後壠子段,2.70,都市：商,100000,376,持分移轉,02390007
RPPNMLPKNHLGFCB87CB,樂田段,45.43,都市：住,100000,3482,持分移轉,00550000
RPPNMLOKNHLGFJB58DB,永隆段,71.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02440003
RPPNMLOKNHLGFJB58DB,永隆段,11.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,886,持分移轉,02440000
RPPNMLOKNHLGFFB08CB,銀聯段,58.00,都市：住,1,1,全筆移轉,14220040
RPPNMLOKNHLGFFB08CB,銀聯段,.29,都市：住,28,1,持分移轉,14220017
RPPNMLOKNHLGFFB08CB,銀聯段,.25,都市：住,28,1,持分移轉,14220018
RPPNMLOKNHLGFFB08CB,銀聯段,.04,都市：住,28,1,持分移轉,14220019
RPPNMLOKNHLGFFB08CB,銀聯段,16.64,都市：住,28,1,持分移轉,14220034
RPPNMLOKNHLGFFB08CB,銀聯段,.29,都市：住,28,1,持分移轉,14220049
RPPNMLOKNHLGFFB08CB,銀聯段,.25,都市：住,28,1,持分移轉,14220050
