編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPWNMLMKNHLGFKB56CC,38,13.22,住家用,鋼筋混凝土造,76年12月12日,五層,,
RPPNMLLKNHLGFJB28CC,13,100.29,店舖,鋼筋混凝土造,102年7月18日,十四層,,
RPPNMLLKNHLGFJB28CC,13,63.38,共有部分（停車空間、樓梯間、昇降機間、污水機房、消防機房、梯廳、車道、電信室、水箱、防空避難室兼停車空間、緊急發電機室、台電配電室、垃圾集中處、受電箱室、機房、門廳、門廊、基地內通路、開放空間、公共服務空間、環保室、機車停車區、游泳池、電梯機房）,鋼筋混凝土造,102年7月18日,十四層,,
RPSQMLMKNHLGFCB28CC,4,19.93,寄宿舍,鋼筋混凝土造,111年7月28日,七層,,
RPSQMLMKNHLGFCB28CC,4,13.60,本共有部分係依使用執照之建築概要表記載項目有：防空避難室兼停車空間、台電配電室、消防及發電機房、電信室、水箱、樓梯間、無障礙昇降機、梯廳、辦公室、管委會使用空間、親子廁所、無障礙廁所、資源回收空間、機房、機房＋管道間、走廊、車道、管道間等十八項。,鋼筋混凝土造,111年7月28日,七層,,
RPWPMLMKNHLGFCB58CC,31,17.61,住家用,鋼筋混凝土造,84年2月20日,十三層,,
RPOOMLMKNHLGFCB67CC,30,86.13,住家用,鋼筋混凝土造,85年7月24日,十二層,,
RPWPMLMKNHLGFCB58CC,31,4.15,共有部份,鋼筋混凝土造,84年2月20日,十三層,,
RPOOMLMKNHLGFCB67CC,30,46.62,共有部分,鋼筋混凝土造,85年7月24日,十二層,,
RPWPMLMKNHLGFCB58CC,31,2.10,共同使用,鋼筋混凝土造,84年2月20日,十三層,,
RPPOMLMKNHLGFCB77CC,27,68.14,住家用,鋼筋混凝土造,88年4月23日,十四層,,
RPPOMLMKNHLGFCB77CC,27,55.14,共有部分,鋼筋混凝土造,88年4月23日,十四層,,
RPTPMLMKNHLGFBB18CC,45,41.62,住家用,鋼筋混凝土造,70年5月13日,五層,,
RPTNMLNKNHLGFBB08CC,45,37.75,住家用,鋼筋混凝土造,70年8月14日,十一層,,
RPSPMLMKNHLGFBB08CC,36,20.80,住家用,鋼筋混凝土造,79年3月24日,五層,,
RPVNMLNKNHLGFBB28CC,45,35.07,住家用,鋼筋混凝土造,70年8月14日,十一層,,
RPOOMLNKNHLGFBB67CC,31,18.37,住家用,鋼筋混凝土造,84年6月26日,二十四層,,
RPPOMLNKNHLGFBB77CC,2,49.58,集合住宅,鋼筋混凝土造,113年5月27日,十二層,,
RPPOMLNKNHLGFBB77CC,2,54.66,本共有部分係依使用執照之建築概要表記載項目有：防空避難室兼停車空間，排煙室，樓梯間，一般昇降機，緊急昇降機，水箱，消防機房，污水機房，車道，停車空間，緊急發電機室，台電配電室，電信室，景觀機房，機車停車區，梯廳，門廳，垃圾集中室，管委會空間，梯間，電梯機房等２１項。,鋼筋混凝土造,113年5月27日,十二層,,
RPOOMLNKNHLGFBB67CC,31,5.15,共有部份,鋼筋混凝土造,84年6月26日,二十四層,,
RPOOMLNKNHLGFBB67CC,31,3.94,共有部份,鋼筋混凝土造,84年6月26日,二十四層,,
RPOOMLNKNHLGFBB67CC,31,.00,共有部份,鋼筋混凝土造,84年6月26日,二十四層,,
RPVOMLMKNHLGFBB28CC,35,123.88,住家用,鋼筋混凝土造,80年11月10日,六層,,
RPVOMLMKNHLGFBB28CC,35,33.24,共有部份,鋼筋混凝土造,80年11月10日,六層,,
RPQQMLMKNHLGFBB97CC,32,77.55,住家用,鋼筋混凝土造,83年5月12日,十五層,,
RPQQMLMKNHLGFBB97CC,32,36.36,共有部份,鋼筋混凝土造,83年5月12日,十五層,,
RPPNMLMKNHLGFBB57CC,18,47.02,住家用,鋼筋混凝土造,96年12月31日,十四層,,
RPPNMLMKNHLGFBB57CC,18,22.06,共有部份,鋼筋混凝土造,96年12月31日,十四層,,
RPQNMLMKNHLGFAB57CC,30,94.69,集合住宅,鋼筋混凝土造,85年5月6日,十八層,,
RPWNMLNKNHLGFAB28CC,9,40.14,集合住宅,鋼筋混凝土造,106年1月25日,七層,,
RPQNMLMKNHLGFAB57CC,30,19.26,共同使用,鋼筋混凝土造,85年5月6日,十八層,,
RPWNMLNKNHLGFAB28CC,9,21.30,本共有部分係依使用執照之建築概要表記載項目有：防空避難室兼停車空間、梯廳、台電配電室、汙水機房、消防機房、機房、電信室、汽車昇降機、無障礙樓梯兼安全梯（Ａ梯、Ｂ梯）、無障礙昇降機、人行道、門廊、發電機室、無障礙樓梯兼安全梯（戶外Ａ梯；Ｂ梯）、機車停車區、機車車道、無障礙樓梯兼戶外安全梯、樓梯間、透空遮牆、水箱等２０項。,鋼筋混凝土造,106年1月25日,七層,,
RPQNMLMKNHLGFAB57CC,30,13.62,共同使用,鋼筋混凝土造,85年5月6日,十八層,,
RPQOMLNKNHLGFBB87CC,2,82.46,集合住宅,鋼筋混凝土造,113年2月29日,十五層,,
RPQNMLMKNHLGFAB57CC,30,5.20,共同使用,鋼筋混凝土造,85年5月6日,十八層,,
RPQOMLNKNHLGFBB87CC,2,8.25,本共有部分係依使用執照之建築概要表記載項目有：樓梯間、梯廳、排煙室、門廳、機房、車道、管委會空間、水錶室、水箱等九項。,鋼筋混凝土造,113年2月29日,十五層,,
RPQNMLMKNHLGFAB57CC,30,7.67,共同使用,鋼筋混凝土造,85年5月6日,十八層,,
RPQOMLNKNHLGFBB87CC,2,15.14,本共有部分係依使用執照之建築概要表記載項目有：樓梯間、梯廳、排煙室等三項。,鋼筋混凝土造,113年2月29日,十五層,,
RPQOMLNKNHLGFBB87CC,2,42.73,本共有部分係依使用執照之建築概要表記載項目有：停車空間、樓梯間、梯廳、排煙室、台電配電室、發電機房、水池機房、水箱、電信室、機房、防空避難室兼停車空間、消防機房、雨污水機房等十三項。,鋼筋混凝土造,113年2月29日,十五層,,
RPOPMLMKNHLGFAB57CC,39,114.56,住商用,鋼筋混凝土造,76年5月8日,三層,,
RPUNMLMKNHLGFBB08CC,33,92.44,住家用,鋼筋混凝土造,82年5月11日,十二層,,
RPUNMLMKNHLGFBB08CC,33,21.39,共有部份,鋼筋混凝土造,82年5月11日,十二層,,
RPVNMLNKNHLGFCB38CC,18,387.91,住家用,鋼骨鋼筋混凝土造,97年9月26日,二十九層,,
RPVNMLNKNHLGFCB38CC,18,133.91,共用,鋼骨鋼筋混凝土造,97年9月26日,二十九層,,
RPTNMLNKNHLGFCB18CC,4,19.76,店鋪、住宅、機械室、樓梯間、水塔室,鋼筋混凝土造,111年5月25日,五層,,
RPVNMLNKNHLGFCB38CC,18,117.78,共用,鋼骨鋼筋混凝土造,97年9月26日,二十九層,,
RPTNMLNKNHLGFJB88CC,1,65.92,集合住宅,鋼筋混凝土造,113年12月11日,十四層,,
RPTNMLNKNHLGFJB88CC,1,64.21,本共有部分之項目有：防空避難室兼停車空間、排煙室、樓梯間、昇降機間、消防機房、污水機房、水箱、停車空間、電信室、緊急發電機室、台電配電室、梯廳、公共服務空間、管委會空間、垃圾集中室、梯間、水錶箱室、電梯機房等１８項,鋼筋混凝土造,113年12月11日,十四層,,
